"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0936768211516586,13.897,0.01129,NA,0.0497643648805757,72.0850511563834,1e+06
"KPL-1",0.0104252496702778,14.624,0.4091,21.7136888736448,4,0,21.7136888736448
"MKN1",0.0699818181818179,14.459,2.199e-31,NA,0,86.0036363636364,1e+06
"253J-BV",0.0565015585393187,14.096,30.81,354.393673892504,1.74411117200554,48.6195432662757,45.2533977611885
"BFTC-909",0.110101876940342,13.352,7.673,NA,1.28981075756661,59.7253200604311,7.80251356834136
"CAL-120",0,15.113,1.53,NA,0,100,13.6934445790746
"CAL-29",0.0691459762042009,16.591,1.808,NA,4,67.3019962399087,14.5246892358157
"CAL-62",0.101523475846341,13.57,135,NA,2.61220143501883,62.4112104303008,7.9129275102944
"HuCC-T1",0.14850995464059,12.78,47.13,345.222820732098,0.415780407882817,27.0405746032427,53.1066318807522
"NMC-G1",0,16.336,3.796e-27,NA,0,100,1e+06
"RPMI-7951",0.114872410312423,13.283,68.08,697.415534364019,0.46535540569466,32.2470146344309,75.3592263855023
"253J",0.15164384451608,12.734,31.34,29.7469116810673,1.33989962167224,0,29.7469116810673
"SiMa",0.270927540524418,10.943,9.076,9.14243452354692,0.77239813566736,0,9.14243452354692
"SNU-626",0.0415348925115889,14.611,0.2323,NA,4,94.3707846073455,0.0620558316091362
"SNU-738",0.0539845447110904,14.186,61180,51939.4980354605,0.283342189611605,0,51939.4980354605
"SNU-878",0.135260075080802,12.97,10.39,20.9190861835855,3.14918903409385,44.3269205731837,10.481355732905
"TUHR4TKB",0.0621102170098813,14.078,205.8,202.835765601315,0.819146975273117,0,202.835765601315
"ACC-MESO-1",0,18.097,0.0006727,NA,1,100,130
"B-CPAP",0.0446538225950086,14.312,29.53,NA,2.4513185231717,67.0718221157645,32.3061275763929
"CGTH-W-1",0.0617536081258099,14.082,39.28,168.595601468216,2.45260808533188,48.6998003173614,38.0725306120682
"COLO 680N",0.0879175421913845,13.693,14.78,NA,0.830723131642989,59.7591527718084,16.4577356063344
"ECC12",0.0309342057031381,14.528,31.69,NA,1.83390261135249,79.1627282278658,28.8566908604127
"HCC95",NA,NA,NA,NA,NA,NA,NA
"JMSU-1",0.0802448926946812,13.831,16.01,NA,4,59.8649743292542,16.3689528205286
"Rh41",0.0438504545204964,14.153,0.9476,NA,4,81.5779769007273,11.0287285769477
"SNU-175",0.306931338467859,11.772,6.019,10.9885150086333,0.391068392886471,0,10.9885150086333
"WSU-DLCL2",0.149295392524286,12.755,12.98,18.0699693091929,3.33543646184405,32.2514984705049,13.2464653582959
"23132/87",0.213124116843915,11.81,2.349,5.44892656667604,2.72830329079656,44.8670839585823,2.36569672601777
"8305C",0.0441340252063269,14.339,27.9,NA,2.29765351491916,70.4917512400854,27.9364539302308
"BHY",0.113472021160274,13.278,1.156,NA,4,74.330834232082,1.33100581701368
"GSU",0.102672920498816,13.458,43.99,45.3617545695554,2.46549719694911,5.53900599700414,43.2521876343358
"JIMT-1",0.0537636520142021,14.196,73.24,123.705065410864,1.64873414988601,30.0311721289017,70.8950117045432
"KMRC-20",0.0298925735977304,14.579,15.36,NA,4,85.9142880612873,14.4121128792886
"OUMS-23",NA,NA,NA,NA,NA,NA,NA
"SNU-1076",0.172235575341776,12.432,1.251,NA,2.03339210173703,61.677526671598,1.23301359792959
"SNU-1196",0.0883880973074101,13.673,3.728,NA,3.11914694303167,74.060440461001,3.8035756648253
"SNU-8",0.0738459277775547,13.893,7.537,NA,1.88976720800536,73.0308199365287,7.63015545090195
"A-375",0.127822429305745,13.089,25.09,29.1836047980592,3.33517771143621,19.2821480182691,25.2173989181002
"A-549",0.0472599391839631,14.264,37.71,NA,1.71412539232782,62.8909207193629,37.0296325708739
"NCI-H2009",0.125095478595856,13.179,0.9637,NA,4,74.0513889150504,0.878987104684334
"SNU-201",0.00197521592875951,15.34,4.688e-08,240.527076578976,4,0,240.527076578976
"SUIT-2",0.0409637813125208,14.394,62.78,116.496921013629,3.32002725786584,43.5408875904131,62.8936293205607
"SNU-1079",0.246413697040889,11.334,32.14,32.5543620898512,0.371005467277198,0,32.5543620898512
"DEL",0.412126725315803,8.855,0.7429,0.847219560740757,2.92282508693429,17.5622501845246,0.730638005027507
"HARA [Human squamous cell lung carcinoma]",0.0641620310260373,14.043,136.8,134.259851912156,1.01782424244142,0,134.259851912156
"HCC15",0.0435455569993367,14.358,43.27,NA,1.90149974209151,59.162012470492,46.1077510105983
"KP-4",0.0974900859737706,13.536,9.866,NA,2.93848836936773,60.3451433316657,10.1725949401928
"Lu-99A",0.168148387613962,12.488,10.24,24.2954021616316,1.20449007341798,31.797598390474,10.4999263293674
"NCI-H1155",0.0908850529343001,13.637,23.12,181.631921300818,1.43384726332576,47.4328014435245,22.9010882180259
"NCI-H1581",0.0400086205086712,14.465,1.153,NA,4,80.3274125113987,15.7962953147011
"NCI-H2106",0.115821565601797,13.513,0.5414,2240.99560367215,0.286436665469854,0,2240.99560367215
"NCI-H358",0.0376348293562672,14.442,25.23,NA,1.35328910407237,77.066037281416,25.6532042431273
"DLD-1",0.058166676961635,14.077,16.23,NA,2.64956234873167,63.570689631829,24.963160660857
"EM-2",0.328780909837152,9.9758,6.049,4.47874871860336,0.957704849832879,0,4.47874871860336
"JURL-MK1",0.286923412974545,10.708,3.366,4.68156507522171,1.43339539769607,18.5502682072847,3.38780394425415
"P12-Ichikawa",0.197879989679774,12.036,10.57,16.2715684662375,1.16825068539672,19.1672653047854,10.7574531872759
"KE-37",0.234105992262254,11.399,15.33,11.9815767930583,1.22972367915948,0,11.9815767930583
"KMS-21-BM",0.315113131378598,10.287,2.226,2.76491350002868,2.3583495146219,19.5847315361231,2.23946177547493
"Li-7",0.0761110331346019,13.793,868.5,623.161475001173,0.483389485122579,0,623.161475001173
"MHH-NB-11",0.349254661158042,9.7751,2.802,3.00316602626868,1.85234674646595,5.52697941684892,2.81912970954319
"MOLM-13",0.426720432637218,8.6383,0.8696,0.947966883972401,2.54700708665034,12.0634413768303,0.850576866715376
"NCI-H28",0.0921409175680228,13.618,13.82,NA,1.25937741897558,57.3068485346166,14.579517479769
"639V",0.0567135878144185,14.127,17.69,NA,4,68.1226371346778,20.5684712508747
"BxPC-3",0.218181850026713,11.74,48.27,48.1947352996834,0.388470395427967,0,48.1947352996834
"CML-T1",0.212096530018309,11.821,11.82,13.4598976696284,1.57120116092284,8.39073119880847,11.9747200690265
"GSS",0.180564666023942,12.296,7.383,21.582266346362,1.14743384439543,35.1393167601714,7.49671923498168
"HCC366",0.164832899354452,12.536,22.5,59.4351501126141,0.616254561348138,21.4974613012169,23.8760670597905
"Kuramochi",0.0748743069373729,13.874,1986,1864.19481548973,0.385823375207998,0,1864.19481548973
"LS411N",0.0755463835296391,13.881,8.048,NA,4,71.8863500846013,8.02422724899762
"LS513",0.327081047729932,10.117,1.122,1.98301986998905,1.48366368728354,28.8127516497429,1.11171342864502
"ONCO-DG-1",0.0734489991232823,13.902,272.4,266.78963555539,0.641256792056151,0,266.78963555539
"ONS-76",0.136639431588042,12.951,9.33,30.0006385433199,2.19897398028993,46.0936935438045,9.41068571509105
"SK-CO-1",0.13414346933647,13.015,5.983,NA,2.29190921593307,54.9242117128953,5.9508682858947
"SW48",0.27302882221111,10.916,5.003,7.45253053800284,0.879488468519525,14.5096665901729,5.04715185497449
"VM-CUB-1",0.201539980266391,11.984,8.706,26.4641652065096,0.715106193131487,26.7940241993737,9.04639303224118
"BEN",0,15,17230000,NA,1,100,0.26
"CFPAC-1",0.0783791572971485,13.821,66.42,353.691917048976,0.766501379589364,35.8560776191445,68.1030178865198
"HCC78",0.152420821943743,12.72,54.02,53.6565178459637,0.642565976402235,0,53.6565178459637
"HT",0.11419950810486,13.285,14.41,42.5198698816398,2.33486786404156,45.8440411198864,14.6524763074752
"KU-19-19",0.0906325487574486,13.646,2.074,NA,4,76.8770628271782,2.23702655675261
"NCI-H1299",0.054550782905589,14.24,16.9,NA,2.02693912576733,56.5929980386958,36.6548363230925
"NCI-H727",0.0461987974422244,14.307,13.06,NA,3.40236541649529,79.007144896868,13.2871379537164
"NCO2",0.211496695595595,11.848,10.58,16.1092824483914,0.923432089519317,14.899112271151,10.9820644581656
"OVTOKO",0.108020960688605,13.385,65.1,64.4506842666263,0.976427987506422,0,64.4506842666263
"P31/FUJ",0.16408778026677,12.546,3.38,NA,1.23913313974684,53.3849125383779,3.4139625272262
"Peer",0.0694512117655977,13.968,32.53,NA,1.8525822667208,51.4296033669217,30.6109955963366
"RPMI-8402",0.240285395607481,11.403,5.157,8.39877167523367,1.28370337339223,22.8159311545929,5.22456483424038
