"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.200791081062763,11.984,39.11,39.0497569012233,0.367716191271709,0,39.0497569012233
"KPL-1",0.0546600708023158,14.214,3.968,NA,4,80.4436233036117,3.6026353069744
"MKN1",0.099363633659577,13.505,102.8,101.58046354576,0.558696953994531,0,101.58046354576
"253J-BV",0.0612186738143112,14.067,20.88,46.2483839289353,2.896783679697,44.8988382875094,21.0324142324589
"BFTC-905",0.0270814302830055,14.605,50.6,54.9145576132955,4,0,54.9145576132955
"BFTC-909",0.13307056370198,12.997,24.72,24.7872007832342,0.873576904663296,0,24.7872007832342
"CAL-120",0.022637065420362,13.512,2.771e+14,100.723465706641,1.6910617680189,0,100.723465706641
"CAL-29",0.200763489011698,11.976,4.514,6.276466046445,1.80901981978218,21.9856969067135,4.55658807554174
"CAL-62",0.0867100304198904,13.693,8.727,NA,3.69396365683853,55.3762572839799,8.74182447618987
"HuCC-T1",0.141922741464538,12.89,31.66,64.8395801177734,0.496029636205315,11.0654306215831,39.1590232840896
"NMC-G1",0.0628809858245116,13.974,0.5135,NA,4,72.3765865632145,6.17978474835804
"RPMI-7951",0.181199055982665,12.279,12.82,15.7212138162102,0.704557894390957,5.34599110066041,13.3900879013259
"253J",0.179217039030388,12.302,8.637,9.62596776905766,1.88394690736085,8.27889383821263,8.74411680291715
"HDQ-P1",0.0507475262255355,14.231,48.74,96.4335931328647,1.2030655889138,27.3023889015774,50.0186302862987
"SNU-489",0.145752797097809,12.7,0.1298,235.657663959822,0.356850766296735,17.1875859956413,72.3857722259236
"SNU-626",0.0720599276317177,13.915,58.69,58.4951108898897,1.00811027065534,0,58.4951108898897
"SNU-878",0.103458514942433,13.423,23.13,23.0120381156921,2.63973568822105,0,23.0120381156921
"TUHR4TKB",0.0847354752855875,13.684,4.173,NA,4,66.8592625460054,4.61568340514135
"ACC-MESO-1",0.138623764568082,12.92,48260,48866.9899809326,0.161788311292988,0,48866.9899809326
"B-CPAP",0.0524519906246282,14.208,34.32,98.9601450351714,1.4001089287734,38.4863907360111,34.6700099349138
