"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0314211089754221,14.556,33.09,31.1533274395594,4,34.344995023666,23.3037193415355
"KPL-1",0,16.066,0.0006217,NA,0.782144895482901,100,1507.96792606648
"MKN1",0.0580165163850745,14.172,18.41,20.184614367547,4,14.2467261292722,18.5612367114973
"253J-BV",0.0933286021818998,13.602,17.45,17.3454748836468,1.39030260070977,0,17.3454748836468
"BFTC-905",0.0281361479152971,14.822,34.56,30.271185910701,4,0,30.271185910701
"BFTC-909",0.0351113991935796,14.768,33.64,27.4046313815106,4,0,27.4046313815106
"CAL-120",0.206398749455581,11.915,2.935,3.34773724272239,4,13.2340406628609,3.10006170488477
"CAL-29",0.0271777902321454,14.611,31.39,31.2179221263326,3.74629851991474,0,31.2179221263326
"CAL-62",0.0226594649781504,14.899,35.69,33.0427813322488,4,0,33.0427813322488
"HuCC-T1",0.013854309485805,14.849,3.072,43.3291641526133,3.24894796233396,0,43.3291641526133
"NMC-G1",0.0894614644991338,13.658,11.77,16.4201534462639,1.83994112625304,23.6769841068718,11.5861900850719
"RPMI-7951",0.0629851413582226,14.062,20.6,20.3665803846087,2.83678875898203,0,20.3665803846087
"253J",0.118081482050346,13.252,2.66,NA,4,50.881115236668,3.0197053522846
"ALL-SIL",0.47921443405015,7.7918,0.2417,0.245154638713029,1.11970538868167,0.70635573466536,0.24205922022043
"HDQ-P1",0.14811893359138,12.756,0.2397,NA,1.0113740453233,58.4168117852254,0.923505041881823
"SNU-245",0.181225352235878,12.599,2.733,4.83111509877654,1.40590976162834,31.6059656018737,2.37214952532009
"SNU-489",0,14.845,0.1931,NA,0,100,1e+06
"SNU-626",0.174768291246699,12.364,2.853,7.18413417276899,1.03245439219373,30.8586635487612,2.83455366585643
"SNU-738",0,14.817,0.2132,NA,4,100,1e+06
"SNU-878",0.363562568072368,9.5317,0.4761,0.649414643457553,0.998047698463923,12.9662130985608,0.480723300748327
"TUHR4TKB",0.242143234820492,11.336,1.353,1.8548569579172,2.13172684598849,23.1877322475835,1.38469454418771
"ACC-MESO-1",0.077192061704954,13.883,2.124,NA,4,72.4604155785728,1.99232859232039
"B-CPAP",0.0805946925907978,13.783,1.292,NA,1.548771517792,74.6660603683472,1.34815826520485
"CGTH-W-1",0,15,4495000,NA,1.03294605336812,100,12.4403948918752
"COLO 680N",0.0250666271652298,14.623,2.11,NA,4,90.8729496157146,2.11327144189816
"ECC12",0,15.368,1.23e-05,NA,1.23080386194963,100,68.6719040155843
"HCC95",0.156102347423374,12.637,1.692,3.7546972973376,3.59341842529706,46.9760094064904,1.71994082841868
"JMSU-1",0,16.114,0.2115,NA,0.714800640930005,100,0.0595761721797926
"Rh41",0.321204930797793,10.172,0.1596,4.16548444819462,0.437842557091664,37.9933519810524,0.160200260490388
"SNU-175",0.49920765813803,7.5037,0.03022,0.168960970596164,0.227397038273318,16.353927008854,0.0295967119487161
"WSU-DLCL2",0.209692827313899,11.839,1.142,2.92729950892166,1.45161229363751,36.9648544470239,1.1594616147123
"23132/87",0.0249773805699169,14.623,2.879,NA,1.33488464723875,89.8648183363268,2.90614532846247
