"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.175494752244139,12.387,0.4325,NA,2.68302570842642,58.1132771020051,0.422058314300478
"KPL-1",0.0651288447500557,13.875,0.8175,352.933244933661,0.687184419176022,42.0615709969793,24.2456828003309
"MKN1",0.227033584530767,11.606,1.19,1.72661101228909,2.26371652826924,29.2656724460931,1.17036614456065
"253J-BV",0,18.509,0.3104,NA,1,100,8.3
"CAL-120",0.261969754683614,12.076,2.206,6.91551957891922,0.353906503817566,0,6.91551957891922
"CAL-29",0.130136172564901,13.088,0.1161,NA,4,76.6513861134467,0.100015765698743
"CAL-62",0,18.486,0.2549,NA,1,100,0.26
"RPMI-7951",0.358589567328704,9.1389,0.008265,1.22437021674598,0.40625,6.56249999999999,0.865964323360065
"HDQ-P1",0.344364378444048,9.8336,1.105,1.4497792870246,0.419912886382993,5.32964727958103,1.10848191091216
"SNU-489",0.294514155101055,11.849,0.1418,331.034964977991,0.119874121696855,0,331.034964977991
"SNU-626",0.274721665187939,10.906,5.447,5.54306680112282,0.353941457843401,0,5.54306680112282
"SNU-738",0.279342775046132,10.78,1.618,1.74712706982881,1.11641646660896,5.24347807571221,1.58207826334826
"TUHR4TKB",NA,NA,NA,NA,NA,NA,NA
"ACC-MESO-1",NA,NA,NA,NA,NA,NA,NA
"B-CPAP",0.23797642385632,11.444,1.359,2.11607738252354,1.37184096907107,22.3070947862753,1.37556951519153
"CGTH-W-1",0.0330285683616277,14.325,2.159,117.224619480698,1.05494235225485,31.0066379499104,46.8321211044384
"COLO 680N",0.115109775577187,13.242,2.432,NA,2.18307669854307,54.620472165532,2.36033681351373
"ECC12",0.262020930301145,11.085,1.789,1.84540355381848,4,6.61682329033129,1.78106261999598
"HCC95",0.26386215153359,11.052,0.7302,1.27157807853461,1.47605296653408,28.0869607430061,0.727148579308539
"Rh41",NA,NA,NA,NA,NA,NA,NA
"23132/87",NA,NA,NA,NA,NA,NA,NA
"8305C",NA,NA,NA,NA,NA,NA,NA
"BHY",0.381006307618468,9.2077,0.008999,1.33743909315862,0.306342479158826,16.5939100158577,0.358547514209271
"GSU",0.166197256500123,12.636,2.942,3.65159475727865,4,28.2266039601986,2.96634470408368
"JIMT-1",0.187381836712875,12.196,1.856,2.77012950563824,2.58679176622494,32.2790434864073,1.85503776998508
"KMRC-20",0.22034363224183,11.694,0.4188,3.84871334513889,1.35580737265204,47.5308819915753,0.418539151952385
"OUMS-23",0.193850221295786,12.094,2.152,2.6126631531417,4,25.7774878020705,2.17969493549201
"SNU-1076",0.338692937148036,9.9123,1.167,1.12247126547967,0.655147739401575,0,1.12247126547967
"SNU-1196",0.226098357237279,11.645,1.47,3.82152442726913,0.794441247045703,25.6745228508475,1.54299331220477
"SNU-8",NA,NA,NA,NA,NA,NA,NA
"A-375",NA,NA,NA,NA,NA,NA,NA
"A-549",0.154125927641035,12.693,12.49,12.5821658193475,0.660852415010986,0,12.5821658193475
"NCI-H2009",0.460835586124406,7.9586,0.4018,0.282818452072743,0.614320358723604,0,0.282818452072743
"SNU-1079",0.521606010884472,7.1751,0.131,0.1370870940819,0.584003239765403,1.31328385740145,0.130979394760137
"COLO 741",0.430557076205371,8.5409,0.04682,0.701747291816492,0.260196868336134,25.2097890663641,0.0473351360728172
"DEL",NA,NA,NA,NA,NA,NA,NA
"HARA [Human squamous cell lung carcinoma]",0.452072689430092,7.563,0.009012,0.231592355308994,0.586986371174403,15.0151365624308,0.126040626438583
"HCC15",0.216990237626131,11.756,1.58,2.06923317722268,2.63707365231057,25.8794195393203,1.5694910463347
"KP-4",NA,NA,NA,NA,NA,NA,NA
"Lu-99A",NA,NA,NA,NA,NA,NA,NA
"NCI-H1155",NA,NA,NA,NA,NA,NA,NA
"NCI-H1581",NA,NA,NA,NA,NA,NA,NA
"NCI-H358",0.322775966744249,10.155,0.3814,0.875493005981665,0.835245842199307,25.143516693103,0.379184267288378
"DLD-1",NA,NA,NA,NA,NA,NA,NA
"EM-2",NA,NA,NA,NA,NA,NA,NA
"JURL-MK1",NA,NA,NA,NA,NA,NA,NA
"KE-37",NA,NA,NA,NA,NA,NA,NA
"Li-7",NA,NA,NA,NA,NA,NA,NA
"MHH-NB-11",0.464086626496355,7.824,0.4311,0.269278594449234,0.703763505756513,0,0.269278594449234
"NCI-H28",NA,NA,NA,NA,NA,NA,NA
"639V",0.222525411896293,11.908,1.4,2.14963016004717,4,18.7212773161569,1.91176056138249
"BxPC-3",0.412601150235196,8.81,0.3144,0.409744954800553,0.68713545507643,8.41762888623179,0.313328447981109
"CML-T1",0.45599607388909,8.1641,0.2054,0.224410736610923,1.80094331374859,6.35557132210628,0.208094283466965
"GSS",0.410182900140215,8.839,0.3801,0.400700403898717,1.74558315514336,4.39906650575493,0.380107936962493
"HCC366",0.152810696493297,12.729,1.73,3.27083423910889,4,46.1476719846684,1.72324429336396
"Kuramochi",0.188999256821674,12.163,28.31,28.3578137471415,0.352798513100879,0,28.3578137471415
"LS411N",0.173806486046887,12.421,1.534,2.35212539581801,4,41.2049728188615,1.52327132387741
"LS513",0.294731577360202,10.599,1.026,1.12047809913181,2.52731493591344,12.2317031293151,1.00275093456469
"ONCO-DG-1",0.355364158955958,9.6758,0.4604,0.588024634916962,1.27603816760737,13.6004557283716,0.458508069283311
