"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.201136100282946,11.937,8.217,8.14780335731152,2.91697624096625,0,8.14780335731152
"KPL-1",0.177560558254041,12.162,8.852,10.406415495322,4,0,10.406415495322
"253J-BV",0.291959698905059,10.517,3.744,3.22928477335285,1.22081257552638,0,3.22928477335285
"BFTC-909",0.276391454382889,10.61,1.97,3.46889863341928,1.5322400440455,4.65471757759824,3.2545801724051
"CAL-29",0.38649861548183,9.2002,1.527,1.53992652605949,0.453125,0,1.53992652605949
"CAL-62",0.318078707714231,10.352,2,1.9257537406465,4,7.41653172614325,1.84998627592779
"HuCC-T1",0.384187240653192,9.2373,1.606,1.60245471239798,0.44678654220058,0,1.60245471239798
"NMC-G1",0.100573816753863,13.492,29.07,29.0966136803781,1.30155795853081,0,29.0966136803781
"RPMI-7951",0.293733451656096,10.779,1.914,1.87506339945321,4,16.5317647114719,1.69602269319363
"253J",0.377620348973164,9.2162,2.13,1.36043886328271,0.80458421877024,0,1.36043886328271
"ALL-SIL",0.373587046276311,9.3911,1.294,1.31949306402174,1.75021400337917,0.942068730721798,1.30523059918833
"HDQ-P1",0.37535450470977,9.231,10.81,1.58072798720444,0.550509865006163,0,1.58072798720444
"SNU-245",0.402841451350539,8.9174,0.08499,1.14529486416415,0.489552088108549,4.5890094263369,0.940837669629198
"SNU-489",0.20764062666958,11.884,10.26,10.2736984027209,0.741697360828209,0,10.2736984027209
"SNU-626",0.265830737371333,10.822,5.227,4.23422609709375,1.32838617266884,0,4.23422609709375
"SNU-738",0.181138271112836,12.281,12.44,12.4808686312297,0.907698084470425,0,12.4808686312297
"SNU-878",0.344627696267381,9.7961,1.921,1.84070158906323,1.33879418398528,0,1.84070158906323
"TUHR4TKB",0.248073270922623,11.198,8.513,5.51478168895308,0.937153110133643,0,5.51478168895308
"ACC-MESO-1",0.185548193162472,12.191,9.696,9.62158418905203,2.32629005203521,0,9.62158418905203
"B-CPAP",0.218840748705671,11.666,7.327,6.87883954174344,1.61913819526001,0,6.87883954174344
"CGTH-W-1",0.219029053242366,11.704,6.798,6.80988082308921,1.87182524578929,0,6.80988082308921
"COLO 680N",0.292614225199717,10.614,3.73,3.72306771425356,0.703795860743976,0,3.72306771425356
"ECC12",0.170059121677036,12.298,44.74,12.4296826406131,1.22293879391917,0,12.4296826406131
"HCC95",0.296702250856347,10.554,5.779,5.77098643790123,0.419347716004007,0,5.77098643790123
"JMSU-1",0.315494526358489,10.225,2.74,2.52906771655931,1.14115804786044,0,2.52906771655931
"Rh41",0.331689554149616,9.9631,2.291,2.1091008013198,1.33029948238775,0,2.1091008013198
"SNU-175",0.535965670735102,6.9592,0.1244,0.124490028964193,0.140476056237778,0,0.124490028964193
"WSU-DLCL2",0.312876895918624,10.305,2.573,2.56186532158603,1.44266327030156,0,2.56186532158603
"23132/87",0.279072064440679,10.779,3.695,3.62966124818604,1.7969875473444,0,3.62966124818604
"8305C",0.307505568054928,10.388,2.516,2.58917591046319,1.47650101197945,2.34631445995253,2.50625012819561
"BHY",0.544789720974608,6.7544,1.098,0.205925107280833,0.447343435948309,0,0.205925107280833
"GSU",0.25381241369377,11.124,5.671,4.83845768685481,1.27312779991463,0,4.83845768685481
"JIMT-1",0.209642316302996,11.885,6.221,6.502576813979,4,7.50409345373105,6.24352370047016
"KMRC-20",0.242079288543414,11.214,9.408,5.64881026467763,1.09133933219662,0,5.64881026467763
"OUMS-23",0.228770478437773,11.541,6.76,6.31442271949405,1.32064498471097,0,6.31442271949405
"SNU-1076",0.577216121451462,6.3304,0.1593,0.146144105122699,0.539421754794564,0,0.146144105122699
"SNU-1196",0.266443039777559,10.951,13.07,5.42691987413901,0.643868910854477,0,5.42691987413901
"SNU-8",0.26573514157311,10.672,10.79,4.38567334710336,1.04976880034724,0,4.38567334710336
"A-375",0.125137486652315,13.102,17.13,17.9764676725313,4,0,17.9764676725313
"A-549",0.204757068133593,11.767,13.81,8.23130473102563,1.30790644324818,0,8.23130473102563
"NCI-H2009",0.305839281470048,10.325,4.992,3.06482833685391,0.769621723297224,0,3.06482833685391
"SNU-201",0.245267956196593,11.205,9.066,5.47647226883238,1.07068451389182,0,5.47647226883238
"SUIT-2",0.0749131958370123,13.904,29.56,30.2503535549543,4,3.70536806887002,29.6736255945111
"SNU-1079",0.700831409642671,4.484,0.02883,0.0285034569765877,0.484238997976458,0,0.0285034569765877
"HARA [Human squamous cell lung carcinoma]",NA,NA,NA,NA,NA,NA,NA
"HCC15",0.306112175946375,9.9494,0.3957,3.09313996561331,0.746330068123378,0,3.09313996561331
"NCI-H358",0.545528571975175,6.8167,0.07333,0.1123615463605,0.9082186490844,16.0959281943397,0.0732570634612164
"MOLM-13",0.413309419652063,8.8165,0.551,0.636301385509226,1.48694370659759,10.389935087458,0.544036090107647
"NCI-H1975",0.731703670366851,4.0251,0.01304,0.0161209207602992,0.841997336952846,8.42789410414159,0.0129472688175485
"BxPC-3",0.470764394178256,7.82,1.355,0.512680996515657,0.535524152876967,0,0.512680996515657
"GSS",0.362883147131894,9.5663,1.091,1.17561847351365,4,7.15447269315804,1.13109810256059
"HCC366",NA,NA,NA,NA,NA,NA,NA
"Kuramochi",0.354105226889464,9.6849,2.053,2.05184881857214,0.548195375817472,0,2.05184881857214
"LS513",0.46731346853839,8.0073,0.2986,0.323689305790972,4,9.45999152961661,0.307154448025542
"ONCO-DG-1",0.465265349324174,8.04,0.3138,0.337310239877649,4,9.12439383058883,0.320739963843784
"SW48",0.588338477201628,6.0754,1.171,0.102319743645187,0.357982064554232,0,0.102319743645187
"VM-CUB-1",0.483567205863147,7.7171,0.8549,0.446678164067027,0.454206126922311,0,0.446678164067027
"BEN",0.0964694445941579,13.326,19.62,24.3009210233968,4,0,24.3009210233968
"CFPAC-1",0.146553440333777,12.799,20.91,20.9788204408052,0.847150290941844,0,20.9788204408052
"HCC78",0.215776503620706,11.784,5.772,6.12396833457179,4,7.05916368981113,5.89532917923176
"HT",0.47318476302217,7.9138,0.438,0.445094710492743,1.39268131169343,2.13949167174887,0.431335227576645
"NCI-H1299",NA,NA,NA,NA,NA,NA,NA
"NCI-H727",NA,NA,NA,NA,NA,NA,NA
"OVTOKO",0.333630706966421,9.9963,3.644,3.63828442557035,0.39468164573429,0,3.63828442557035
"Peer",0.383423023540522,9.2693,1.09,1.13456879379911,4,2.08143092930741,1.12257222682374
"SNU-1077",0.265401463259635,10.796,0.3235,6.77159335456706,0.520694541824551,0,6.77159335456706
"COLO 205",NA,NA,NA,NA,NA,NA,NA
"KMM-1",0,16.385,2.784e-130,NA,0,100,1e+06
"LCLC-103H",NA,NA,NA,NA,NA,NA,NA
