"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.102969509606672,13.456,9.838,610.038696566614,0.806954214486367,48.0620981797141,10.864661739805
"KPL-1",0.00188093605222477,14.152,36.66,62.892317014745,4,0,62.892317014745
"MKN1",0.178318041857663,12.327,3.519,10.3237998636556,1.25424171306931,36.6599240812179,3.60033299634574
"253J-BV",0.0865151404683103,13.709,49.26,49.1797244147302,0.932819784592216,0,49.1797244147302
"BFTC-909",0.0246501057770905,14.665,14.56,113.227997994762,1.71664908182163,25.3772986275369,74.9458418837998
"CAL-120",0.0145531821456463,14.591,0.7855,18.6300302539154,4,0,18.6300302539154
"CAL-29",0.0778823201671659,13.929,7.986,NA,4,64.0587938878694,6.92506263269674
"CAL-62",0.0424584269862953,14.36,11.84,NA,1.6731880891859,74.5900024639889,11.997404104424
"NMC-G1",0.0326652865029466,14.296,0.195,NA,1.479560160206,76.771889486632,16.5919486429774
"253J",0.118847121350054,13.208,32.58,32.7812115139346,0.828125,0,32.7812115139346
"ALL-SIL",0.583889373884254,6.4079,0.02955,0.0311038905578415,4,22.1826158813584,0.0268628004500274
"HDQ-P1",0.117411749931916,13.236,48.66,48.6021678027587,0.652012127099362,0,48.6021678027587
"SiMa",0.527899295587514,7.0834,0.08454,0.11142396140254,1.63404356614491,17.3208542454399,0.0858907777920482
"SNU-489",0.0844209504818947,13.742,40.44,40.4407629028554,1.156785958909,0,40.4407629028554
"SNU-626",0.0614694172583373,14.075,10.52,NA,2.02032314984209,65.0719123874042,10.7083570563522
"SNU-738",0.142256342374969,12.87,12.78,17.0397699366723,1.24110831858103,11.9786753600172,13.6655716651791
"SNU-878",0.407505104063435,8.7014,0.02851,0.79717542306399,0.552681766255952,22.1334766693595,0.276809287602358
"TUHR4TKB",0.171957532938778,12.46,0.1225,NA,4,71.8383614045612,0.11494712562553
