"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"TE-4",0.22225857512108,11.662,6.745,7.57472633404948,0.868193722707688,4.78990395224389,6.74516743942865
"KNS-60",0.0538893195938775,14.188,31.7,72.0465658858748,1.60038259884568,35.6848472562317,32.9769649807646
"KNS-81",0.0184486005190718,14.725,113,115.94200482401,1.78324320623499,10.9293924967517,100.964934933414
"ML-1 [Human thyroid carcinoma]",0.0517181378807924,14.207,26.36,45.5723622729392,3.44120903701693,42.6049899921392,26.1515939727464
"NCI-H2228",0.148046459623893,12.776,9.503,20.9847879021265,0.943723686975507,25.8416162951197,9.70877681841205
"NCI-H2452",0.135296638661825,12.971,12.08,18.6966663347156,1.25487103206368,19.0665248284985,12.7520128027038
"NCI-H2444",0.030682377157025,17.816,4.879,137.890096678003,4,49.7759011656547,35.6779978011951
"NCI-H226",0,16.983,1.204e-13,NA,1,100,66
"PC-14",0.0316706242200922,16.361,6.156e-268,87.6211929082093,4,48.6622274201827,35.437431189936
"RS4;11",0.227885912574124,11.583,1.861,5.92141241734763,0.988992593295338,34.1406825332508,1.85434043960264
"SJSA-1",0.0894260426863653,13.662,22.59,75.778481768563,0.921529518642862,33.078964057276,23.3848698440748
"SK-MM-2",0.104619774174946,13.431,8.095,43.6761422989426,2.00648212743232,48.2998593493981,8.09792471539963
"SNU-761",0.0757861900722344,13.852,19.59,82.4515764034429,1.26637194697704,41.6991936500005,19.9703118451139
"SU.86.86",0.0789012406904159,13.876,7.532,NA,4,63.1096768108749,7.13076795061202
"SW1271",0.0305811971576105,14.538,58.36,147.040766365305,1.61545645388,39.8475361853113,54.8061307004654
"TE-6",0.179828154241495,12.297,8.197,12.2251966429644,0.948800592244136,15.2209793814799,8.33865308840975
"TE-8",0.152134640438367,12.712,5.091,52.4609813072604,0.777414939357296,41.8228129070626,5.10884165572041
"ECC10",0.37615497559787,9.166,13.34,1.54926458289192,0.562444404096304,0,1.54926458289192
"HCC1195",0.13474358167829,12.977,3.16,NA,0.701655852578795,55.853131770377,3.21422964332451
"HPB-ALL",0.205542764335058,11.884,10.97,8.47327989633031,1.11804141307879,0,8.47327989633031
"KMS-18",0.261739037481851,11.071,3.701,4.25623505809723,1.06772340923268,6.64525248309711,3.72409336969353
"KMS-12-BM",0.313478347143621,10.297,1.777,2.53238251655394,0.747715681027131,11.8734877309525,1.76221593032381
