"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"253J-BV",0.136964829667343,12.934,28.73,28.8513190248847,0.728794345411972,0,28.8513190248847
"BFTC-905",0.0712136981658247,13.925,14.8,62.7305108646281,4,49.8329902508467,15.0807096736083
"BFTC-909",0.149131851424041,12.74,27.66,20.298370652902,0.843654927220495,0,20.298370652902
"CAL-120",0.086003941256797,13.704,11.75,37.6721639145034,2.8392590622745,48.1578522251022,11.7783394191377
"CAL-62",0.0827780957103895,13.734,15.51,24.897597170477,3.50834031782288,39.9818135345335,15.7453167478725
"HuCC-T1",0.145273054993639,12.824,4.191,18.0203918915063,1.61552817008405,45.228171952754,4.2093517624669
"NMC-G1",0.0443228406827718,14.331,24.03,NA,4,54.0913519694279,24.2812868379475
"RPMI-7951",0.137650567503298,12.932,22.53,22.6204420473665,0.896501230988207,0,22.6204420473665
"253J",0.142994821326061,12.845,28.99,17.4286367933759,1.19156560098583,0,17.4286367933759
"ALL-SIL",0.525009695909567,7.1199,0.2247,0.230486483835324,2.87002191415193,3.9290260266358,0.224006887786624
"HDQ-P1",0.0334100887107078,14.516,16.45,NA,4,74.5827324512487,16.8290442029064
"SiMa",0.315055848828199,10.389,1.315,1.8043988775324,1.30930554224758,15.8418898173298,1.34880094858099
"SNU-489",0.125782957309823,13.11,20.26,20.3079809506565,1.38011864394474,0,20.3079809506565
"SNU-626",0.163412935858313,12.794,1.324,NA,0.779819921587662,50.7456204546539,2.27524610320823
"SNU-738",0.219419579053443,11.829,1.415,11.4948131432074,0.58181722454153,5.65275661494488,9.35296034024941
"SNU-878",0.237313433847958,11.435,2.407,3.12200403390944,2.76493078128399,25.3324388077221,2.41800077495792
"TUHR4TKB",0.146749717204412,12.792,7.613,16.9827031326296,1.21403000132017,31.0274478163873,7.64462526704226
"ACC-MESO-1",0.0935864389350169,13.59,18.39,33.0527200807983,1.47259776675551,28.3924507102257,18.6972381282775
"B-CPAP",0.147398318814,12.785,12.43,15.3636694848198,1.33560916463163,10.8026268318226,12.8039884467953
"CGTH-W-1",0.513644597924047,7.2799,0.3195,0.313900729877822,0.811452565842271,0,0.313900729877822
"COLO 680N",0.04483219557346,14.368,10.03,NA,3.18962817153342,72.0169003801278,12.4823170719147
"ECC12",0.11343435094218,13.296,12.62,19.1723672107489,2.11285327666476,28.3347329303572,12.9054357194788
"HCC95",0.217530093928409,11.712,2.247,3.0640861019348,3.60906951737307,32.7313123179366,2.28228721974557
"JMSU-1",0.390455659190863,9.1499,0.8448,0.938886459285236,1.27742158884479,7.1797692042339,0.831595986318877
"Rh41",0.267615092290177,10.966,4.462,4.26850535409065,1.08431301678285,0,4.26850535409065
"WSU-DLCL2",0.160454273548009,12.587,12.85,13.2910812840918,1.41429879400206,0.743035073234355,13.1511197123731
"23132/87",0.126347626312397,13.059,33.21,20.1384770178038,1.38501689214007,0,20.1384770178038
"8305C",0.142270918716731,12.861,14,15.7842671853804,1.529354877003,6.32834153955921,14.4476178937329
"BHY",0.101045623699963,13.494,14.1,28.0319532901639,1.56891410607705,29.7595417657944,15.7514738479294
"GSU",0.0646000000000001,14.004,5.288e-18,NA,0,87.08,291.802753319886
"JIMT-1",0.0696332279822727,13.951,29.88,54.1714140724062,1.35214708713894,26.7519825550975,30.7470028879739
"KMRC-20",0.101805786823343,13.465,13.85,22.103155951758,2.26940717731576,32.4809960046217,13.9238213439263
"OUMS-23",0.0277509974638178,14.931,10,NA,4,80.9405576637607,14.5174894318742
"SNU-1076",0.0888562823596944,13.67,12.56,87.9946826992457,1.25438805269367,45.2313675235779,13.5161069782753
"SNU-1196",0.0848659086369141,13.717,14.29,32.6791411370043,2.28616306463958,42.1483422645592,14.5407196811475
"SNU-8",0.100256168142143,13.487,11.17,61.0096780405202,1.25107390546686,44.0773207489144,11.0885179496924
"A-375",0.0903705668619247,13.626,12.61,27.9957086857761,2.50797227412438,43.0567191340613,12.7414705870754
"A-549",0.146490602504323,12.802,25050000,58189939.7030348,0.105606974827884,17.4470946223483,1e+06
"NCI-H2009",0.202667441407938,11.864,2.296,3.62190034088423,4,33.775675277571,2.73360432320171
"SNU-201",0.192173431963562,12.105,6.98,8.18968828509349,1.65177179370316,11.5434033468327,6.98636199192012
"SUIT-2",0.0391086910339525,14.413,30.24,76.6014239118733,4,48.8032510999987,30.129720350792
"SNU-1079",0.0552520986738772,13.312,20.47,20.8548128212479,2.95404385368061,0,20.8548128212479
"DEL",0.282668659580053,10.748,3.488,3.49554955335195,1.80019263354176,0,3.49554955335195
"HARA [Human squamous cell lung carcinoma]",0.241804400204831,11.361,2.641,3.10972475345682,3.70395682641694,21.5652657115627,2.67020035532295
"HCC15",0.227616758363155,11.603,4.667,5.52596360292422,1.57588485473251,10.04289951981,4.79310208682264
"KP-4",0.193030182553385,12.114,3.36,5.49776558760898,2.1374606396195,32.6127752472314,3.35403187178868
"Lu-99A",0.163745273557637,12.566,12.81,13.5453664214233,1.18557789745661,0,13.5453664214233
"NCI-H1155",0.199941709037,12.011,8.098,8.48670977619607,1.43708713299887,0.848737654469603,8.38620476881276
"NCI-H1581",0.334555048485446,10.009,0.7223,0.995260454580203,1.80007710026325,23.4266666094821,0.700535204458082
"NCI-H2106",0.184134840698315,12.245,5.566,7.95265045258928,1.56816292631459,26.7126993720117,4.88533451909626
"NCI-H358",0.147430418888378,12.827,2.432,NA,2.49294838530711,55.5300395080648,2.09682246228528
"DLD-1",0.0381294563602836,14.012,16.22,NA,2.37482173648654,50.099170237318,17.0097104113082
"EM-2",0.500637417839128,7.4837,0.2135,0.228923466703918,2.8791046338419,9.16568361317852,0.213375454033091
"JURL-MK1",0.562443675320857,6.5716,0.1694,0.176895609135686,4,1.29178733938757,0.175741812184533
"P12-Ichikawa",0.338341659978333,10.295,1.786,1.63831519043075,4,5.501337899904,1.59126201320649
"KE-37",0.31342388659935,10.349,1.976,2.14117333671431,1.68850091351711,7.53054744157357,1.94386392893441
"KMS-21-BM",0.272869619818949,11.113,1.922,1.9336961818807,4,22.9286300173331,1.6587208250757
"Li-7",0.30951779788155,10.312,15.57,4.99198468458445,0.406390170950834,0,4.99198468458445
"MHH-NB-11",0.39418987309529,9.1141,0.948,0.960135184316834,2.70567934467244,3.69785968681865,0.933253142149063
"MOLM-13",0.307962551010471,10.396,1.326,1.52791242074295,2.870803219651,18.3723326876051,1.30260795367738
"NCI-H28",0.118718737542969,12.683,9.504,13.8149465022189,1.21334775785012,18.4612629451926,9.44957768304019
