"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.197332913032344,12.036,8.076,8.17027585456643,4,2.27199056534671,8.0758370859897
"KPL-1",NA,NA,NA,NA,NA,NA,NA
"MKN1",0.0738601894255361,13.882,32.13,32.2064448006032,2.67883585874612,0,32.2064448006032
"253J-BV",0.0725669720482818,13.992,32.13,31.4109527174773,4,0,31.4109527174773
"BFTC-905",0.119185355298764,13.073,16.88,19.1323024580028,4,0,19.1323024580028
"BFTC-909",0.138638739591609,12.864,16.63,15.7773809118573,2.48354506634234,0,15.7773809118573
"CAL-120",0.140222690666882,12.83,35.71,16.7168301819566,1.46505516213111,0,16.7168301819566
"CAL-29",0.106144974158149,13.389,21.57,22.0137987919958,2.97708278729928,1.33252927006476,21.814963038846
"CAL-62",0.08370017293786,13.709,36.54,28.5976778669548,2.75590933479071,0,28.5976778669548
"HuCC-T1",0.0612200238585807,14.073,39.87,35.6260419286629,4,0,35.6260419286629
"NMC-G1",0.125714218067587,13.086,17.56,17.8983778647737,3.48583275469425,0,17.8983778647737
"RPMI-7951",0.147588609792614,12.77,13.51,13.9825126367195,3.0750129893066,2.0933405108753,13.7893845534414
"253J",0.133284959557687,12.946,16.68,16.5689232586462,3.07499675443744,0,16.5689232586462
"HDQ-P1",0.0499298591444091,14.256,40.88,40.6393827073251,3.95886103336201,0,40.6393827073251
"SNU-245",0,14.522,61.94,NA,0,100,1e+06
"SiMa",0.323992361171055,10.146,2.926,2.91108717637333,0.566577344112496,0,2.91108717637333
"SNU-489",0.19242988099814,12.228,11.23,10.3733713202627,1.95523027442996,0,10.3733713202627
"SNU-626",0.0618256645225955,14.071,35.82,35.7329802270397,3.57126438157218,0,35.7329802270397
"SNU-738",0.251604724152926,11.488,7.379,7.37262317552191,0.731107258093856,0,7.37262317552191
"SNU-878",0.0890950504589527,13.63,27.33,26.3657659433393,3.65675832874831,0,26.3657659433393
"TUHR4TKB",0.0996312913340216,13.459,34.07,24.6888420120658,2.1463863720034,0,24.6888420120658
"ACC-MESO-1",0.193936565329134,12.104,10.88,10.8497115756925,0.877053477681707,0,10.8497115756925
"B-CPAP",0.1826049489356,12.386,11.74,11.314846738206,2.46213476157361,0,11.314846738206
"CGTH-W-1",0.335686495909106,10.052,8.043,2.75434940063397,0.839043678841557,0,2.75434940063397
"COLO 680N",0.0917687179323529,13.71,33.52,33.543551591082,1.4772082755765,0,33.543551591082
"ECC12",0.201028965835491,12.223,14.81,14.7726941922006,0.678067707922556,0,14.7726941922006
"HCC95",0.14024286399259,12.992,22.2,17.7691111680493,1.843430716001,0,17.7691111680493
"JMSU-1",0.726545045300351,4.4539,0.0415,0.0187881187613524,0.359292597203881,0,0.0187881187613524
"Rh41",0.420157406527903,8.9033,1.711,1.15471920318382,0.879270326197851,0,1.15471920318382
"SNU-175",0.225562636250251,11.821,17.87,11.0933156204932,0.657687835018163,0,11.0933156204932
"WSU-DLCL2",0.146377250857295,12.932,16.09,16.1908316191702,2.458090867363,0,16.1908316191702
"23132/87",0.105312469891844,13.305,30,22.6338655391484,2.53078517864313,0,22.6338655391484
"8305C",0.184956498924888,12.375,12.21,11.250030036098,1.80483798705245,0,11.250030036098
"BHY",0.175474118135724,12.493,13.47,12.2574488988308,2.0212801986346,0,12.2574488988308
"GSU",0.13401274831491,12.996,16.14,16.383888597444,4,0,16.383888597444
"JIMT-1",0.0499277596501396,14.321,42.13,42.3111320871301,4,0,42.3111320871301
"KMRC-20",0.107254364942339,13.35,22.73,21.935238159984,2.87556212851932,0,21.935238159984
"OUMS-23",0.153869389349088,12.828,14.58,14.9012248901618,3.02624865943129,0.167572097492689,14.8847038657768
"SNU-1076",0.170616356768374,12.572,14.32,13.0734338174504,1.73687284525454,0,13.0734338174504
"SNU-1196",0.11552120264461,13.374,20.21,23.0889686997093,1.77292739361336,9.15690317968689,20.5993237095976
"SNU-8",0.072211818723438,13.87,58.95,32.4116544232559,2.92670913317083,0,32.4116544232559
"A-375",0.172988619624219,12.53,13.17,12.4752206843492,2.27948834290408,0,12.4752206843492
"A-549",0.160791035116529,12.692,15.53,14.126368474463,2.1727326598244,0,14.126368474463
"NCI-H2009",0.274721702922946,11.079,43.67,6.5209540590732,0.603967456234633,0,6.5209540590732
"SNU-201",0.40618587949578,9.2977,1.513,1.50483968416132,0.536488504434025,0,1.50483968416132
"SUIT-2",0.0359470853729676,14.553,50.97,50.0407276871759,4,0,50.0407276871759
"DEL",0.183558771505724,12.23,9.57,9.77649829037982,4,0,9.77649829037982
"HARA [Human squamous cell lung carcinoma]",0.0942291026636953,13.554,35.11,26.1746727155671,2.20435443557885,0,26.1746727155671
"HCC15",0.181593583192071,12.247,11.26,10.6943625664951,1.29764800972031,0,10.6943625664951
"KP-4",0.0937532316980189,13.535,46.69,26.4542320647281,2.14724216648982,0,26.4542320647281
