"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.10796119217114,13.393,227.9,228.246415763517,0.66673749114308,0,228.246415763517
"KPL-1",0.117648546613097,13.244,205.9,136.662463631041,0.827308258843366,0,136.662463631041
"MKN1",0.103659252975413,13.655,89.11,122.893424814125,1.15645219932582,0,122.893424814125
"253J-BV",0.0576225159499548,14.146,160.6,191.595641423209,1.89787262665916,18.5412148689945,150.091951630126
"BFTC-909",0.0756710055030636,13.862,85.66,198.624779564484,1.61080647020238,37.7223717851498,83.0674393369549
"CAL-120",0.0629350396525496,14.114,30.16,NA,4,70.712298295461,28.8055738117588
"CAL-29",0.0335926398433088,14.508,226.5,221.366685592264,3.10967858937373,12.1645683258502,202.385109897727
"CAL-62",0.083146532780644,13.737,142.3,153.149580880811,1.35185097431519,8.59585397722966,133.202645698541
"HuCC-T1",0.118448040192713,13.332,32.24,50.6981487296395,4,44.0567804598646,29.7683691995168
"NMC-G1",0.0180504928382478,14.794,2.32,NA,2.63754971043868,57.7033284081001,199.235544274861
"RPMI-7951",0.0653725260845941,14.032,257.9,179.256122282025,1.56186324409221,0,179.256122282025
"253J",0.143794636878174,12.838,48.25,59.1100322220785,1.70970542558969,14.0858222304684,48.7090035580795
"ALL-SIL",0.0980651235970114,13.51,112.2,98.9858582932545,2.91907238093276,0,98.9858582932545
"HDQ-P1",0.0449843846461305,14.325,309.6,310.058379987139,1.29668342602509,0,310.058379987139
"SiMa",0.200805833244008,12,35.53,35.2071965881991,1.28973478003954,0,35.2071965881991
"SNU-489",0.0200273945718258,14.703,2.299,NA,4,56.5726606730794,173.76973675984
"SNU-626",0.0221038139106024,14.649,132.9,312.876604763773,4,43.1576478285237,190.297001367268
"SNU-738",0.081293730165229,13.787,129,128.228327861014,1.99736956223634,0,128.228327861014
"SNU-878",0.283405206973181,10.748,49.85,49.8185958612147,0.3168686868735,0,49.8185958612147
"TUHR4TKB",0.076275000242816,13.861,150.1,149.376250171247,1.61067281536901,0,149.376250171247
"ACC-MESO-1",0.0436985286157623,14.113,25.98,NA,2.39700560459503,73.6687107837413,26.2971418319292
"B-CPAP",0.0687126698044124,13.266,67.99,80.8803670023933,1.94624316460904,14.5294266402541,67.8005252462214
"CGTH-W-1",0.061869786350697,13.496,73.89,111.199880394164,1.56724741414332,23.5597724218408,74.0541961693333
"COLO 680N",0.0530967006186572,13.624,134.8,132.037846065334,1.32813079200097,0,132.037846065334
"ECC12",0.0824056666092795,13.331,187.6,187.248520005807,0.714866900511208,0,187.248520005807
"HCC95",0.0586329994252814,13.976,29.58,NA,4,61.5835391840494,29.6743350088715
"JMSU-1",0.114694293882944,13.067,441.9,NA,2.55664204478688,57.7958742187544,15.9347320163469
"Rh41",0.0817480738634613,13.036,54.37,64.439903334166,2.16919566236436,13.8758753733283,55.4720513370023
"WSU-DLCL2",NA,NA,NA,NA,NA,NA,NA
"23132/87",0.0405369578127209,13.584,104.1,102.372401067392,2.72959825178746,0,102.372401067392
