"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.284859772250702,12.419,5.581,3.25260988368575,0.435573175951573,0,3.25260988368575
"KPL-1",0.117557015421919,13.23,9.469,9.58985692066466,4,1.95471228379212,9.49472359099771
"MKN1",0.528341258940003,7.0768,0.06968,0.0911279583038995,0.864440685794279,10.4783641761208,0.0694224587818064
"253J-BV",0.480479421707457,7.7814,0.1339,0.195567068412275,0.541417709656344,7.42772233276295,0.145309930135165
"BFTC-905",0.462041622258511,7.676,0.006963,0.311212561355637,0.360921643498323,0,0.311212561355637
"BFTC-909",0.528395098659466,7.2488,0.006362,0.00816722151197492,4,36.2760365454547,0.00591155482743657
"CAL-120",0.217615863690283,11.755,4.368,4.34437436082564,0.781924381520768,0,4.34437436082564
"CAL-29",0.559604109697227,6.5918,0.004942,0.00692398806713356,3.43331249333091,33.812117099547,0.00498541240978035
"CAL-62",0.56083206070405,6.7686,0.007348,0.008299554401868,4,31.6635574814263,0.00645863951362787
"HuCC-T1",0.283917707884792,10.763,2.71,2.68551394798941,0.510782887555206,0,2.68551394798941
"NMC-G1",0.100749179465136,13.45,10.63,11.6126043064797,4,0,11.6126043064797
"RPMI-7951",0.555431019809853,6.7103,0.007273,0.00921952378566316,4,31.4555704861584,0.00719481046061615
"253J",0.511050484833447,7.3368,0.05563,0.063856828716058,2.90267748327852,16.7688944244804,0.055473130231033
"ALL-SIL",0.750643305050509,3.5559,0.00445,0.00590888917624418,4,10.0629321241441,0.00558608304347295
"HDQ-P1",0.330672121888985,10.039,2.946,2.95021603451753,0.300290040803798,0,2.95021603451753
"SiMa",0.620640955037439,5.6959,0.03671,0.03799850603462,2.51344671840686,5.18172318049547,0.0363799637758048
"SNU-489",0.287204918993181,10.695,3.604,3.60059152319095,0.399085215311507,0,3.60059152319095
"SNU-626",0.33844153470309,9.9293,2.215,2.20744011122827,0.328075014258678,0,2.20744011122827
"SNU-738",0.342659502841909,9.9069,0.00795,NA,4,57.3577942019814,0.00771873433674296
"SNU-878",0.517663705600577,7.2356,0.08655,0.0985354312729089,1.59903459631256,9.37847963904002,0.0865316005083288
"TUHR4TKB",0.46882244417406,7.9632,0.009189,0.0257639235846615,1.5857542684986,40.3061900994137,0.00915618278162643
"ACC-MESO-1",0.221164365810532,11.627,11.73,4.06152419104355,0.81024503939352,0,4.06152419104355
"B-CPAP",0.461385827184961,8.1044,0.02112,0.0284606496189553,4,34.7053152491324,0.021165934122839
"CGTH-W-1",0.102740341957262,13.453,11.6,11.6723160698825,2.4769920445108,0,11.6723160698825
"COLO 680N",0.283364987202987,10.75,3.341,3.33980785305434,0.434299903583469,0,3.33980785305434
"ECC12",NA,NA,NA,NA,NA,NA,NA
"HCC95",0.601311912227816,6.2039,0.006822,0.00736690184093531,4,27.2905105111215,0.00604775549817269
"JMSU-1",0.698081037746319,4.606,0.006969,0.00740095721951535,4,14.4284482312093,0.00679705987372764
"Rh41",0.652517841782512,5.2199,0.004631,0.00555509021800073,4,23.2487755239879,0.00475099454602974
"SNU-175",0.738627579358512,3.9244,0.003933,0.00530829832877674,0.903681323181102,12.304614532219,0.00388326914654769
"WSU-DLCL2",0.718075561862124,4.2381,0.01581,0.015830105486153,3.65602617814527,2.41418107035408,0.0156172718543542
"23132/87",0.672045377466266,4.9232,0.01854,0.0193407854999194,2.7080199426281,6.71090001932502,0.0183383706129397
