"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"MKN1",0.0633543203795592,14.044,64.29,40.6221340514175,1.91462524869598,0,40.6221340514175
"BFTC-905",0.294898620462322,10.591,1.997,2.13457418231494,4,12.4038379875992,1.9877173538029
"CAL-120",0.0883279599207267,13.685,27.13,31.1750437943494,1.59608432999679,5.8018672521222,28.8566649720829
"CAL-62",0.238855888313695,11.409,4.506,4.92880470657948,1.85479877686169,7.45591546559143,4.51784301665694
"HuCC-T1",0.249255679148527,11.274,3.422,3.98301349873969,1.7916447403593,12.8720432014688,3.37334516695795
"NMC-G1",0.104432291043689,13.433,47.35,85.4319561551057,0.614017741482731,13.3122305342177,51.6006129071675
"253J",0.324136100161107,10.207,2.035,2.00014523481795,4,4.13994750287616,1.95739136300037
"HDQ-P1",0.130078209287883,13.048,4.961,10.838869431723,4,47.8794537498356,4.91873494978734
"SNU-489",0.136659405358232,12.968,14.35,14.9973895575924,4,6.1653792460779,14.5120071844031
"SNU-626",0.155362535757367,13.043,13.24,11.9200945223012,4,7.86665252413985,11.4207253976906
"SNU-878",0.177413878821311,12.327,10.34,10.4616332240943,2.50690826461116,0,10.4616332240943
"TUHR4TKB",0.205740812402755,11.888,5.547,6.09876574811075,3.52214290504006,13.3223750348792,5.58515769135143
"ACC-MESO-1",0.0818298786487736,13.766,12.26,56.7461158905418,2.54188525822619,48.9236599679318,12.534748394249
"B-CPAP",0.190114810233012,12.137,7.533,7.84936262614364,4,9.29391431346427,7.45601422099409
"CGTH-W-1",0.181680747382559,12.27,6.818,8.15248336607854,2.33718380064778,16.5735793949477,6.86222210385253
"COLO 680N",0.130442914148043,13.033,11.67,15.0085444832343,2.43741408250686,20.0987295054852,12.1543894477254
"ECC12",0.158446325483486,12.664,12.49,12.698449190534,4,0,12.698449190534
"HCC95",0.157455699864727,12.629,12.01,13.0065424894765,1.66329213868318,4.70567405446944,12.2561449385975
"JMSU-1",0.290951549765467,10.508,2.693,2.98629796426981,2.02094845066301,3.29314591219086,2.8872992698079
"Rh41",0.318985813328019,10.146,2.137,2.27294343904559,4,1.73493812623504,2.25296447832069
"WSU-DLCL2",0.269180525129768,11.007,3.698,3.69108882369251,4,3.48688786698263,3.62498192066268
"23132/87",0.213735213306114,11.808,6.274,6.46512005905436,4,5.45874223468506,6.28094097740977
"8305C",0.264189384077557,11.012,4.297,4.2467498368173,1.71826515026681,0,4.2467498368173
"BHY",0.250130862449557,11.241,4.572,4.6960046545814,2.0491460358079,2.55099755152179,4.57751513606446
"GSU",0.180181269147655,12.604,11.5,9.88369860702182,4,1.73258219439596,9.79694136790683
"JIMT-1",0.104823486858099,13.422,8.098,39.0162596238657,2.04959884987332,47.9726348813853,8.16713596660189
