"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.160604358158845,12.525,5.36,5.56829031845749,2.49025901227315,11.4941347500578,5.01380136235026
"KPL-1",0.240154712157769,10.65,4.267,4.27335446639205,0.353868011278151,0,4.27335446639205
"MKN1",0.169221905974897,12.587,0.7445,NA,4,54.580191161069,0.683971566418683
"253J-BV",0.104413778622669,13.396,9.082,16.7824885950482,1.20332239933201,28.2170198015601,8.41348722231413
"BFTC-905",0.140814437335216,12.886,2.577,7.37096941552175,1.82548938088066,42.655275670853,2.57757687298625
"BFTC-909",0.0885535258613878,13.658,12.2,19.9001555823441,1.25009713373608,22.4600091743549,12.3500183064536
"CAL-120",0.085894925991942,13.699,12.6,13.8218302684668,2.57183511458857,8.01428563294487,12.9141497871624
"CAL-29",NA,NA,NA,NA,NA,NA,NA
"CAL-62",0.0527201603542632,14.197,13.68,20.7643370724576,3.43592665314381,37.0430396724356,14.0162359971504
"HuCC-T1",0.0519767829190607,14.163,21.8,26.8291299550885,2.13509089203974,33.2121134524789,16.092153859708
"NMC-G1",0.185303673752271,12.198,71.47,111.503143425026,0.328125,28.125,8.97687132447314
"RPMI-7951",0.154243592040673,12.717,13.89,12.7435454673378,0.654337381759188,0,12.7435454673378
"ALL-SIL",0.389300723909684,9.1641,0.42,0.471268920186292,1.28783715406722,7.45442045206605,0.415742447871417
"HDQ-P1",0.174539538162721,12.387,0.3069,NA,0.385218590106876,61.4578355602582,0.346157310676974
"SiMa",0.587002468151943,6.0938,0.112,0.0616841580420327,0.473960303852718,0,0.0616841580420327
"SNU-489",0.158907442166444,12.609,7.043,7.08680836615232,1.22653171160467,0,7.08680836615232
"SNU-626",NA,NA,NA,NA,NA,NA,NA
"SNU-878",0.252662781742318,11.08,0.3274,0.589007145169913,4,40.9786739812732,0.38388015066891
"TUHR4TKB",0.205080891414498,11.928,8.317,8.39514843439562,0.513368912005477,0,8.39514843439562
"ACC-MESO-1",0.0993554167967433,13.498,15.89,16.0438280048205,1.15500430811352,0,16.0438280048205
"B-CPAP",0.181660977781494,11.802,0.9778,5.81771488957522,1.00965811130493,1.86064552230488,5.60325305832054
"CGTH-W-1",0.0648451853165837,14.025,22.67,22.8101366495285,1.49091879257334,0,22.8101366495285
"COLO 680N",0.0594738865369524,14.107,3.88,NA,1.49340445935147,70.9318061897739,4.04001748668548
"ECC12",0.0699651394049243,13.941,12.41,16.9941625460606,2.55928659916091,26.2227196241368,12.7106515054573
"HCC95",0.204230317771143,12.182,0.8556,1.25020632884085,4,44.3509567384071,0.724824587668927
"JMSU-1",0.29482309412508,10.553,1.505,1.53213641571751,1.65150154540907,0.332426485463903,1.52596030623913
"Rh41",0.748259829905697,3.7767,0.008595,0.00895692384720546,2.53991650140767,5.727103309192,0.00853803974011751
"SNU-175",0.423717810788945,8.6464,0.1845,0.338233490241256,0.586841367432457,15.1866064286262,0.182516251141901
"WSU-DLCL2",0.0210973394096223,14.635,1.334,34.1707694867895,4,34.6432117785691,25.4382573391513
"23132/87",0.0851053673695047,13.718,32.28,58.2592896844934,0.659712806042331,15.6824689448314,32.930615137694
"8305C",0.185242043448431,12.22,3.835,17.6040155217677,0.524681522435046,27.4482384475571,3.8598037093331
"BHY",0.193332108373991,12.062,18.42,7.0367958404674,0.65695882107706,0,7.0367958404674
"GSU",0,15,1358000,NA,0.146473501052863,100,0.00226154480613329
"JIMT-1",0.0683530971219207,13.962,52.65,52.0301858449634,0.75361926437636,0,52.0301858449634
"KMRC-20",0.0860981242930274,13.705,3.908,NA,1.07254254744007,59.2470267694098,4.01881323676413
"OUMS-23",0.0898134250531872,13.646,29.57,29.6959022818441,0.786787891234952,0,29.6959022818441
"SNU-1076",0.117973597242393,13.218,17.76,16.1557885565486,0.848027478832284,0,16.1557885565486
"SNU-1196",0.242753261828164,11.359,4.83,6.22407241084356,0.44314296801182,4.60192339724223,5.00552118035399
"SNU-8",0.151432872823195,12.737,0.5871,NA,4,60.5138346464446,0.61041419035153
"A-375",0.169535997080752,12.515,0.736,NA,4,53.4189696562915,0.748098438759235
"A-549",0.152524963210487,12.738,0.7571,NA,4,58.1195852201059,0.746292424534458
"NCI-H2009",0.528394709317665,7.0327,0.2672,0.126359327958458,0.438288958866158,0,0.126359327958458
"SNU-201",0.192610383716587,11.926,6.362,4.68396921184667,1.3474602637876,0,4.68396921184667
"SUIT-2",0.114423218399528,13.282,1.513,NA,0.627010744887353,63.7633755078597,1.5070701878358
"SNU-1079",0.21385501082688,11.725,3.749,3.61277130016379,1.71528038247655,0,3.61277130016379
"COLO 741",0.0683461538461558,14.1,6.218e-06,NA,0,86.3307692307688,1e+06
"DEL",0.318427588122738,10.653,1.517,1.166422604404,4,1.03998801804264,1.1603093853827
"HARA [Human squamous cell lung carcinoma]",0.241640158114934,11.371,0.6982,0.941689918319005,3.99853927555243,34.7628512088836,0.699591002455365
"HCC15",0.25911163762309,11.027,0.3246,1.35527915325995,1.23820297675177,39.602035798243,0.381252780862755
"KP-4",0.226195922523587,11.902,1.815,1.67317338680804,4,25.5371038687453,1.39934698012754
"Lu-99A",0.270493562702779,10.934,0.8873,1.41768670885743,1.27136878960867,22.1816643791159,0.893908555449124
"NCI-H1155",0.132458434431844,13.104,1.678,NA,4,55.6784265927292,1.4727251103789
"NCI-H1581",0.224605974802481,11.62,1.486,1.99650842403755,2.34057460096703,24.4141532522888,1.49953093583243
"NCI-H2106",0.340873114233222,9.8854,0.1996,0.587911865132856,0.876548217606105,30.5658923195591,0.200034968890982
"NCI-H358",0.415258512284712,8.7757,0.1878,0.326453959813752,0.727371316248907,16.2329717503836,0.190303866979438
"DLD-1",0.12014679879793,13.188,2.931,9.43327016076725,2.84618035015399,48.1493377334025,2.96249285849026
"EM-2",0.29767117484,10.529,1.157,1.35789848103619,1.1509412195897,7.61934397109349,1.1762010267476
"JURL-MK1",0.219872027847598,11.693,2.317,2.7248452047282,2.08526973686112,13.6319642380507,2.33907087825072
"P12-Ichikawa",0.301195724738102,10.869,1.427,1.15693714764101,4,7.61554901425224,1.11011738840797
"KE-37",0.182637147381184,12.247,2.729,3.37756485191942,3.13106133500474,23.4180142950782,2.76039507518366
"KMS-21-BM",0.401389489221074,8.8765,0.8891,0.546093874174007,0.659238017791756,0,0.546093874174007
"Li-7",0.332079804035403,9.8633,1.602,1.13383905135632,0.779559211193295,0,1.13383905135632
"MHH-NB-11",0.547481667312435,6.7865,0.1049,0.10544622828543,0.615367697742544,0.244710640194572,0.10460886481329
