"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.14120190844011,13.26,0.02933,0.0305706749202247,4,18.8315087637454,0.0271638592086761
"KPL-1",0,14.063,0,NA,0.617349534133249,100,0.0030668273344404
"MKN1",0.263629362103187,11.573,0.007008,0.00792963644568487,3.85079482193323,18.6741732972073,0.00702294662174315
"253J-BV",0.189328937084094,12.161,0.01103,0.0134964682295616,2.72660331571716,20.0045645100391,0.0111900335280357
"BFTC-905",0.242475393262186,11.369,0.008982,0.00931946971779172,3.9610842720877,5.74426375004623,0.0090367218950371
"CAL-29",0.230848819804189,11.542,0.00881,0.00948127268149488,4,10.6641281553395,0.00892938053085205
"CAL-62",0.17770680159129,12.326,0.01726,0.0186100173694482,4,7.07697087955945,0.0179133523380712
"HuCC-T1",0.298637667245531,10.525,0.004953,0.00516385793144544,4,4.79483847519269,0.00503533988442267
"NMC-G1",0.0448679705568854,14.57,0.02106,NA,2.83075641085425,69.2879157258319,0.0287398317808115
"RPMI-7951",0.253050195626738,11.2,0.007962,0.00846683546609306,2.32137954200042,5.85001384175801,0.00802494572541193
"253J",0.187790487942745,12.172,0.01636,0.0172940170615288,3.34261124443636,5.01718025078428,0.01675548967881
"ALL-SIL",0.278171457095957,10.86,0.007288,0.00725290347916162,4,0.129154421213,0.00724821521263212
"HDQ-P1",0.145468127512352,12.817,0.02486,0.0273604529029722,2.22208422859876,9.31564166157242,0.0249359914111866
"SNU-245",0.0331550858778669,13.966,0.06603,0.0687258226396036,2.03284913658302,0,0.0687258226396036
"SiMa",0.275556511349907,10.917,0.006109,0.00639172401063053,4,6.23381719259489,0.00618244384917285
"SNU-489",0.194749790808288,12.081,0.01355,0.0152365856926088,2.22633071941696,10.3168301897386,0.013734326328625
"SNU-626",0.286441766916125,10.708,0.005936,0.00608736004478221,3.68995827604552,3.67416029215576,0.00596274231277225
"SNU-738",0.164145473773288,12.528,0.01972,0.0216710072934226,4,7.00909965337601,0.0208679954012858
"SNU-878",0.191092454763952,12.142,0.01693,0.0176736811810807,4,1.00309139937695,0.0175843648125792
"TUHR4TKB",0.225956076508365,11.617,0.01025,0.0108721114334481,4,7.0424137329068,0.0104672202270141
"ACC-MESO-1",0.144770490808916,12.831,0.02735,0.0280874021668054,3.08477375717721,3.88258726637741,0.0273609681837096
"B-CPAP",0.210006345150454,11.907,0.01451,0.0145064055551353,4,0.969470163828441,0.0144355707758374
"CGTH-W-1",0.191803034118034,12.127,0.01615,0.0169024740403938,4,3.39211109611722,0.0166082026178972
"COLO 680N",0.158051122627597,12.627,0.0198,0.0229972483862728,2.1403504441177,12.8251629570241,0.0200233047238755
"ECC12",0.17506682734474,12.126,0.01728,0.021184400359313,4,0,0.021184400359313
"HCC95",0.198737664430723,12.025,0.01499,0.0155830643354591,4,3.80104271031871,0.0152780668510537
"JMSU-1",0.26053657175659,11.113,0.008291,0.00840538775736067,4,1.71471470735529,0.00833237778685637
"Rh41",0.24999305227609,11.262,0.009313,0.00959000053068583,4,0.750761028784341,0.00955379704359452
"WSU-DLCL2",0.290483824342274,10.755,0.006251,0.00620792659418644,4,1.22149205294406,0.00616965955113014
"23132/87",0.217930912917848,11.823,0.01266,0.0128102683382215,4,3.22528734396628,0.0125984903608494
"8305C",0.23654683020352,11.453,0.01076,0.0110079255705198,2.13758857732432,1.27624419560339,0.0108755756460986
"BHY",0.222824106861635,11.655,0.01241,0.0126730031533511,3.11920712811424,1.11814766602576,0.0125814458778203
"GSU",0.267265961700096,10.457,0.00495,0.00749062377616332,4,3.56294831104496,0.00735345845749204
"JIMT-1",0.204762906867651,11.971,0.01351,0.0140066700777669,4,6.12542362906387,0.0135564392455775
"KMRC-20",0.180272486420605,12.281,0.01865,0.0193814048005194,2.90843118362988,2.96683302321531,0.0189780328284841
"OUMS-23",0.128849540661894,13.089,0.02242,0.0275161534397072,4,20.9067769104361,0.0240321806966785
