"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"C2BBe1",0.272429346714395,10.846,3.924,3.88535404984486,1.95853919215799,0,3.88535404984486
"ChaGo-K-1",0.167549363617106,12.479,10.66,11.0381126736568,4,3.51286113049426,10.8389079045772
"COLO 668",0.230054921641844,11.414,7.315,6.1547099104973,1.45995727153048,0,6.1547099104973
"COV362",0.244449737259271,10.991,11.18,5.41776026315609,1.1786785639732,0,5.41776026315609
"DV-90",0.263122459612532,11.033,4.25,4.27852114964992,2.09426004040954,0,4.27852114964992
"EFO-27",0.192564352253266,12.069,9.482,9.08441460018194,1.68960224788096,0,9.08441460018194
"HD-MY-Z",0.185258308645233,12.22,9.257,9.482641876024,4,0.890121143875173,9.44015366698358
"NCI-H2170",0.202857554324869,11.947,7.72,7.85416574747481,2.44992227619759,1.53476575297301,7.75485145618472
"NCI-H647",0.223405267375223,11.617,6.506,6.47113598572838,2.30235780697873,0,6.47113598572838
"NCI-H810",0.238340624536899,11.368,4.837,5.4581128948885,4,0.642625540615581,5.44049011588065
"OCI-AML-3",0.22446122875201,11.628,6.08,6.16998556307106,4,1.85157968804298,6.11205364739894
"PaTu 8988s",0.301037732807729,10.511,3.176,3.13147236709854,0.846523507493106,0,3.13147236709854
"PC-3",0.0971385944910149,13.527,27.04,27.1685123205136,1.66707503006796,0,27.1685123205136
"TE-5",0.236284013336992,11.477,5.404,5.59444462344225,4,0.484400628387967,5.58084535457464
"UACC-257",0.238866914607617,11.387,5.145,5.49826517301982,4,0,5.49826517301982
"UACC-62",0.178827640078675,12.305,9.649,10.2457464386474,4,0.173667563012203,10.2368380579346
"BICR 6",0.326610021861376,9.91,8.222,2.45535189979461,0.739287243042521,0,2.45535189979461
"BT 145",0.193916336006535,12.099,8.491,8.5858904612207,4,1.4320593213426,8.52374138914287
"BT179",0.193563090216179,12.086,6.63,7.25497897779276,3.09279888392797,12.4811829689796,6.61165136489519
"EC-GI-10",0.181472178727122,12.27,9.739,10.8562970907956,1.16190603465493,4.54369313016848,10.0016439663183
