"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"KPL-1",0.215390026847958,11.776,7.005,7.00179228978946,4,0.146009464402202,6.9966750429163
"MKN1",0.173228624948371,12.339,12.14,11.0426545904461,1.98053363713195,0,11.0426545904461
"253J-BV",0.205755670162346,11.932,7.522,7.55994771510133,4,1.56564897194437,7.5000586934895
"BFTC-905",0.236793484608715,11.434,5.546,5.58979811869075,3.58631625030055,0.266318221623056,5.58148020766823
"BFTC-909",0.185465878029752,12.134,8.632,9.58433649392792,4,0,9.58433649392792
"CAL-120",0.157401456910229,12.64,12.55,12.7998521196491,4,0.256589882746068,12.7833988598875
"CAL-29",0.185413922909327,12.291,8.162,8.41206553111513,4,8.40142342763716,8.03396182355256
"CAL-62",0.2159843633924,11.746,6.729,6.81613067637637,3.14563486340336,1.43439753334574,6.75334990812132
"HuCC-T1",0.156978686408969,12.653,12.11,12.5391472385847,4,2.39977505049041,12.3859052162616
"NMC-G1",0.201941563367387,11.975,6.265,8.08888888070574,2.54195564644065,0,8.08888888070574
"253J",0.251183595512284,11.218,4.777,4.83579405315666,4,0.0111870225967313,4.83552353977208
"ALL-SIL",0.515226318810546,7.2747,0.2861,0.289202205546063,3.63966851151747,1.42875443218118,0.286907753325936
"HDQ-P1",0.136728372435213,12.78,20.42,16.2791038363545,2.14044326853343,0,16.2791038363545
"SiMa",0.342019976837261,9.9054,1.838,1.90412612316197,1.17495239666536,0,1.90412612316197
"SNU-489",0.194129796145329,12.058,8.833,8.7639610838896,3.00487572586523,0,8.7639610838896
"SNU-626",0.142272388770445,12.832,15.12,15.1058620251077,2.80362383586505,0,15.1058620251077
"SNU-878",0.194098529026884,12.059,8.992,8.81909926899603,2.11098067764253,0,8.81909926899603
"TUHR4TKB",0.210141843791335,11.839,7.191,7.26068649410711,3.34027929169059,1.30503579423746,7.20342542310826
"ACC-MESO-1",0.138035751788188,12.825,17.67,15.9624808233214,2.28534545352525,0,15.9624808233214
"B-CPAP",0.226471255326714,11.546,6.457,6.27820395441044,2.06978446478538,0,6.27820395441044
"CGTH-W-1",0.184874248710943,12.191,9.718,9.64601777562311,3.46192229597248,0,9.64601777562311
"COLO 680N",0.163891026247469,12.508,12.71,12.2140299950732,1.96665784890504,0,12.2140299950732
"ECC12",0.154029419673363,12.66,13.6,13.4310507096218,2.32551451598626,0,13.4310507096218
"HCC95",0.253285263214951,11.161,4.877,4.75787959091882,1.76743357755149,0,4.75787959091882
"JMSU-1",0.241784762385865,11.342,5.41,5.35411386916823,1.95082275128354,0,5.35411386916823
"Rh41",0.367291805724503,9.5041,1.412,1.40712394486658,2.23654857443725,0.906809475292365,1.39565581571293
"SNU-175",0.293325867872238,10.602,1.636,1.93870310839922,2.48911350075376,17.5474867636339,1.62964957605099
"WSU-DLCL2",0.244243916327854,11.304,5.364,5.24556891160312,1.6609560282633,0,5.24556891160312
"23132/87",0.181568206703677,12.233,9.325,9.98118806011231,4,0,9.98118806011231
"8305C",0.235991932904317,11.414,5.823,5.69047221989295,1.93688810573568,0,5.69047221989295
"BHY",0.235948458057017,11.433,5.681,5.67186310932146,2.55833236840977,0,5.67186310932146
"GSU",0.205142946856049,12.02,8.135,7.80951299637994,4,0,7.80951299637994
"JIMT-1",0.159932660962677,12.609,11.64,12.1581973967388,4,2.34462478626518,12.0130881100189
"KMRC-20",0.184455182419126,12.232,9.044,9.23553168477338,4,3.24350613761816,9.08196629509166
"OUMS-23",0.211513370273999,12.004,7.899,7.25031616525229,4,0.46850248317316,7.23327220361961
"SNU-1076",0.219751106894804,11.637,6.974,6.73272885381897,2.12430678696527,0,6.73272885381897
"SNU-1196",0.240023495278979,11.388,5.09,5.25145469959286,1.95935038239948,2.4627444804451,5.11780963350868
"SNU-8",0.186667298894418,12.201,9.086,9.32150830171758,4,1.04926059588999,9.27221522134625
"A-375",0.251950369189182,11.205,4.689,4.74660375712884,2.77421063224413,0.581081045444692,4.72664509209191
"A-549",0.222578631025914,11.616,6.665,6.53239940431678,2.1883957882834,0,6.53239940431678
"NCI-H2009",0.314192654546719,10.291,2.406,2.45860432711476,1.47970950742651,1.34483234956835,2.41371713966139
"SNU-201",0.20095198827183,11.916,8.316,8.1667467467962,2.74529448182015,0,8.1667467467962
"SUIT-2",0.108931337620983,13.344,21.81,21.5967486970205,2.75961684012805,0,21.5967486970205
"SNU-1079",0.259488274900494,11.087,4.389,4.43736884781672,2.79153077979571,0,4.43736884781672
"DEL",0.574817077335897,6.3713,0.1442,0.147600416123483,2.19277970712198,2.35648298356635,0.144386342342049
"HARA [Human squamous cell lung carcinoma]",0.291401058306811,10.624,2.963,3.11456828749581,1.22796260330335,2.74273949081849,2.97471195511125
"HCC15",0.345217921870998,9.8305,1.315,1.44060895346893,1.81865067708531,8.56999412561918,1.29911450714129
"KP-4",0.383344023261901,9.235,1.349,1.2735854038049,0.821446724230238,0,1.2735854038049
"Lu-99A",0.286338688015731,10.699,3.279,3.34188616357915,1.44202829386441,0.818452943229166,3.30385517573249
"NCI-H1155",0.240008534281725,11.323,5.915,5.48798815142822,1.64690100483168,0,5.48798815142822
"NCI-H1581",0.202120115807254,11.888,8.601,8.1208215666323,1.9911074637596,0,8.1208215666323
"NCI-H2106",0.257733188714481,11.087,4.647,4.53333128669902,1.8913566035395,0,4.53333128669902
"NCI-H358",0.384061544685989,9.2458,0.7419,0.845111155144261,1.59495914098325,11.7040444444486,0.714989025949928
"DLD-1",0.174138339523752,12.376,10.43,10.6805583732544,2.45797219343492,1.37587191092371,10.5599972603794
"EM-2",0.491075229375257,7.632,0.3721,0.375650886255072,3.0020014607556,1.32091529263355,0.372315515554814
"JURL-MK1",0.523159027837497,7.1404,0.2402,0.245334077044466,3.65570361828928,3.00553559944844,0.241208794374794
"P12-Ichikawa",0.358929940445538,9.6517,1.301,1.34614484720747,4,4.65825367706172,1.31363240371526
"KE-37",0.403551827769023,9.1145,0.7819,0.769358079695431,4,6.40824479629702,0.743424906632524
"KMS-21-BM",0.363791913826284,9.5491,1.194,1.29730449734679,1.36092052825816,5.98714092631053,1.18124836394172
"Li-7",0.245465139454016,11.303,4.405,4.6281891818368,2.79895405954617,5.34363993429214,4.44501871003214
"MHH-NB-11",0.465061644133938,8.0248,0.4833,0.489442806585001,1.77709229376285,1.73540347080704,0.479809813598634
"MOLM-13",0.410133617386789,8.857,0.686,0.731049234621857,1.89623055534437,6.84404464090641,0.67644541498783
"NCI-H1975",0.554175883009125,6.6872,0.1375,0.161795321349972,0.791711023302712,6.12370509439698,0.137182376720039
"NCI-H28",0.365254015363223,9.5231,1.362,1.41080479887797,1.19357373560557,2.434272106443,1.35302699204496
"639V",0.174475551797567,12.288,9.598,10.7460782832132,4,0,10.7460782832132
"BxPC-3",0.279483052381345,10.718,3.788,3.62054034969863,1.6634906642492,0,3.62054034969863
"CML-T1",0.473148227771092,7.8999,0.41,0.421100770247585,2.35693780834684,3.13338992508101,0.409695359197285
"GSS",0.334268594114838,9.994,1.654,1.72753814665971,2.72198458865896,5.68065628455568,1.65266774817932
"HCC366",0.207191828983643,11.824,8.499,7.77933850898628,1.6509311197515,0,7.77933850898628
"Kuramochi",0.172134588404418,12.367,11.74,11.1238114585372,2.13415180970175,0,11.1238114585372
"LS411N",0.223966721955909,11.63,6.114,6.19939553545939,4,1.87721285549245,6.14036995864523
"LS513",0.298372204053328,10.487,2.979,2.96447472993918,1.911247278304,0,2.96447472993918
"ONCO-DG-1",0.200532668138204,11.967,8.507,8.31463962187361,1.75681582744295,0,8.31463962187361
"ONS-76",0.212762933528414,11.773,7.279,7.21741384172959,2.9591136120644,0,7.21741384172959
"SK-CO-1",0.3793463656339,9.1318,1.73,1.30706564146624,0.931083540132726,0,1.30706564146624
"SW48",0.469586124934428,7.9101,0.5203,0.499535625532564,1.11453333338087,0,0.499535625532564
"VM-CUB-1",0.234301378899235,11.399,6.265,5.8234146376214,1.68090522156887,0,5.8234146376214
"BEN",0.160630402633628,13.006,15.78,12.4127776564358,4,0,12.4127776564358
"CFPAC-1",0.19866926847478,12.015,8.095,8.15724471359922,3.96053569392219,1.50102288661612,8.09470747852483
"HCC78",0.219802801676917,11.569,8.028,6.83340778049086,1.54730355823382,0,6.83340778049086
"HT",0.232055322687342,11.504,5.841,5.88537940534442,3.02753857124147,0.172885978466192,5.87864997876937
"KU-19-19",0.144377909248024,12.755,16.39,14.8919278438519,2.32419130328498,0,14.8919278438519
"NCI-H1299",0.162433944614025,12.54,12.31,12.2876779155729,2.30316589188577,0,12.2876779155729
"NCI-H727",0.243996801099514,11.293,5.314,5.22516048700859,2.08218074646967,0,5.22516048700859
"NCO2",0.502958930627168,7.4577,0.3083,0.312894122172025,3.15762768384272,2.51436566606806,0.307822962772077
"OVTOKO",0.180952232306048,12.253,9.464,10.0453946169848,4,0,10.0453946169848
"P31/FUJ",0.350934154309171,9.7739,1.199,1.2354335501332,3.75699988826205,9.49560431584654,1.16808221166151
"Peer",0.418839096725753,8.7188,0.6358,0.653030795967666,3.57024029409662,6.36475009718627,0.628595172614075
"RPMI-8402",0.361795227464729,9.5846,1.313,1.35498828509665,2.06781849486672,4.17354893202655,1.29906056268752
"SHP-77",0.215876650872055,11.716,7.106,6.99446256129974,2.48934931829726,0,6.99446256129974
"SNU-1077",0.178567823353882,12.314,10.04,10.1903355245945,2.92372621898688,0.992645660311557,10.1206833547729
"SNU-620",0.708504973670384,4.3887,0.03712,0.0372569488139309,4,1.54877856587173,0.0369650217892811
"SU-DHL-1",0.561663713205495,6.9194,0.2243,0.191275178801592,4,0,0.191275178801592
"COLO 205",0.294053256787803,10.571,2.707,2.80491559634681,3.3828589325496,3.85234167655259,2.7392182035463
"EHEB",0.258287030067384,11.014,5.985,4.64149745855841,1.20903041550719,0,4.64149745855841
"Ki-JK",0.57722614043817,6.3429,0.1525,0.160822634238856,4,0.208359636805685,0.160654827050583
"KMM-1",0.114622451019193,13.268,23.79,23.9083573017071,1.31659098217768,0,23.9083573017071
