"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"253J-BV",0,15,160800000,NA,0.877834627001989,100,291.161525641672
"BFTC-905",0,15,1631,NA,2.93787235762245,100,709013.364012685
"BFTC-909",0.00154055218339024,15.633,0.00183,256.530283097863,4,0,256.530283097863
"CAL-120",0.0436500000000002,15.012,0.7099,NA,0,91.27,0.00581252388935677
"CAL-29",0,16.72,8.042e-19,NA,1.1237531599614,100,61.922438027462
"CAL-62",0,16.963,5.219e-20,NA,0.49794580524732,100,313706.086177609
"HuCC-T1",0,16.74,0.0229,NA,1,100,1
"NMC-G1",0,16.869,3.575e-24,NA,0,100,1e+06
"RPMI-7951",0,15,0,NA,0.855549151802293,100,1.8437939609756
"253J",0.00533362995697316,15.249,38.65,184.315880469926,4,0,184.315880469926
"HDQ-P1",2.58210882332999e-18,15.657,0.0003892,NA,1.92046456167479,99.999999850736,1e+06
"SNU-489",0,15.183,0.8843,NA,0,100,293.827882397879
"SNU-626",0.00484402728205382,16.203,0,189.302973415759,4,0,189.302973415759
"SNU-738",0,15.985,6.505e-94,NA,0,100,1e+06
"SNU-878",0,16.738,3.849e-11,NA,1.61854048632174,100,647.241206632032
"TUHR4TKB",0.00269096587091779,16.001,1.466e-05,NA,4,95.9821957128281,18.4990052008671
"ACC-MESO-1",0,15.112,0.7432,NA,0.370134008679337,100,0.0804088961787303
"B-CPAP",0,15.219,18.86,NA,0.839123469817421,100,1.67698662051486
"CGTH-W-1",0,15,7.632e+31,NA,0.994351537605145,100,0.0171922837059693
"COLO 680N",0,15.007,1.03,NA,0.339316080944437,100,1.32743198086639
"ECC12",0,14.735,0,NA,0.973531818965786,100,0.0389909543956091
"HCC95",0,16.161,0,NA,0.7527139115813,100,14.7536158756931
"JMSU-1",0,15.317,0.5496,NA,0,100,2.74068376778486
"Rh41",0,16.108,1.624e-166,NA,1,100,130
"SNU-175",0,15,0,NA,0,100,1e+06
"WSU-DLCL2",0,15,3.938e+11,NA,0.988927596334145,100,1.62908864263972
"23132/87",0,15.34,1.197,NA,1.04890605255882,100,64.2178316354074
"8305C",0,15.345,4.288e-28,NA,1.10468564843792,100,75.9585379819544
"BHY",0,15,4.333e+14,NA,1,100,0.065
"GSU",0.0258444710241099,14.622,10.02,NA,0.375916480967408,91.6010684550292,11.5578438642111
"JIMT-1",0,15.487,0,NA,0,100,1e+06
"KMRC-20",0,15,9.94e+12,NA,1,100,1
"OUMS-23",NA,NA,NA,NA,NA,NA,NA
"SNU-1076",0,15.499,0,NA,1.0011009895342,100,5.04018131013914
"SNU-1196",0,15.567,4.155e-14,NA,1.00760995470147,100,0.296372777618934
"SNU-8",0,15,1.472e+13,NA,1.01146861716527,100,50.5477965051456
"A-375",0,15.149,66.75,NA,0.352324920184231,100,0.874486008722052
"A-549",0.0040600000000004,15.194,11.34,NA,0,99.1879999999999,1e+06
"NCI-H2009",0,15,8.372e+13,NA,1,100,0.016
"SNU-201",0,17.141,6.254e-15,NA,1,100,1
"SUIT-2",0,15.782,0.003825,NA,0,100,1e+06
"SNU-1079",0.00690563412409865,14.824,22.99,171.328743450238,4,0,171.328743450238
"COLO 741",0.111652689608934,13.339,0.4091,NA,1.00746402184607,79.7210298795328,0.429621811530627
"DEL",0,15.729,2.074e-278,NA,1,100,4.2
"HARA [Human squamous cell lung carcinoma]",0,15.147,0,NA,0.905578739971673,100,0.710317587977432
"HCC15",0,15.215,3.772e-142,NA,1.06320623379175,100,47.2277051690738
"KP-4",0,15,982600000,NA,0.957946597911319,100,8.19927025094075
"Lu-99A",0.0140614683440882,14.793,2.046,NA,4,96.5908361486992,1.80880188369971
"NCI-H1155",0,15.358,6.602e-43,NA,1.10250549187328,100,145.30639284271
"NCI-H1581",0.0115875451584187,14.481,0.8824,NA,4,71.8900366489122,89.1419031715158
"NCI-H2106",0.000704251012606552,15.754,1.693e-14,313.34490137214,4,0,313.34490137214
"NCI-H358",0,15.451,0,NA,1.09005284238127,100,5.01426328790733
"DLD-1",0.0136442313460611,14.796,0.5342,NA,4,97.4864490818443,0.468373968835249
"EM-2",0,17.011,2.84e-30,NA,1,100,17
"JURL-MK1",0,16.582,5.464e-10,NA,4,100,1e+06
"P12-Ichikawa",0,15.668,1.048e-27,NA,1,100,66
"KE-37",0,16.098,1.115e-19,NA,1,100,4.2
"KMS-21-BM",0,17.301,5.44e-132,NA,1.04577376047276,100,78.8927672243917
"Li-7",0,15.033,32.65,NA,0,100,0.105065376398094
"MHH-NB-11",0.0560407221486155,14.284,0.1104,NA,0.125121025935189,84.4320438855869,84.8070193844423
"MOLM-13",0.0369812499999999,14.466,2.677e-05,NA,0,92.60375,0.0527342006164743
"NCI-H28",0,16.117,1.564e-19,NA,1,100,33
"639V",0.0285812500000001,14.541,1.297,NA,0,94.28375,0.0303445028460304
"BxPC-3",0,14.913,1.18,NA,1.48467465199754,100,410.188443379425
"CML-T1",0,15.429,1.261e-13,NA,1.15435116876542,100,40.0477497644391
"GSS",0,15,4361000,NA,1.0440508171824,100,29.1494100431477
"HCC366",0,15,44870000,NA,1.02149743353289,100,37.9710289094899
"Kuramochi",0,16.195,0.0008051,NA,1,100,17
"LS411N",0,14.779,0,NA,0,100,3.2415525728334
"LS513",0,15.285,0.0488,NA,0,100,0.0926005273140722
"ONCO-DG-1",0,16.078,8.81e-19,NA,1,100,0.13
"ONS-76",0,15,1.178e+11,NA,0.998363692636625,100,1.58846384362983
"SK-CO-1",0.0286937499999997,15.234,0.9518,NA,0,94.26125,1e+06
"SW48",0,16.136,1.481e-28,NA,1.1227395741984,100,18.5005153496135
