"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"C2BBe1",0.0117056636461905,14.191,0.8558,74.149717164075,4,0,74.149717164075
"ChaGo-K-1",0.015373199068754,14.773,77.74,77.1795722675916,3.02673699052218,0,77.1795722675916
"COLO 668",0.0847844538405943,13.718,3.528,NA,1.06448274006122,67.0227200766478,4.80951555148737
"COV362",0.0968870848591423,13.742,0.1241,NA,0.545338351663042,84.9186445287345,0.0669147554286333
"DV-90",0.0861126257465393,13.684,20.54,34.8122393807729,1.61547173209737,28.8712790450049,20.424936655556
"EFO-27",0.0313713917038175,14.523,1.099,NA,4,91.8177405647802,1.22211499036393
"HD-MY-Z",0.174985908703494,12.372,0.2204,NA,3.16195076077306,68.0574026417348,0.220922664780707
"NCI-H2170",0.0693690938437301,13.954,220.7,218.974923811602,0.566327221787689,0,218.974923811602
"NCI-H647",0.0101497342125866,13.837,45820,77.51319002369,4,0,77.51319002369
"NCI-H810",0.0339140020904548,14.829,61.95,49.73293574036,4,0,49.73293574036
"OCI-AML-3",0.197498584586541,12.027,5.37,7.1039445043535,1.65314972504007,18.2270360948878,5.3999055776824
"PaTu 8988s",0.183235807423632,12.257,6427,7195.37281937313,0.158179153287728,0,7195.37281937313
"PC-3",0.00741306187552625,14.787,0.5327,85.1233006116182,4,0,85.1233006116182
"TE-5",0.0059162337678607,14.668,1.591,90.7976009298673,4,0,90.7976009298673
"UACC-257",0.613258755593161,5.7999,0.0006078,0.00281718752200754,0.84455610874929,36.4383823106963,0.000600982062915285
"UACC-62",NA,NA,NA,NA,NA,NA,NA
"BICR 6",0.0481920325706406,14.221,0.588,1945.71569961026,0.422353146468744,0,1945.71569961026
"BT 145",0.149691271223703,12.744,20.68,20.8194796041236,0.815207219732546,0,20.8194796041236
"BT179",0.0256493754125707,14.602,30.55,NA,1.76854982009335,66.0788590567099,35.3272991117318
"EC-GI-10",0.127874836904082,13.361,0.1179,392276.595811128,0.143075796484969,0,392276.595811128
"EFO-21",0.0783520011370493,13.821,2.406,NA,3.25676131196388,75.3028825927074,2.43243363657567
"FTC-133",0.00920403089598585,14.454,0.8544,79.8498987077801,4,0,79.8498987077801
"JHUEM-3",0.104774156702354,13.427,0.1465,NA,4,81.7715612898316,0.166868449198247
"LK-2",0.110353978606044,13.34,38.71,38.7275112667658,0.81224425572321,0,38.7275112667658
"LNCaP clone FGC",0.136017864399368,12.981,1.016,NA,4,66.3572609999678,0.983343203172278
"LS1034",0.0123791003081478,14.854,53.44,72.8430658206459,4,0,72.8430658206459
"MKN7",0.109114246665201,13.362,263.5,263.752244426412,0.394109532822462,0,263.752244426412
"HCC1428",0.00927278437751444,14.864,94.29,93.7156495046408,3.05441899005192,0,93.7156495046408
"NCI-H2029",0.00395297088591876,15.757,1.682e-26,102.848032100565,4,5.3125,100
"OE21",0.0105841765294177,14.638,0.2852,76.5196777727286,4,0,76.5196777727286
"MKN74",0.15114707322869,12.732,14510,14873.0353538204,0.170992371385989,0,14873.0353538204
"SH-10-TC",0.0130370877984599,14.173,0.5833,71.6388077538152,4,0,71.6388077538152
"SNU-449",0.108158083160267,13.378,0.1175,NA,1.29466700901397,82.2558737779374,0.115786586954093
"T3M-10",0.00956500532947266,14.791,33.55,78.9276364410991,4,0,78.9276364410991
"BT 112",0.0317757743125209,14.34,0.5038,635.325939467433,0.638646746832012,0,635.325939467433
"BT 164",0.07188514799439,13.915,73.17,73.0350351790573,0.869079432435205,0,73.0350351790573
"CCF-STTG1",0,17.115,0.0002132,NA,1.20753620830581,100,52067.7190062345
"COLO 800",NA,NA,NA,NA,NA,NA,NA
"DK-MG",0.00531911481056744,14.668,1.3,93.5464749729429,4,0,93.5464749729429
"GP2d",0.125202824721701,13.128,94.34,97.8654274316724,0.460345281603983,0,97.8654274316724
"NCI-H1869",0.0148616220956355,14.169,0.1207,68.6132908910395,4,0,68.6132908910395
"HCC38",0,15.606,12.56,NA,0,100,53585.3341187926
"IA-LM",NA,NA,NA,NA,NA,NA,NA
"JHOM-1",0.0303430074694512,14.123,0.4044,93.7407126390642,1.47911173994645,0,93.7407126390642
"JHUEM-7",0,14.703,0.5743,NA,0,100,1e+06
"JL-1",0,15.104,0.3583,NA,0,100,1e+06
"KYSE-450",0.0201758581601434,14.566,21.97,NA,3.83915934311504,70.8299595296431,32.6881258367631
"LC-1/sq-SF",0.0130654351885953,14.794,49.34,71.5884095068266,4,0,71.5884095068266
"RCM-1 [Human rectum adenocarcinoma]",0.0480085639365503,14.275,115.5,114.576182242601,0.93656578576022,0,114.576182242601
"SNU-685",0.0856658524085872,13.777,0.07245,NA,1.49432253326625,87.7491891680209,0.0454131188188077
"CCF-STTG1.1",0.0402533333333337,14.547,0.002934,NA,0,91.9493333333333,44.53383241706
"VMRC-LCD",0.0331845984680759,14.361,18.24,NA,4,64.8765640100811,24.8190275674276
"BT 224",0.0109871213323799,14.705,4.245,NA,4,92.3974474717725,4.60422405293379
"BT-549",0.101909465970808,13.786,0.1175,NA,0.543614215495198,88.2533375974556,0.00247705533478946
"HeLa",0,16.926,0.0001227,NA,1.45071463661971,100,183.503445881303
"HCC202",0.0702490475938565,13.888,14.43,NA,0.55241691658679,64.279849181942,16.9703660808089
"H-STS",0.140008359107128,12.898,5.395,8.52262626891501,4,41.4903911038423,5.47404474869674
