"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"TE-4",0.314809960300364,10.312,0.1435,0.279753807249375,1.46316124426211,31.5256870672693,0.141661010251555
"KNS-60",0.126271739738173,13.1,1.516,436.920252086045,0.784640342692711,49.4161040103475,1.5042460913972
"KNS-81",0.10187632501178,13.456,0.06362,NA,4,81.8754395988452,0.0487735558462611
"ML-1 [Human thyroid carcinoma]",0.235336925916377,11.474,0.07283,NA,1.50086454834388,55.188642250059,0.0716247442739785
"NCI-H209",0.378256881372878,9.3399,0.02165,0.082383077942929,1.26429580797814,41.0877043495512,0.0210585688219475
"NCI-H2228",0.352134022732694,9.7146,0.02486,0.0740830982329924,1.90950330570233,43.9072706310852,0.0246024198349398
"NCI-H2452",0.403939913099858,8.9429,0.02385,0.0394274316574655,2.4675560118609,36.1259484455155,0.0234511210993864
"NCI-H2444",0.297382961965857,10.543,0.02485,NA,3.47183613892437,52.6557211607594,0.0245187986776201
"NCI-H226",0.0421992411435221,14.383,0.0436,NA,4,92.5342602123222,0.0472001507585587
"PC-14",0.195402145942059,12.066,0.6074,2.80717714245152,1.01119493408135,39.1164800177038,0.621441730742548
"RS4;11",0.425501680837141,8.6142,0.04289,0.0821175032658208,1.11590941088772,25.931710781789,0.0426473671012425
"SJSA-1",0.292026975770581,10.644,0.03037,NA,4,51.9925496652959,0.0301442068198812
"SK-MM-2",0.305030140276723,10.401,0.1403,0.296320594705126,1.49946309624789,33.8918285088401,0.139217950705375
"SNU-761",0.192298103108888,12.117,0.03762,NA,3.76684900899557,67.3579215667617,0.0368104304030971
"SU.86.86",0.190427637731423,12.132,0.2653,NA,0.992044342063994,52.0223109182685,0.276520722329196
"SW1271",0.21075758357438,11.862,0.03745,NA,2.41278610149359,64.4460388880909,0.0354290984653803
"TE-6",0.193124165408608,12.102,0.5639,1.25964300069124,2.1270299945324,41.0008375400622,0.562474645167107
"TE-8",0.227322904977224,11.59,0.3526,1.6885360040305,0.980688173733541,39.2286051709115,0.35292593198167
"ECC10",0.454192218644008,8.1843,0.0456,0.0743369861842038,1.03807215795156,20.1139388050059,0.0452794062440409
"HCC1195",0.254251499998027,11.182,0.04684,NA,2.42578669208025,55.1217770338531,0.0465661284613603
"HPB-ALL",0.178192765058515,12.256,0.1031,NA,1.94871026098647,62.9066895049192,0.114210955982627
"KMS-18",0.362341024636437,9.5681,0.03752,0.0743522517097082,2.10346456452277,38.4138558429038,0.0371019250028281
"KMS-12-BM",0.546961006982196,6.7914,0.02287,0.0298159306686832,1.18111899331683,13.8380435057844,0.0226625479260568
"KMS-28BM",0.437839014492622,8.4438,0.04011,0.0496954294802891,2.9640185578172,24.8396329193777,0.0394177561952315
"KMS-34",0.637749319024607,5.4362,0.01834,0.0190907573358321,4,2.38479086377819,0.0188589313796235
