"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.202378202813854,10.515,0.01354,0.0183457675249204,4,25.6458649403911,0.0153262731820491
"KPL-1",0.208071781025188,10.682,0.8803,0.881985291133288,0.22895644137471,0,0.881985291133288
"MKN1",0.242823152514567,9.0011,0.0227,0.0185769919983827,4,5.28567492043804,0.0180652744128656
"253J-BV",0.255298642287979,9.1529,0.04945,0.050042056784366,0.387839953970941,0,0.050042056784366
"BFTC-905",0.255331134776518,8.8399,0.009057,0.0107571412217678,4,19.7887655224662,0.00948410791531818
"BFTC-909",0.234313350949911,9.3173,0.009296,0.0116150171883026,4,25.9508280526001,0.0096728039967762
"CAL-120",0.177293586720449,10.744,0.01583,0.020660943410706,4,34.8630080139151,0.0153256019807904
"CAL-29",0.31270919992681,8.0898,0.003682,0.00644832476375388,1.13937938252892,23.8638302004183,0.00364907183317746
"CAL-62",0.22532461315342,9.4101,0.01221,0.0141880947848733,4,23.6076265265786,0.012093477254514
"HuCC-T1",0.227404136349517,8.9595,0.01638,0.0194840030269092,4,10.8077344742057,0.018333094601975
"NMC-G1",0.12742339593285,11.264,0.05166,0.0508273448303184,4,27.7754683439703,0.041501431455659
"RPMI-7951",0.266231288189162,8.6295,0.01303,0.0136152853540678,4,7.3624900169175,0.013083749040089
"SiMa",0.592510151231093,3.2066,0.0005273,0.000531014811349458,1.6144089558276,0.6042233248212,0.000527030771514631
"ACC-MESO-1",0.360843415529536,6.269,0.04046,0.0070640281652925,0.608371509973397,0,0.0070640281652925
"B-CPAP",0.326938207517885,7.235,0.00821,0.00828417356814701,4,1.54984472214936,0.008219217665142
"CGTH-W-1",0.390134762518922,6.546,0.002691,0.00311926970830804,1.62972199363249,11.4562574005539,0.00265892480815098
"COLO 680N",0.302213984356726,7.7214,0.008927,0.00951179033957331,2.25791018130523,6.80981536422918,0.00891458843561552
"ECC12",0.282204644792576,8.1329,0.01113,0.0116602166649108,4,6.49566613154817,0.0112615261616505
"HCC95",0.237384206716696,8.8525,0.02993,0.0297852882198489,0.675477485196339,0,0.0297852882198489
"JMSU-1",0.539543770083237,4.1656,0.0007331,0.000745774211226155,4,4.51859809078441,0.000728321819598106
"Rh41",0.523747329870255,4.2562,0.001091,0.00111911048991805,4,0.00708908474607803,0.00111907082046332
"WSU-DLCL2",0.434583112315634,5.5683,0.002078,0.00233932223613012,4,4.52379470534652,0.00228451283552095
"23132/87",0.39498523977402,6.0525,0.004463,0.00428689397821188,1.30800469973916,0,0.00428689397821188
"8305C",0.170537128936147,10.393,0.02228,0.0277992248795697,4,26.9947771895856,0.0228953241503458
"BHY",0.180417678127053,10.35,0.01633,0.0213709997186484,4,31.7867535318769,0.0166027175135832
"GSU",0.130736607630858,10.195,0.06485,0.0670797941527702,2.19971907652835,3.42028912876861,0.0649534329348155
"JIMT-1",0.279554696616914,8.189,0.009967,0.0106704561741783,3.41592441835892,10.9569095472787,0.00992508995774739
"KMRC-20",0.0814390960955551,12.734,0.03027,NA,4,61.0572102086793,0.0295325899404579
"OUMS-23",0.193585214103995,9.9094,0.01659,0.0213069935763736,4,24.6166306313242,0.0179852712125788
"SNU-1076",0.186785476587001,9.882,0.02296,0.0259981975444636,4,20.0815228078329,0.0228657583507697
"SNU-1196",0.220692495032781,9.3995,0.01382,0.0164736384525125,3.14033070641616,22.0218138495533,0.0136928955754492
"SNU-8",0.159081732137242,10.438,0.02855,0.0343687714713684,4,24.5131130572325,0.02904027371158
"A-375",0.304569437246971,7.585,0.01033,0.0108154238484333,4,0.436896378163556,0.0107917199377356
"A-549",0.298615111784804,7.7824,0.008387,0.00966561562145585,4,6.66510331502062,0.00932602253602156
"NCI-H2009",0.0914687500000002,14.513,1.221e-42,NA,0,81.70625,2.86115932731354e-05
"SNU-201",0.149834277543913,10.937,0.02197,0.0307647371526343,4,36.8635856260385,0.0220257100433431
"SUIT-2",0.174583198915418,12.282,4.471e-06,NA,0.0540521371472421,69.0317584878772,1.20999865778382e-05
"SNU-1079",0.358992592579545,6.9103,0.004699,0.0052727270379666,1.26008527644388,7.29819067248728,0.00465216445706292
"COLO 741",0.0662397158792611,13.527,0.001446,NA,1.41860728915757,82.2471842017671,0.00537858234030877
"DEL",0.191139921757337,9.2455,0.03576,0.0360098771198701,1.78628708173416,0.539335578185036,0.0357919081748819
"HARA [Human squamous cell lung carcinoma]",0,15.499,0.001852,NA,0,100,0.0336437625018519
"HCC15",0,16.817,0.0011,NA,0.850930065589982,100,0.000936238366352848
"KP-4",0.209162119950881,9.5104,0.01637,0.0200401027367255,4,18.8609486102602,0.0178026144767026
"Lu-99A",0.015230187741409,14.589,5127,613789.860370841,0.303980345046758,43.8461100902527,623.729555298016
"NCI-H1155",0.462117086658084,5.5063,0.001707,0.0016542666365857,4,5.49905610401637,0.00160677592372498
"NCI-H1581",0.17866512875753,10.509,0.01582,0.0204773973052811,4,34.3862385706129,0.0153076717318513
"NCI-H2106",0.38622716621689,6.763,0.002019,0.00227935280213699,4,17.0091341828636,0.00205431708716045
"NCI-H358",0,15.244,1.763e-08,NA,0.924356477766514,100,0.00378526809233474
"DLD-1",0,16.787,0.001168,NA,0.780777646251005,100,0.00119982728686693
"EM-2",0.590354499784393,3.171,0.000669,0.000532430346059859,0.716088340977646,0,0.000532430346059859
"JURL-MK1",0.464298341706016,5.1886,0.001845,0.00189557820661842,1.71227922244525,2.44591937604303,0.00184085900198789
"P12-Ichikawa",0.546815736779617,3.9006,0.0008306,0.000828881964722934,4,1.15493193163687,0.000824053425091546
"KE-37",0.528249101766084,4.2738,0.0008188,0.000840576650992336,2.9731674678929,4.73663336722244,0.00081290459235904
"KMS-21-BM",0.374181230291504,6.4289,0.005565,0.00536930434461929,1.09748950682858,0,0.00536930434461929
"Li-7",0.207973315124975,9.5403,0.01643,0.0202176348849191,4,19.1187722546257,0.0179230323114412
"MHH-NB-11",0.455810752323344,5.5696,0.001249,0.00131797992976218,3.63431559459263,11.4862556230735,0.00122664476180865
"MOLM-13",0.473939806257004,4.9053,0.00195,0.00188116184568566,1.22874407626793,0,0.00188116184568566
"NCI-H28",0.240495478072601,8.7964,0.01635,0.0172902027178702,4,9.46316024037575,0.0164066553893071
"639V",0.378985029915625,5.7169,0.01105,0.00524686802836495,0.839920834000512,0,0.00524686802836495
"BxPC-3",0.205678440275875,9.5478,0.01658,0.0209601060290001,4,18.8517271808988,0.018621277263875
"CML-T1",0.514571859402863,4.4234,0.001136,0.00115911149643862,4,1.23489714120226,0.00115188732214144
"GSS",0.561817667822435,3.7859,0.0007419,0.000733402861110993,4,0.50186066337435,0.000731555563119475
"HCC366",0.29600535836555,7.7698,0.01149,0.0115637257218851,4,1.29700109589444,0.0114879941844254
"Kuramochi",0.206887184480268,10.05,0.01368,0.0496334461915304,0.718129966978044,29.3430057837047,0.0144939755900701
"LS411N",0.435745924759884,6.2107,0.003483,0.00340361419294423,0.397863294166214,0,0.00340361419294423
"LS513",0.318132276378041,7.7094,0.01297,0.0125154767599153,0.556398761464795,0,0.0125154767599153
"ONCO-DG-1",0.444151035648489,5.2032,0.002805,0.00257354843620314,1.0823084557196,0,0.00257354843620314
"ONS-76",0.248722860231361,8.5035,0.01626,0.0177531480932991,4,4.44253566613308,0.0173449383587495
"SK-CO-1",0.214251556381905,10.464,0.4593,0.46808965486488,0.251672583551405,0,0.46808965486488
"SW48",0.449368543617715,5.2761,0.004289,0.00254802930434319,0.602975583496554,0,0.00254802930434319
"VM-CUB-1",0.25417553525315,8.5838,0.01518,0.0154268721130962,4,7.77950523228611,0.0147882303846595
"BEN",0.0198874569500386,10.818,0.1272,0.125136905801104,4,0,0.125136905801104
"CFPAC-1",0.197430232762107,10.153,0.01602,0.0192804570669507,4,26.366675375775,0.0159865970758239
"HCC78",0.223669262760685,9.2984,0.01615,0.0176349445036605,4,16.6802833260705,0.0159333435796414
"HT",0.50629861307389,4.5649,0.001212,0.00124790937046444,4,1.50665035891154,0.00123840042008339
"KU-19-19",0.34726305692158,6.9647,0.00683,0.00673078686680283,4,1.32871866145969,0.0066856176011328
"NCI-H1299",0.193589498390849,9.775,0.02187,0.0254452111995409,4,17.0913988178391,0.0229187493233727
"NCI-H727",0.117028496538812,11.936,0.01627,NA,4,54.57534956417,0.017830445352821
"NCO2",0.446947368923587,5.5181,0.002187,0.00231773856572824,0.963718315848796,2.89901074836779,0.00217845149068951
"OVTOKO",0.116422312437493,11.884,0.02235,0.0714788475127161,4,49.3896734552192,0.0237588603709233
"P31/FUJ",0.467267399642175,5.3603,0.001663,0.00162087770081992,4,4.74946776314237,0.00158093374425263
"Peer",0.553328436058599,3.9264,0.0008643,0.000812118997941227,4,0.252492024236209,0.000811091782813811
"RPMI-8402",0.549395134510029,3.9266,0.0007585,0.000759730012890127,4,2.26599528351827,0.000750972009707253
"SHP-77",0.424085360261139,5.8929,0.002377,0.00254615602365574,1.68254152458808,6.26100882303567,0.00235154438412521
"SNU-1077",0.133846479973285,11.701,0.01149,NA,4,55.3640674433796,0.0114918631745298
"SNU-620",0.352980281521118,6.7356,0.006853,0.00665705024430651,1.29522522322578,0,0.00665705024430651
"SU-DHL-1",0.28201281219304,7.671,0.02313,0.0152548812088584,0.854430808285007,0,0.0152548812088584
"COLO 205",0.0242212258735487,14.422,0.008164,NA,4,92.8634130191497,0.0076174267094472
"EHEB",0.221368411634247,9.3304,0.01461,0.0171448292673531,3.08272916572455,20.2579757335032,0.0144860982300529
"Ki-JK",0.0338920581077118,11.78,0.2151,0.215576669472678,2.81017189849083,0,0.215576669472678
"LCLC-103H",0.18069881312461,9.9862,0.02333,0.027995473404961,2.74352090269662,23.6925594424428,0.0221530361995484
"MKN45",0.267823614971884,8.376,0.01132,0.0120495977707502,3.74598948283419,11.2774270206897,0.0112548396537366
"NCI-H2405",0.189618227412325,10.101,0.01646,0.0201725916931119,4,28.827374138523,0.0162728221490923
"NCI-H650",0.00177668224295389,15.246,0.001398,0.494018802816041,4,0,0.494018802816041
"OS-RC-2",0.0529281862241549,13.656,0.01618,NA,4,80.5736206473311,0.0152826982473306
"OVSAHO",0.159923543915716,10.813,0.01726,0.0299623210600187,2.67372131195283,39.0296653243654,0.0169901006086613
"QGP-1",0.28900205105501,7.8802,0.0126,0.0124155625423404,4,1.40283760661174,0.0123275459141615
"RL95-2",0.421765023801647,5.7907,0.003237,0.00323458285991687,1.75920804963575,0,0.00323458285991687
"SNU-1041",0,15.608,0.001068,NA,0.482302983049902,100,0.00058013418994412
"SNU-1066",0.266276105813545,8.3715,0.01208,0.0126815476476946,4,9.96013811751785,0.0119964541746384
"SW1353",0.0598120514500431,13.115,0.03871,0.375084946113084,1.92111566154284,47.1194479785865,0.08490526109545
"SNU-213",0.0833368970010772,12.764,0.02925,NA,4,61.7903548751972,0.0268988014960513
"8505C",0.240134300999762,9.2394,0.02963,0.0198228373239134,4,3.6689610933544,0.019448733508402
"Calu-3",0.217256285931159,9.192,0.01965,0.020919488086703,4,12.9048672863564,0.0194150173985637
"Daoy",0.196747536191574,9.8127,0.02912,0.0257770673013043,4,14.6566308303938,0.0236356739927091
"GB-1",0.326261329518837,7.2193,0.008157,0.00825968023281218,3.27711386917155,1.96088174472798,0.00815945816331201
"HCC1171",0,16.357,0.001853,NA,0,100,0.207594332018342
"HCC44",0.0395083333333335,15.377,0.001991,NA,0,92.0983333333333,1e-06
"NCI-H211",0.503255975979663,4.4935,0.001249,0.00138545316366596,4,0,0.00138545316366596
"RERF-LC-A1",0.372730584143223,6.6248,0.004415,0.00471365108332773,1.52170422888197,4.9894001342132,0.00439900801063829
"SBC-5",0.131512565948218,11.334,0.0301,0.0402186415439988,4,39.171427037023,0.0274364364682306
"SF126",0.290436226084114,7.7328,0.0118,0.012142046702097,4,1.67765789981199,0.0120388884890931
"SNU-119",0.0842037162989718,12.822,0.002056,NA,4,71.5590382801057,0.0119549010015279
"SNU-81",NA,NA,NA,NA,NA,NA,NA
"SNU-182",0.32034686656593,7.7003,0.003723,0.00506484299392975,4,17.6724693185811,0.00454168091985655
"TCCSUP",0.146941745496602,11.297,0.01765,0.0287335913421212,4,44.639806490344,0.0164415412670873
"CAMA-1",0.194833137352866,11.024,1.925,2.27798090038964,0.208271011235751,0,2.27798090038964
"Detroit 562",0.157045274874948,10.092,0.07021,0.0703618895180977,0.860315887199318,0,0.0703618895180977
"HEC-1-B",0.175946292181358,10.387,0.01732,0.0228286500066431,3.67606411904976,32.7827614973822,0.0170815994699026
"Hep 3B2.1-7",0.251654805642803,10.492,0.005722,0.0797465152448474,0.327731049605028,0,0.0797465152448474
"HSC-3",0.191973404932042,10.206,0.01542,0.018568610977624,4,30.5519867172417,0.0146641105876052
"MCF-7",0.0563937500000001,15.492,0.002064,NA,0,88.72125,2.136992682686e-06
"SNU-1105",0.175992339589862,10.272,0.02022,0.0254312036644932,4,27.4738532046893,0.0208351265338664
"U-87MG ATCC",0.0637187499999995,13.653,0,NA,0,87.2562500000001,2.88496784732764e-06
"22Rv1",0.0965920186874306,11.99,0.08028,NA,4,51.4284917510825,0.0328591476272651
"769-P",0.256563125693063,8.5919,0.01217,0.0135273779385359,2.73543078295903,12.9487297114894,0.0121235023699072
"COLO 699",0.00509166666666777,16.045,0.001983,NA,0,98.9816666666664,2.89791024913755
"DOV13",0.382072038994424,6.3554,0.004852,0.00485800574811186,1.2828431323668,0.427371857571416,0.00482560680465967
"ES-2",0.343697442232478,7.0317,0.006209,0.00645959712525821,2.19425797484894,4.32047896581093,0.0061989557640118
"HCC1806",0.233915183439262,9.3434,0.02473,0.0186645262549668,4,9.42556359574494,0.0177148546787145
"HCC1954",0.083881005394113,12.561,0.03204,NA,4,58.9818603329924,0.0309891707099569
"HPAF-II",0.00486908533506805,16.467,3.237e-16,0.377692589863294,4,0,0.377692589863294
"KHM-1B",0.372328433969112,7.2804,0.001946,0.00206946815633388,4,22.2407575039012,0.00178635656237673
