"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.395268638786363,9.0757,2.387,2.37739351070761,0.259109896215802,0,2.37739351070761
"KPL-1",0.273685809218604,10.906,16.16,16.2754053269788,0.304030935371317,0,16.2754053269788
"MKN1",0.374150201092727,9.388,2.035,2.03234828354848,0.394594291411686,0,2.03234828354848
"253J-BV",0.344331730089585,9.8226,41.54,2.64924448989007,0.460570453491485,0,2.64924448989007
"BFTC-905",0.164929975361566,12.284,8.631,10.8640437452041,4,6.78035684724731,10.4753682434907
"BFTC-909",0.20043553587919,11.939,44.67,9.9899133649806,0.879280197607149,0,9.9899133649806
"CAL-120",0.280090576289705,10.8,43,6.61392868122765,0.452000539534875,0,6.61392868122765
"CAL-29",0.418647032715882,8.722,0.8027,0.896506801466818,0.562817070387258,3.10242306754164,0.80006336536411
"CAL-62",0.443748353031717,8.3359,0.3221,0.691584665808068,0.397970464286973,10.9504603406687,0.371613474401875
"HuCC-T1",0.352989402934918,9.7045,3.414,3.41116744281661,0.332893214740402,0,3.41116744281661
"NMC-G1",0.328899621858546,10.065,1.14,2.65560550492561,0.545358102376147,15.0285864961579,1.37871888466984
"RPMI-7951",0.398790317343709,9.0026,47.92,1.30583718680823,0.457360107545158,0,1.30583718680823
"253J",0.638241406742238,5.4042,0.07712,0.0609250533824984,0.444267934899079,0,0.0609250533824984
"ALL-SIL",0.958968437500003,0.6081,4.033e-10,1.02163742991488e-06,3.99999999999914,4.10315624999957,1.00000000000218e-06
"HDQ-P1",0.452206085650908,8.2064,0.1503,0.40215166138957,0.586548824560241,20.8429990926014,0.160346256083478
"SNU-489",0.246986519413005,11.3,28.85,29.1018765659212,0.298581440067008,0,29.1018765659212
"SNU-626",0.17122026372002,12.433,41.89,42.1949698397546,0.440099413835723,0,42.1949698397546
"SNU-738",0.131270849658841,13.022,19.25,19.3567163967161,1.31129000956957,0,19.3567163967161
"TUHR4TKB",0.292441153241896,10.145,0.1339,4.82904859967617,0.506567462976498,0,4.82904859967617
"ACC-MESO-1",0.263052806257659,11.063,8.837,8.84479711023628,0.441108605408365,0,8.84479711023628
"B-CPAP",0.492938316757754,7.6053,0.4015,0.400331372644471,0.380616876208153,0,0.400331372644471
"CGTH-W-1",0.544839260549754,6.8237,0.1247,0.161819302927227,0.77958901025494,8.89452596227855,0.125865958012299
"COLO 680N",0.441712236534321,8.3727,0.3356,0.536802473206334,0.633074272072283,12.9474662406697,0.334369849350109
"ECC12",0.108787370915264,13.338,21.15,21.3386335257003,4,0,21.3386335257003
