"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"C2BBe1",0.567621173716489,6.4855,0.001714,0.00578448922732974,1.39173669652566,40.8256208782246,0.00171059319769016
"ChaGo-K-1",0.81633025032173,2.7538,0.007928,0.00846670317186917,1.59993283724103,5.26053675463272,0.00789838948630733
"COLO 668",0.798602523235099,3.0204,0.007054,0.00790194339703093,1.48408784226136,8.22892957070036,0.0070002374346209
"COV362",0.549893277118514,6.752,0.006533,0.0200732202669385,1.17070525975228,36.6835009736501,0.00648364052987967
"DV-90",0.87865710285789,1.5752,0.00207,0.0025499153284399,4,9.65587765627454,0.00241673107616491
"EFO-27",0.459583302487737,8.0944,0.005484,0.0572517184837379,1.44742151915304,48.3336342655133,0.00546028462374437
"HD-MY-Z",0.772439765956556,3.1983,0.00219,0.00304358064799652,4,19.988224965586,0.00267895385882738
"NCI-H2170",0.654699878169532,5.1793,0.004534,0.00782604894848704,1.45960171165863,27.5949674599594,0.00451537213806246
"NCI-H647",0.554459035337214,6.7695,0.01146,0.014717840726719,4,33.5906359178965,0.0111397266839912
"NCI-H810",0.892646972055949,1.5943,0.002126,0.00221611754111992,4,8.97438775587854,0.00210918200776946
"OCI-AML-3",0.969710274883527,0.3145,0.00207,0.00213339298842925,4,1.08405848887447,0.00212173415019335
"PaTu 8988s",0.475099985298668,7.5942,0.002099,Inf,0,4.98000294026644,1e-06
"PC-3",0.350678602328206,9.6294,0.009751,NA,4,57.8608076348135,0.0114597788484989
"TE-5",0.711662167951076,4.3239,0.003639,0.00565926930371315,1.33223247997021,22.2842707162753,0.00363428336095941
"UACC-257",0.564096040600391,6.421,0.009049,0.0138515370558821,4,32.8159382521326,0.0106056410256571
"UACC-62",0.669601225665166,5.1609,0.01357,0.013603911683816,4,19.0560158338295,0.0120660566586306
"BICR 6",0.667238463939248,5.021,0.008175,0.00923780524501745,4,23.1054658734528,0.00791119897093643
