"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.291923852507741,10.62,19.54,19.5494685201483,0.251075333338735,0,19.5494685201483
"KPL-1",0,15.431,16.7,NA,0.406408214854644,100,0.00275765255653615
"MKN1",0.169787905973202,12.445,6.407,8.17106698265806,2.75605771202225,24.1531766970637,6.43136478013095
"253J-BV",0.223617201765597,11.644,4.098,6.37636509543829,1.01057534135502,17.799510395746,4.12539487317747
"BFTC-905",0.102015234002946,13.459,24.38,25.4285952271598,1.68009968795814,2.3545783897389,24.7089088305208
"BFTC-909",0.114924026735253,13.274,31.77,39.575113523616,0.793192384483903,9.57886542437226,30.2676996969766
"CAL-120",0.0817742527274327,13.759,21.22,27.211965390118,2.93518964057418,25.0826562111201,21.4640140054513
"CAL-29",0.181052804924825,12.277,9.274,10.7860812004429,1.1657394902051,7.04703379123842,9.46819352941191
"CAL-62",0.101959075003165,13.474,7.686,NA,1.62004233704829,50.8977444827215,7.75372887470658
"HuCC-T1",0.250586753456369,11.242,7.811,7.82555133096224,0.547693788646727,0,7.82555133096224
"NMC-G1",0.0890687921644171,13.628,16.27,22.1928188335496,3.83352056246956,31.1318794696392,17.2110382645978
"RPMI-7951",0.238859262697897,11.398,5.499,5.51378165116427,2.07909673577039,0,5.51378165116427
"253J",0.227400601693786,11.586,3.867,5.36427284586037,1.30183797856391,16.7921165069224,3.91732324975382
"ALL-SIL",0.444508305119658,8.3618,0.632,0.647182795274616,4,0,0.647182795274616
"HDQ-P1",0.11394426351974,13.287,5.64,NA,2.49124512382502,51.7450649266063,5.66202575600827
"SNU-245",0.315097327226263,10.305,1.033,1.1586148595652,4,21.6507679324246,1.00538388052549
"SiMa",0.378534864679607,9.5102,1.01,0.965456193831384,4,7.69227239853868,0.92596590724892
"SNU-489",0.183519923494488,12.243,7.26,11.519684962859,0.958691422774223,17.2112308430949,7.41822436255852
"SNU-626",0.167681497526206,12.491,7.381,21.4346804758559,0.742949496336868,25.5287611424091,8.19291578898681
"SNU-738",0.227843928422133,11.183,0.5794,8.97056965077847,0.641860204555436,0,8.97056965077847
"SNU-878",0.220128613351611,11.68,5.433,5.8674065984047,2.44500070586028,8.17529292318238,5.45423291915599
"TUHR4TKB",0.186373327177356,12.199,11.21,12.7421662749243,0.80335621473538,2.83731211420785,11.8484473275337
"ACC-MESO-1",0.0842929428568052,13.719,22.72,25.7336481272979,3.7000287166512,17.6219486731214,22.8821347454265
"B-CPAP",0.226563429718212,11.512,8.047,6.54792889785758,1.22520424280534,0,6.54792889785758
"CGTH-W-1",0.231904131445792,11.406,10.28,6.34289784802686,1.08161891274508,0,6.34289784802686
"COLO 680N",0.200646906555951,11.958,17.17,11.2183109637094,0.745108502795995,0,11.2183109637094
"ECC12",0.166711349847104,12.488,11.53,11.6995085536185,2.44417250076117,0.16331042555278,11.6838590968976
"JMSU-1",0.233352216950072,11.487,5.799,5.86181550842264,1.67404035872064,0.288117613090376,5.84161459941494
"Rh41",0.418366114966236,8.728,0.7498,0.752639979266859,3.05306982077512,3.16962179045076,0.736667148791243
"WSU-DLCL2",0.375902186495257,9.374,1.151,1.1875182202856,1.86756072048542,3.63376445996674,1.14049742813895
"23132/87",0.235982775567157,11.448,5.594,5.6698992140556,1.73675529097759,0.550762585472886,5.63385380403771
"8305C",0.256751621361143,11.103,4.811,4.62491015352282,1.47930099744544,0,4.62491015352282
"BHY",0.205755915589813,11.911,14.01,14.0546760559514,0.571517488752889,0,14.0546760559514
"GSU",0.290219972829553,10.621,3.53,3.3310167479999,1.10005588458922,0,3.3310167479999
"JIMT-1",0.164255153238569,12.527,10.66,11.1351156350348,3.5792370635201,5.81899897135181,10.756770636041
"KMRC-20",0.133932434434959,12.984,18.06,20.1173162718908,1.13234015844938,4.37752856886291,18.5536504228931
"OUMS-23",0.307793980227504,10.362,2.499,2.56307589763676,2.90327664280003,1.80126934074015,2.53088869598354
