"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"253J-BV",0.290691926029572,10.475,8.641,3.59488994209097,0.797446248495182,0,3.59488994209097
"BFTC-909",0.13181242063141,13.006,16.57,16.9875736417949,2.40072001231835,0.259474521368503,16.9507968914614
"CAL-29",0.273466425217436,10.799,40.87,4.73824027727793,0.690166560185037,0,4.73824027727793
"HuCC-T1",0.301120694019653,10.419,9.719,3.30284265766191,0.732967319135048,0,3.30284265766191
"NMC-G1",0.122312828482399,13.145,17.36,18.2290702419569,4,1.96153998133526,18.0475929192402
"RPMI-7951",0.17576750346706,12.383,8.337,9.09724169152766,4,10.3428021614135,8.58514704124884
"253J",0.232714708568365,11.315,7.392,6.00215927373283,1.41047475477716,0,6.00215927373283
"HDQ-P1",0.221413622149425,11.673,12.33,12.3514154293865,0.532049165470715,0,12.3514154293865
"SNU-489",0.105558865364361,13.336,22.99,22.1894508039835,3.29713654252255,0,22.1894508039835
"SNU-626",0.15472484977985,12.679,13.48,13.7144917043056,1.70915623521537,0,13.7144917043056
"SNU-738",0.105531260987312,13.403,24.8,24.8763526749633,1.58273647994338,0,24.8763526749633
"SNU-878",0.233106866904054,11.487,5.705,5.76880532466529,2.99945058826201,0.683630256222265,5.74238822225221
"TUHR4TKB",0.182206954017346,12.252,8.951,9.61867759859369,4,2.12674282819885,9.51472216737713
"ACC-MESO-1",0.0853136758818718,13.669,47.65,28.4325250481441,2.50863631672793,0,28.4325250481441
"B-CPAP",0.171851757619108,12.354,9.968,11.0436962939458,4,0,11.0436962939458
"CGTH-W-1",0.135952683122684,12.913,16.47,16.1838868189349,2.65907898899867,0,16.1838868189349
"COLO 680N",0.241000725912768,11.391,7.824,7.82133925063385,0.617527460758375,0,7.82133925063385
"ECC12",0.104432143593144,13.413,21.75,22.3399278127775,4,0,22.3399278127775
"HCC95",0.458192266127805,8.1326,0.7437,0.738000994362039,0.275634590434958,0,0.738000994362039
"JMSU-1",0.212636678727451,11.801,7.08,7.28955142599805,1.54247925269297,1.25856907533411,7.17006223175012
"Rh41",0.20364139217128,11.888,8.103,7.95697728446866,2.32484728287772,0,7.95697728446866
"SNU-175",0.334184316547844,9.9537,12.77,2.52508918170853,0.581313477262201,0,2.52508918170853
"WSU-DLCL2",0.189904785207972,12.162,8.212,8.49273554979487,4,4.81822367979421,8.28029720619062
"23132/87",0.159630064927324,12.593,11.23,11.7477267554231,3.55171793427875,5.65077961730058,11.3576734954395
"8305C",0.181025240004632,12.276,8.877,9.26220819444909,3.25334372476658,5.98647182407603,8.90616788956525
"BHY",0.435889921495144,8.3936,1.594,0.76050239316726,0.577316857575905,0,0.76050239316726
"GSU",0.120477606673109,13.549,23.45,18.8750472059454,4,0,18.8750472059454
"JIMT-1",0.146797908402305,12.761,14.56,14.4321502747212,2.61387800484283,0,14.4321502747212
"KMRC-20",0.140610191650967,12.858,15.45,15.4021944559864,2.65680950867923,0,15.4021944559864
"OUMS-23",0.11423610612322,13.28,14.58,16.9513836731823,4,20.1931894187867,14.8950350510568
"SNU-1076",0.51087863078163,7.3362,0.3045,0.313467228274121,0.543953137519479,0.867291649194271,0.303543990441187
"SNU-1196",0.17023448513713,12.439,12.93,13.0003479569692,1.08326320751515,0,13.0003479569692
