"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.334052180157608,9.9803,0.001875,NA,0.697277303473165,61.5252240038225,0.00196913008159352
"KPL-1",0.115561538461537,13.348,1.291e-178,NA,0,76.8876923076926,0.00412231159118394
"MKN1",0.219789131101854,11.704,51.03,50.3332164844549,0.252998056622369,0,50.3332164844549
"253J-BV",0.353935790389537,9.7056,0.008349,NA,4,55.5912655365139,0.00826520478661499
"BFTC-905",0.271983923100631,10.922,0.01633,NA,4,62.5341613662634,0.017309697769542
"BFTC-909",NA,NA,NA,NA,NA,NA,NA
"CAL-29",0.507681470767413,7.3921,0.02015,0.0263143916294315,3.0510249563392,28.7630582658054,0.0198749969805275
"CAL-62",0.499600416027632,7.5249,0.01615,0.0207241681505116,4,31.8402377402693,0.0160883737175407
"HuCC-T1",0.350474117916646,9.7441,0.09663,2.4572025318576,0.393913152568977,36.2470348948756,0.0927580210570435
"NMC-G1",0.190741310124793,12.112,0.2304,NA,0.565021587731549,53.8427992967485,0.49813024317401
"RPMI-7951",0.561093784910282,6.5822,0.01592,0.0247758238602021,1.3849020787016,23.5814897365325,0.0156303760203442
"253J",0.437624737309614,8.4346,0.009807,0.0169902846454284,3.81633543949427,43.9655872600362,0.00976265592244511
"ALL-SIL",0.72387851270318,4.1655,0.01594,0.0158383537700768,4,1.54586011452447,0.0157144888941506
"HDQ-P1",0.0537619054297036,14.19,7.807,NA,0.639015356777179,67.88470665426,10.7189951415749
"SiMa",0.707780228166605,4.4894,0.007542,0.00772158730008848,4,12.6800212195121,0.00717710718043817
"SNU-489",NA,NA,NA,NA,NA,NA,NA
"SNU-626",0.46147899226756,8.0804,0.1216,0.149451994238872,1.62419788987401,14.3416113492112,0.121370610130979
"SNU-738",0.386631792234834,9.2273,0.3334,0.441500093357696,0.997756974319974,12.9632994942329,0.326813566950199
"SNU-878",0.47952581677449,7.8251,0.01752,0.0232529957169143,4,33.8320488589078,0.0175347733854316
"TUHR4TKB",0.448039518434307,8.2855,0.0236,0.183386230469587,0.525549268395272,32.8784521082546,0.02386523319064
"ACC-MESO-1",0.041393333333333,14.29,0,NA,0,91.7213333333334,0.0143215951914135
"B-CPAP",0.343244424339422,9.8507,2.171,2.17027316545642,0.315854684188445,0,2.17027316545642
"CGTH-W-1",0.640069646992484,5.4025,0.01759,0.0209581426837797,1.43185476668005,11.618101861041,0.0174239511329889
"COLO 680N",0.259513675135927,11.105,0.09388,NA,1.21595610035387,53.966693067571,0.0933347338423026
"ECC12",0.625962216600407,5.617,0.04015,0.0404783030037054,3.80824681797719,3.08864832369632,0.0398061975841581
"HCC95",0.0982912744916122,13.533,0.1989,NA,0.831503019800152,80.0332917684431,0.197285488254583
"JMSU-1",0.50581699282412,7.4789,0.01537,0.0188578962430403,4,31.8349520547319,0.0146406337998216
"Rh41",0.608299989530611,5.8766,0.01149,0.0133193478306941,3.40888556021532,20.5980804708377,0.0113982423161863
"SNU-175",0.300379622453762,10.848,1.4,1.4060265247225,1.21787612853333,3.05610250186059,1.33506630536293
"WSU-DLCL2",0.780991735121414,3.2893,0.007574,0.00765993582290227,4,3.08258979215574,0.00753904156644596
"23132/87",0.560815409064609,6.6019,0.02835,0.0358601322821937,1.79879530583132,17.3568512540782,0.0282921755258918
"8305C",0.378704749447664,9.3168,0.009189,NA,3.86631127604857,51.8959278720336,0.00914620959755457
"BHY",0.498607341374962,7.5248,0.02254,0.0352988160951735,1.87735860514496,28.9276463851946,0.0222779146404835
"GSU",0.102508274784391,13.439,0.07784,NA,4,82.0864348441189,0.0856736662287616
"JIMT-1",0.0351688292646822,14.323,2070,NA,3.73115201122484,84.687260201021,3.02524608386596
"KMRC-20",0.340102325650613,9.9038,0.01653,NA,3.69375515359773,53.5270602129604,0.0162828973534792
"OUMS-23",0,15,1.858e+11,NA,0.745936389060054,100,1.15104858516493
"SNU-1076",0.537174511036616,6.9473,0.02093,0.0279198186561882,2.20936936606438,24.2077057591201,0.0206915965475431
"SNU-1196",0.498754744910865,7.5746,0.01283,0.0166257866752753,4,34.1520612563633,0.0124747800961053
"SNU-8",0.250942113439504,11.235,5.271,5.87932569934204,0.421212800012938,1.99381689643433,5.33790101185619
"A-375",0.721887473548256,4.2078,0.01048,0.0111267752584041,4,6.46085858042292,0.0107484732563221
"A-549",0.298527464490717,10.516,0.01815,NA,1.57888457751608,58.6136780188286,0.0180461288660187
"NCI-H2009",0.31650163784751,10.253,2.554,2.5567197065161,0.372444477180643,0,2.5567197065161
"SNU-201",0.224554429916594,11.631,566.5,571.12593954775,0.161852215177217,0,571.12593954775
"SUIT-2",0.244840030401819,11.329,16.71,16.8636913567887,0.289220421416639,0,16.8636913567887
"SNU-1079",0.283308155359887,10.837,0.01572,NA,4,62.0868786592724,0.0138683049416284
"COLO 741",0.239406693559731,11.667,0.7287,1.6901771815877,1.6685715758051,28.2884430287795,1.02521031748758
"DEL",0.720153096406734,4.2318,0.01777,0.0178376748259605,4,0.431236010703938,0.0177990885636939
"HARA [Human squamous cell lung carcinoma]",0.272083329593355,10.927,0.7934,1.06781377114438,2.13276385833545,24.4145137893673,0.779944937715158
"HCC15",0.217592513033676,11.751,1.363,1.98545152339361,2.24879561785342,29.343887290729,1.34009678521651
"KP-4",0.592616524913831,6.12,0.01915,0.0210558522451785,3.93070978916737,17.4159899973495,0.0188826050757235
"Lu-99A",0.44063878541017,8.3848,0.2586,0.269360269730334,2.95194832688516,5.41632140413724,0.259098752054524
"NCI-H1155",0.644893276727048,5.3606,0.02184,0.022701650968782,4,8.43880616575711,0.0216763894242934
"NCI-H1581",0.423099203226847,8.6518,0.01376,0.0374196952431477,2.01688820652317,43.4978367600047,0.0136098464507768
"NCI-H2106",0.0885093642317994,13.652,0.3731,NA,1.27905115310327,79.0117552758546,0.411247656503554
"NCI-H358",0.189220330821084,12.16,7.195,12.4381765764212,0.511180831844735,12.3046168521085,7.1574737570932
"DLD-1",0.193069681213524,12.113,0.8509,4.68121418473506,1.38952775130032,45.4523410335811,0.833781118472709
"EM-2",0.705197318545144,4.4316,0.02105,0.0208639588946882,2.47711159008218,0.441584197398746,0.0207893755026159
"JURL-MK1",0.845450412082989,2.3137,0.004518,0.00453238646081936,1.48394326504001,0.377587888676938,0.00450929273873839
