"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"TE-4",0.344577805601639,9.8223,20.86,3.11334650616609,0.393408441223229,0,3.11334650616609
"KNS-60",0.155354829435149,12.37,9.712,12.5294460237179,4,3.91873212609285,12.2763842507153
"KNS-81",0.0589202006349241,14.09,33.91,36.5669858557375,4,0,36.5669858557375
"ML-1 [Human thyroid carcinoma]",0.101432925316172,13.408,42.03,25.7580875694344,1.66162400026175,0,25.7580875694344
"NCI-H2228",0.0556694640432895,14.116,34.18,37.9550819074406,4,0,37.9550819074406
"NCI-H2452",0.0996986174344322,13.509,22.17,23.484484652692,4,0,23.484484652692
"NCI-H2444",0.0724495918533754,13.977,31.42,31.4513125004001,4,0,31.4513125004001
"NCI-H226",0.0326711077282522,14.807,60.77,50.5981336160575,4,0,50.5981336160575
"PC-14",0.476952702256169,7.8357,0.1664,0.188591287727689,3.32439628784238,17.0650050184085,0.166334247327145
"RS4;11",0.115584488307237,13.209,21.45,20.2136982645425,2.5315085539637,0,20.2136982645425
"SJSA-1",0.052430698521194,14.206,53.33,42.7182141756681,2.56516543289704,0,42.7182141756681
"SK-MM-2",0.0798445382329344,13.981,29.74,29.0236122613124,4,0,29.0236122613124
"SNU-761",0.129103432764966,12.967,21.62,17.826780727727,2.01527662747084,0,17.826780727727
"SU.86.86",0.0613197927713211,14.069,33.73,35.5859513883776,4,0,35.5859513883776
"SW1271",0.0563490478220682,14.169,34.99,37.4476630551498,4,3.73213120808716,36.7284070726679
"TE-6",0.197315805831626,11.999,15.87,9.27016829298766,1.13514222634103,0,9.27016829298766
"TE-8",0.22963797623696,11.564,8.048,8.03579289045619,0.707363653839529,0,8.03579289045619
"ECC10",0.150875320897424,12.347,9.343,13.0142070100741,4,4.82480290591751,12.6882060707917
"HCC1195",0.0528730671820867,14.225,51.08,39.2085760320915,4,0,39.2085760320915
"HPB-ALL",0.105280587743762,13.388,20.69,22.1410710024713,4,0,22.1410710024713
"KMS-18",0.0959330540848752,13.6,24,24.4394527270968,4,0,24.4394527270968
"KMS-12-BM",NA,NA,NA,NA,NA,NA,NA
"KMS-34",0.134449475649751,12.933,17.29,16.5481709994318,2.375,0,16.5481709994318
"KYO-1",0.240466485660567,11.366,4.905,5.3635580821488,4,0.406035659607342,5.35263578511288
"Mono-Mac-1",0.291696171270862,10.615,3.452,3.33414634901272,0.995972568321531,0,3.33414634901272
"NCI-H1650",0.187695952389079,12.265,14.1,13.9239716669983,0.713323457818503,0,13.9239716669983
"NCI-H446",0.258365887937291,11.12,2.663,3.57052296392342,1.35157767859277,16.7066465475932,2.64277684569147
"REC-1",0.0378306336919033,14.671,22.07,NA,4,53.5052847333433,28.5516006354222
"SUP-T11",0.0861587582525312,13.954,29.42,26.9347407072164,4,1.59962139442936,26.7166799384507
"TALL-1 [Human adult T-ALL]",0.135918686886859,12.928,17.36,16.5294080052429,2.01441821584532,0,16.5294080052429
"YD-8",0.150114552496201,12.758,15.14,15.1075472907807,1.38884557378065,0,15.1075472907807
"CHP-126",0.0844050312247948,13.728,26.05,27.0211710456114,3.7408211628635,6.2919029231726,26.0669641283747
"CAL-51",0.0909427047452585,13.607,26.34,26.0170127074421,3.21127606631908,0,26.0170127074421
"Hs 944.T",0.0655472090834131,14.041,31.84,33.3783483309301,4,6.9304810190769,32.1562093060583
"L-540",0.105466249094117,13.407,21.56,22.0978045248567,4,0,22.0978045248567
"LOU-NH91",0.112873469273536,13.295,20.92,21.0701513745086,2.25473763937748,0,21.0701513745086
"MOLM-6",0.269310507385349,10.947,3.68,3.80060113604719,2.2778049328097,2.68815891314088,3.70950333311553
