"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.313943506056703,10.289,8.08,8.11512529912765,0.29745749369429,0,8.11512529912765
"KPL-1",0.094853012129942,14.266,0.07123,NA,0.0220161120677175,80.1909777468967,6.05413436507932
"MKN1",0.180460366247462,12.223,21.2,20.8755431315118,0.568844080857621,0,20.8755431315118
"BFTC-905",0.139731467702646,12.902,44.12,44.2603036598833,0.554523177131143,0,44.2603036598833
"BFTC-909",0.21738464642518,11.734,10.85,10.87660221091,0.612688726745297,0,10.87660221091
"CAL-120",0.0546979591878202,14.229,49.06,48.9153555962799,1.73247429547194,0,48.9153555962799
"CAL-29",NA,NA,NA,NA,NA,NA,NA
"CAL-62",0.436766642873101,8.4491,0.0649,0.0966587928622517,2.96264392034525,34.3066534068478,0.0653694308267316
"HuCC-T1",0.166676366716945,12.453,0.1425,NA,4,71.3316489090919,0.155776668600464
"NMC-G1",0,16.059,0.001439,NA,0,100,1e+06
"RPMI-7951",0.210476732551557,11.84,14.77,14.8380347166811,0.525786271007881,0,14.8380347166811
"253J",0.218679758103309,11.849,16.48,9.694163998498,0.672127568559238,0,9.694163998498
"HDQ-P1",0.0616427564658554,14.098,1.269,NA,3.2789665154077,83.4535326942581,1.3683657983054
"SiMa",0.318583430546079,10.286,0.03007,NA,4,57.1125868657735,0.0290418084037728
"SNU-489",0.195637427696198,12.065,166,168.115525132596,0.259276878824297,0,168.115525132596
"SNU-626",0.218026769493371,11.732,1.2,3.87683155284029,1.72867016282332,43.4699426069043,1.1941819956647
"SNU-878",0.451107327594226,8.2326,0.4415,0.498361361330005,1.06728616884492,6.44703597841361,0.437896745802565
"TUHR4TKB",0.162973706322767,12.563,52.57,59.1492669480679,0.472883595995537,20.1783771663872,19.8304274671073
"B-CPAP",0.151378964833858,12.813,20.49,28.4149369023161,0.678728092638473,14.672909127206,17.032361862725
"CGTH-W-1",0.171798483117132,12.421,5.035,8.52478232806632,1.81458512200538,30.3840443645614,5.09028393823525
"COLO 680N",0.112871467215732,13.309,0.716,NA,2.02095661613617,74.1216309256578,0.705932565122618
"ECC12",0.145804584645628,12.805,1.59,NA,0.910864114018713,59.1257006381287,1.67169482320734
"HCC95",0.406673470174944,8.8979,0.3458,0.739163556668014,0.643273808057889,19.515104992096,0.342524022801451
"JMSU-1",0.355404473223492,9.667,1.577,2.98387054686606,0.365224543936784,9.9497116341264,1.62528810974766
"Rh41",0.499055786220603,7.5144,0.314,0.328390515995599,1.22654588508072,3.00642635532854,0.312200353793023
"WSU-DLCL2",0.524460453038179,7.1287,0.2379,0.24896843902235,1.31270373201163,3.02071236947002,0.237425645932693
"23132/87",0.243669934835289,11.336,7.466,6.50380346867585,0.74314106272065,0,6.50380346867585
"8305C",0.420333462836065,8.6929,0.3451,0.478610957199175,1.23478732835068,16.8419940519014,0.34317782544874
"BHY",0.195956127991753,12.064,0.9434,NA,0.877700552229548,52.2768049799013,0.941234592204203
"GSU",0.190894085943404,12.134,2.412,7.31523285107897,1.47347200093046,40.8897934535183,2.3035191388751
"JIMT-1",0.0679483959536186,13.98,49.15,48.9729553910283,1.27497176406003,0,48.9729553910283
"KMRC-20",0.157638645892528,12.629,33.98,33.9791696481164,0.537946245990392,0,33.9791696481164
"OUMS-23",NA,NA,NA,NA,NA,NA,NA
"SNU-1076",0.202201947913411,11.97,0.2468,NA,1.12496772544958,62.3683491544792,0.245843046436821
"SNU-1196",0.157358585092346,12.648,3.027,275.328457152134,0.733346790979848,48.0818453713819,3.22745088290446
"SNU-8",0.223172122698262,11.658,0.6889,4.04422183357268,2.49273507819341,49.4369607171449,0.668637936312517
"A-375",0.0337744939779902,14.532,50.58,49.8285766981016,4,0,49.8285766981016
"A-549",0.0245740168375689,14.544,1.157,NA,1.27169072126125,87.3197899748576,9.3586764983281
"NCI-H2009",0.302439588675775,10.465,0.6845,1.57433719063975,1.16764782346385,31.3446300628631,0.676716228549272
"SNU-201",0.173997312901413,12.391,0.4239,NA,1.63933500702878,64.1747112282477,0.42170106234339
"SUIT-2",0.104420231912984,13.436,0.7958,NA,2.74837777247307,75.4089631319344,0.795904266619224
"SNU-1079",0.704422894222241,3.9894,0.005842,0.0296186508510444,0.525831161317365,0,0.0296186508510444
"COLO 741",0.199738729848621,11.998,0.2049,NA,1.40306381004309,64.1528800365605,0.200195326071839
"DEL",0.311581479778864,10.329,1.483,2.09294227907095,1.02798302165935,15.1422584897735,1.4735038390461
"HARA [Human squamous cell lung carcinoma]",0.098238814934597,13.522,36.49,36.467071761367,1.01717984736867,0,36.467071761367
"HCC15",0.246230800624635,11.275,19.86,6.60069698518174,0.69503444129009,0,6.60069698518174
"KP-4",0.149267596022513,12.754,19.41,19.4920244113456,0.880621087421155,0,19.4920244113456
"Lu-99A",0.311615069528013,10.328,0.6345,1.17301001714087,1.48943774328064,30.434652458158,0.624770245101551
"NCI-H1155",0.387687038520643,9.1913,0.7701,0.851373731703635,1.73494555143549,9.93281520842574,0.749346478365669
"NCI-H1581",0.207729302702175,11.874,11.34,8.748976950043,0.957543236688416,0,8.748976950043
"NCI-H2106",0.199164594106317,12.038,17.22,17.2421644271392,0.534015325764603,0,17.2421644271392
"NCI-H358",0.314449339212369,10.288,0.6865,0.985708985114006,2.11348115495641,29.1562161643899,0.651558880238432
"DLD-1",0.22611009042485,11.626,1.611,3.25019646058933,1.87651306161704,36.7371984568036,1.6024295044886
"EM-2",0.554406821974067,6.6773,0.1914,0.193719005555239,2.50812466078577,1.24768787339287,0.191777007055958
"JURL-MK1",0.404338213390329,8.9431,0.6889,0.724602418978693,2.56486664611487,8.17567665748834,0.675877154317806
"P12-Ichikawa",0.464064624601032,8.0388,0.4207,0.446422390958805,1.45867873349419,4.6366280883169,0.417610432857636
"KE-37",0.500566252115428,7.4882,0.3012,0.314285794045919,1.55583116036686,3.4220033255732,0.300286080179413
"KMS-21-BM",0.597661629913266,6.0326,0.1077,0.112669019643871,1.40846365650571,3.07531797423266,0.107703779246634
"Li-7",0.4348341158094,8.4774,0.07536,0.262456710041225,0.850620783903831,32.8117051472237,0.0747967371411529
"MHH-NB-11",0.173123021394251,12.387,1.127,NA,1.69763423298211,56.3998081768444,1.06072923777422
"MOLM-13",0.519886827059513,7.1985,0.1777,0.204902413526162,1.31071215197739,8.58025686094447,0.177487096476619
"NCI-H28",0.400747967471553,8.9925,0.7322,0.826493008010932,1.25555321709211,7.64552019804371,0.724165236192992
"639V",0.0698034839076832,13.947,3.443,NA,1.15079390780549,74.8679077025168,3.78700022326474
"BxPC-3",0.322192659532831,10.166,0.4649,1.1291806027554,1.17069953906726,32.4923126390936,0.460758920901125
"CML-T1",0.422777188118046,8.6579,0.3382,0.584368920967705,0.730908201839568,16.6552249570847,0.335714315038986
"GSS",0.462970377065083,8.0529,0.4299,0.445159596668454,2.48115057523621,4.34392907563448,0.429148111290086
"HCC366",0.319100986631777,10.214,1.318,2.45839091636975,0.667431655029815,16.8935024649453,1.32548139385487
"Kuramochi",0.345245949012783,9.8203,0.3243,2.20240417344862,0.541952790725776,32.467880816304,0.318485974517278
"LS411N",0.302450221147212,10.465,1.86,2.41636019923475,1.08546154538727,12.1725448091887,1.86869447172458
"LS513",0.257140186842201,11.144,1.024,2.61237403103737,1.34024860338955,36.125929751704,1.00372635527883
"ONCO-DG-1",0.308573578054516,10.375,1.015,2.01488485659684,0.918612294549646,23.709253773099,1.00080472190691
"ONS-76",0.300673691471844,10.489,2.169,7.42298177328638,0.389519296908826,19.7707625606755,2.03948569822537
"SK-CO-1",0.236996438352855,11.446,215.2,216.731452310567,0.197046753972257,0,216.731452310567
"SW48",0.462497793103635,8.0589,0.09842,0.231073706942869,0.831985577659767,25.8055493852353,0.096567862321974
"VM-CUB-1",0.341517086907331,9.877,0.4051,0.821377194599594,1.30763188654119,30.3303720975172,0.402429204189735
"BEN",0.315643447678832,10.279,1.437,1.57964492538936,3.2629321341743,14.4018052454796,1.42344881541677
"CFPAC-1",0.1634301876954,12.542,5.285,10.1994945840484,1.63476990902358,32.6611251472526,5.33610820542726
"HCC78",0.141454124786547,12.888,0.4554,NA,4,70.4740194147797,0.451645930698002
"HT",0.413547163465594,8.7949,0.2248,0.39587331020748,1.16842156657807,24.2943102214615,0.224008606856119
"KU-19-19",0.228058732901938,11.576,0.3269,NA,1.14241252740363,55.3400219276974,0.325001147918251
"NCI-H1299",0.186884434733019,12.197,1.208,NA,1.07464130082679,51.5697441475307,1.20487732597989
"NCI-H727",0.190905258685205,12.139,0.5488,NA,0.986082214695728,58.6103957565266,0.54647209951191
"NCO2",0.496306527419458,7.5534,0.2647,0.297141915730082,1.15883841234861,6.47753268894791,0.26361286117719
"OVTOKO",0.227170761482521,11.592,0.4385,NA,0.89305916270087,52.9552576447541,0.435651789247349
"P31/FUJ",0.486653112137586,7.6999,0.4207,0.417931582035138,1.05216798165301,0,0.417931582035138
"Peer",0.45614004968963,8.1575,0.4806,0.509155497731554,1.18066237607086,3.78548316199613,0.476311176375508
"RPMI-8402",0.47451551033269,7.8813,0.3256,0.391686864906501,0.800099846508749,7.11703526772693,0.323290474229631
"SHP-77",0.306913901587092,10.394,2.167,3.23684563257399,0.612418599436116,10.9706414575547,2.16003171271851
"SNU-1077",0.318332534562788,10.225,1.237,2.15061403400652,0.787395352514146,17.7582800806069,1.23185551694491
"SNU-620",0.481657566406956,7.7735,0.3552,0.375905585060682,1.41396619152282,4.17687724316609,0.353415118102332
"SU-DHL-1",0.30299206033934,10.456,1.3,2.42998459436943,0.841282590979904,20.6226074337775,1.29143982974841
"COLO 205",0.14883285959803,12.774,1.648,NA,2.58000769570637,58.0738912322716,1.64261482913474
"DoHH2",0.375462639723695,9.3686,1.084,1.18087465608103,1.18480616794426,5.25305623121459,1.07526732669722
"EHEB",0.325164691614842,10.127,0.2033,1.1069128880501,1.04173458016683,41.462981964385,0.202863649956927
"Ki-JK",0.375114546205565,9.3707,0.3837,0.478444095928034,3.01174321702884,24.1593006692086,0.384280667223222
"LCLC-103H",0,15.876,9.797e-08,NA,1.23428849437935,100,71.2288682424236
"MKN45",0,15.661,5.788e-10,NA,1.07300349007797,100,2.68437249517227
"NCI-H2405",0.25274338592725,11.213,0.6331,1.77081273934085,1.96893180220101,43.5758157287429,0.624547955273123
"NCI-H650",0.160324085406985,12.581,1.419,NA,1.86008155716388,56.1192227405969,1.47517616351238
"OS-RC-2",0.101612988529648,13.474,0.8496,NA,0.950137778377734,75.8092390481967,0.8458852726082
"OVSAHO",0.301305566595529,10.48,0.1957,5.07489861631088,0.772981454338087,45.9777781952745,0.194749436064549
"QGP-1",0.258214138542126,11.109,0.139,NA,4,55.7547458307995,0.152247823341948
"RL95-2",0.318866719932525,10.219,0.631,2.1020048047567,0.72272338309938,29.1131420840673,0.628194748340024
"SNU-1041",0.192445919210256,12.112,0.2704,NA,1.34960883451412,63.5858129033029,0.269967151644183
"SW1353",0.335815481495505,9.9609,0.1966,0.974312846170426,0.996445719912864,39.872201317823,0.196232058473696
"SNU-213",0.217014072116138,11.745,0.5807,NA,3.54675748550801,52.3450473082369,0.577929823249737
"8505C",0.294884423841281,10.578,0.4585,2.36242771429653,0.894514419372468,39.1985452500928,0.425983870993357
"Calu-3",0.324786652178422,10.13,1.391,2.33164091871665,0.664738302575592,14.2717585239179,1.40633569250831
"Daoy",0.202651207093545,11.956,0.8823,NA,0.902528375946939,52.9586857419857,0.75716626657785
"GB-1",0.208802816914221,11.867,5.756,30.802266953662,0.468574996684477,27.4019324566007,5.65618990643762
"HCC1171",0.198304469647787,12.027,0.307,NA,0.751900702976425,61.5614769860949,0.305843275955222
"HCC44",0.470775754806321,7.939,0.2122,0.341608319216338,0.702660624530963,14.2970725224983,0.211528043891107
"NCI-H211",0.527454082361731,7.0852,0.2288,0.239497789172868,1.34879939066645,3.14914213481351,0.228220753268639
"RERF-LC-A1",0.289749255050261,10.65,2.206,4.988792506315,0.525055717420244,18.3162901592583,2.09236495873229
"SBC-5",0.0372084328610071,14.476,44.93,47.5733241695274,4,0,47.5733241695274
"SF126",0.130927461010672,13.035,60.42,60.6544983247774,0.521841642334949,0,60.6544983247774
"SNU-119",0.223274344624986,11.647,12.62,12.6454389278155,0.514275081277391,0,12.6454389278155
"SNU-81",0.445425292423604,8.308,0.1935,0.251613357914721,1.68691730512543,21.4793016000402,0.18038643571398
"SNU-182",0.403175596247429,8.949,8.176,1.41163811337983,0.373395902420029,0,1.41163811337983
"TCCSUP",0.185250669168689,12.228,18.33,18.3711580208917,0.588238152372832,0,18.3711580208917
"CAMA-1",0.23533335367537,11.469,0.3686,NA,0.992209810593962,52.8597304958887,0.366315211781831
"Detroit 562",0.392748254373107,9.1063,0.4786,0.660544315220812,1.27515950955446,17.2165101717071,0.474398834672805
"HEC-1-B",0.487083211372596,7.6922,0.1883,0.288797980816622,0.700523375647406,13.0592753455398,0.187468327219092
"Hep 3B2.1-7",0.202977898106032,11.961,0.6008,NA,2.80081858886708,55.1599872565788,0.594486956377424
"HSC-3",0.256563199002135,11.15,0.3599,2.75415754873322,1.82917524581265,48.7944071546256,0.359387708249417
"MCF-7",0.328641507176295,10.07,0.3652,0.870076225228391,1.3235850399173,34.2879249899762,0.362850679151081
"SNU-1105",0.25734040945588,11.138,0.4008,79.9327101935244,0.582381953763405,47.7239662132183,0.396965945172215
"U-87MG ATCC",0.192254616302724,12.116,0.2188,NA,1.1350210286066,64.9606569542816,0.218295637254749
"22Rv1",0.274359272807494,10.883,0.3384,5.41091353108893,0.90247466417694,45.9301175201781,0.335860121051392
"769-P",0.296193153829362,10.558,0.5943,1.60826227519808,1.17970500577889,34.7722533929641,0.587051176590146
"COLO 699",0.20642424118467,11.906,0.6392,NA,0.758466087359201,53.9667371409853,0.635033478335312
"DOV13",0.0217236251742919,14.772,0.6644,NA,4,86.0376235796834,13.0824762553431
"ES-2",0.048999346952103,14.185,1.323,NA,1.6401357972959,79.150210521384,5.78743184530969
"HCC1806",0.263358038218033,11.054,1.339,2.67134272171448,1.30712634714386,29.8980294133589,1.33039460336633
"HCC1954",0.226342933998833,11.604,0.7405,13480.3747431223,0.419439856258817,49.1824368529109,0.742287912178513
"HPAF-II",0.079514739576769,13.808,1.433,NA,1.89201199567717,78.4173181191139,1.4288890674835
"KHM-1B",0.456612428868157,8.1487,0.2878,0.363841648278715,1.2247487002776,12.6332508636807,0.286839144181457
"OVISE",0.0539128124836909,14.192,2.034,NA,1.01760718001918,83.9767002094586,2.04703956708673
"JVM-3",0.387729318700093,9.1948,0.2674,0.42060907833786,1.69216685940682,26.7680493104813,0.267397840795993
"SNU-C2A",0.328114767472701,10.088,0.3927,1.01242816879271,1.1604245202342,33.4804301990857,0.389839192681536
"U2OS",0.301574413958729,10.474,1.387,26.6493094885871,0.278022159866523,27.4824974633207,1.51203918617847
"5637",0.461747044781698,8.0766,0.5301,0.542896240512524,0.68000318964866,0.940608488219436,0.527943812507303
"CAL-12T",0.187536542998156,12.184,3.989,57.8651757442168,0.543707761675789,38.6398400428926,3.7907025171544
"HCC1588",0.283020051544664,10.752,2.459,5.47256274948772,0.527631641581899,17.8773877972197,2.36591364384765
"HCC1833",0.310607300098845,10.34,5.966,5.97894784262859,0.358295612994525,0,5.97894784262859
"HCC2279",0.297671537784581,10.534,0.7726,4.61343998742445,0.559459206665081,31.6200531853679,0.771182622551491
"KE-97",0.395202443547732,9.0708,0.2972,0.407931865793369,2.05395673537442,23.8935948797503,0.297291926775803
"KP-3",0.277313945165818,10.838,14.57,12.91147093412,0.324373824232353,0,12.91147093412
"Ku812",0.547875497586621,6.7807,0.1543,0.174287886906591,0.983658881636723,5.78439631836989,0.153810413308554
"KYSE-140",0.269730743403462,10.953,0.6472,18.1491907011017,0.495280610534067,40.4287177033078,0.644427802840006
"NALM-6",0.610040623978106,5.8479,0.08422,0.090501458727125,1.33080715168797,4.72071177764085,0.0840023529931572
"NUGC-4",0.527368094019145,7.0883,0.1057,0.15254825614416,0.920223243535544,14.4913893889322,0.105168388430875
"TT",0.314547254914665,10.281,4.31,4.59133349903484,0.410132607940588,1.20048038733878,4.32717623764025
"AGS",0.246772157733807,11.297,3.116,6.25948082692455,0.715106990754939,19.4549191399315,3.14226078139668
"HCT 116",0.0209125371792438,15.031,0.3681,NA,4,83.6368533393295,17.4823176161471
"HEC-108",0.011876781506709,14.821,203.5,198.137595409254,1.46865075890145,0,198.137595409254
"HEC-59",0.23464518536552,11.481,0.4473,NA,1.28413943367291,51.2047119970945,0.443522180804506
"HMC-1-8",0.332747012837767,10.012,0.7042,1.10645417637986,1.40117735908214,24.0293185412427,0.69326523411695
"SUIT-2.1",0.206333390718608,11.906,0.5637,NA,1.48183270185683,55.0356239487028,0.557516726773268
"HT-29",0.128058780431958,13.078,1.491,NA,1.10496744323305,64.8544703367137,1.50968842427904
"Ishikawa (Heraklio) 02 ER-",0.0853417330241701,13.718,5.728,NA,0.889691532707755,65.2231586950642,5.79963004805834
"JHOC-5",0.257825901185708,11.136,0.7477,2.05240205844413,1.60356448938507,40.3398447393613,0.736229447690536
"KYSE-180",0.13697559520658,12.951,34.8,34.9718504289584,0.642815909752739,0,34.9718504289584
"LS180",0.302861320926578,10.455,0.351,0.748720028059759,2.09811211970484,39.8595846913871,0.349996241808263
"Mel Ho",0.259353810883249,11.108,0.344,2.77008685955424,1.74688005629081,48.7000094149216,0.342881797165807
"MHH-ES-1",0.378454019320804,9.3239,0.5565,1.04365239362163,0.704060225739574,18.0185382143136,0.553234728540162
"MOR/CPR",0.170583641660133,12.439,10.37,34.7273246304261,0.567897306736419,24.6287734241528,10.5163567023341
"NCI-H460",0,15.416,2.63,NA,0.844406314508243,100,0.00487396149266168
"HCC2108",0.193447204767815,12.099,0.4937,NA,2.32860374791865,58.917469099506,0.491917234832775
"HCC827",0.0879395968240709,13.675,2.515,NA,2.25325572361831,71.9194274054933,2.53869876907153
"HEC-251",0.390556913902403,9.1405,0.2835,0.600840591520351,0.941117768059676,25.4651658211536,0.281986110312529
"HEC-265",0.205575472925898,11.916,0.8005,NA,0.879033074487586,51.788864544504,0.794904771566015
"HEC-6",0.291087430302807,10.635,1.063,2.56191293513399,0.885754515075096,27.1538243235805,1.05811813200384
"HEL",0.510911809024925,7.3312,0.2678,0.277236492820338,2.14843558610447,3.45433951078271,0.26815075609037
"JHUEM-2",0.352803814602703,9.7073,0.4156,0.979755036780767,0.932456080605012,27.7438778301535,0.411276653899097
"Jurkat",0.414600253475369,8.7794,0.2933,0.537174639788368,0.858332989794238,20.3232742433209,0.292529024873758
"JVM-2",0.232000060624339,11.514,0.1966,NA,2.47611523934523,58.6814692937231,0.191617174190465
"KCL-22",0.380898284683815,9.2842,0.3221,0.515624286082729,1.51147756469859,25.6006633110048,0.320761901570247
"KE-39",0.328381267701756,10.074,0.3673,1.19203802819708,0.976819921806045,34.2741256853625,0.364765658939242
