"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0337323915071123,14.505,53.25,51.1158804984399,4,23.9370220523073,43.4329526223545
"KPL-1",0.0298895046723117,14.535,62.26,65.6426849033909,4,43.699846998919,39.1094410623432
"MKN1",0.0751592118437188,13.717,48.31,32.7180504610732,2.28477154062424,0,32.7180504610732
"253J-BV",0.0634669505965859,14.078,57.89,39.040369077015,2.10984439647026,0,39.040369077015
"BFTC-905",0.095810411204849,13.57,190.7,193.181113112155,0.469434075736868,0,193.181113112155
"BFTC-909",0.0931972155352181,13.592,20.95,31.5017525873102,1.50328007217395,23.2189184217366,20.7954281259461
"CAL-120",0.0311392303034159,14.285,0.3917,124.149915309167,1.19138309906113,0,124.149915309167
"CAL-29",0.0589204762387689,14.123,49.49,48.9560990302427,1.55242021448526,0,48.9560990302427
"CAL-62",0.106053419246705,13.46,6.804,NA,4,51.9625804652944,6.63729855564516
"HuCC-T1",0.0703570234775751,13.946,59.18,59.0593543840631,1.02704001670935,0,59.0593543840631
"NMC-G1",0.0497557996642121,14.359,4.085,NA,4,81.3752487745294,4.09666040148704
"RPMI-7951",0.151047670570443,12.717,10.98,14.7255305982265,1.32325353214806,10.5677873888542,12.3067303002243
"253J",0.158926970768926,12.518,63.97,14.9865476496842,1.07750450732181,0,14.9865476496842
"ALL-SIL",0.110588519588064,13.318,18.86,20.774291756165,2.40520768179672,7.73668550400329,19.3719230457745
"HDQ-P1",0.0297463160454565,14.548,16.14,NA,2.90659731571568,77.33283597801,16.9600274812385
"SiMa",0.0988718862619937,13.464,27.4,24.582440689202,2.328125,0,24.582440689202
"SNU-489",0.0182022954549621,13.439,14.24,17.3000742671939,4,0,17.3000742671939
"SNU-626",0.0747653505556087,13.826,8.715,NA,4,60.3374212456888,9.28604461480433
"SNU-738",0.110636441258266,13.321,14.32,17.1571713487069,3.9751531713322,23.7822720212729,14.5852483184918
"SNU-878",0.208863109382448,11.851,7.798,7.78235704648622,1.39662444927765,0,7.78235704648622
"TUHR4TKB",0.0613858549869718,14.106,29.83,34.0914852045399,4,20.2150708038524,29.9503956397828
"ACC-MESO-1",0.0639630996106489,14.047,62.4,62.487913195802,1.08685678297395,0,62.487913195802
"B-CPAP",0.0825084594286802,13.75,30.59,30.6836894863861,2.04697442682802,0,30.6836894863861
"CGTH-W-1",0.074736942981159,13.857,55.57,35.6430864131431,1.78231579822045,0,35.6430864131431
"COLO 680N",0.0821101357521331,13.764,23.34,59.7741151453792,1.12632203718838,32.1244769733764,23.9829480607581
"ECC12",0.0530044142829049,14.209,53.04,52.8300712828446,1.61098898345314,0,52.8300712828446
"HCC95",0.0588539161142842,14.103,23.66,40.477116324869,3.16930205821037,40.7483888087568,23.7687537335002
"JMSU-1",0.136351188251035,12.932,20.2,17.9337714478945,1.35896429726319,0,17.9337714478945
"Rh41",0.159002731726942,12.526,24.54,13.5283632326805,1.42705339149528,0,13.5283632326805
"WSU-DLCL2",0.167458803859199,12.477,10.98,11.4254865446922,2.14022700230977,2.62655391051543,11.1410190728795
"23132/87",0.0916141528788538,13.615,34.76,26.9761350461219,2.21257890620046,0,26.9761350461219
"8305C",0.104412234565214,13.432,31.57,27.6510870978817,1.29635427986149,0,27.6510870978817
"BHY",0.0907756091887711,13.624,12.61,79.528574404596,1.26994725025403,44.9683394443932,13.0390975473061
"GSU",0.0529911073191557,14.171,33.59,38.8793751825445,4,5.82304037583835,37.6943042494441
"JIMT-1",0.0188440930055337,14.77,60.2,63.1815765973674,4,0,63.1815765973674
"KMRC-20",0.0764262780300166,13.843,36.22,36.2396564271685,1.63146129342092,0,36.2396564271685
"OUMS-23",0.0581706579705103,14.216,31.91,35.6023093386573,4,20.5352201846815,31.1933105019306
"SNU-1076",0.0680831898632126,13.972,40.62,40.5079941715657,1.66641365299018,0,40.5079941715657
"SNU-1196",0.0340847266921892,14.492,51.04,75.0244005991163,2.02846612689119,27.0717573936269,51.0832774246132
"SNU-8",0.0486637334781932,14.264,64.62,43.5290524057161,2.90220412741295,0,43.5290524057161
"A-375",0.0586580748379512,14.128,37.31,36.6763288033874,4,0,36.6763288033874
"A-549",0.0372043717072117,14.443,63.9,63.3892052242618,1.89116569109727,0,63.3892052242618
"NCI-H2009",0.121377987511002,13.172,31.42,31.4864837677072,0.827740427790297,0,31.4864837677072
"SNU-201",0.0489211538680921,14.271,49.67,49.3470099770514,2.02371108450514,0,49.3470099770514
"SUIT-2",0.00745546156855457,15,386.6,84.982304462036,4,0,84.982304462036
"SNU-1079",0.12174564549284,13.153,17.88,18.5158271673129,3.02612680039275,1.79810469328313,18.2930841000648
"DEL",0.108388388844477,13.345,20.48,21.4283768719169,4,0,21.4283768719169
"HARA [Human squamous cell lung carcinoma]",0.0587590453661089,14.094,64.5,47.5020867536,1.63047969682035,0,47.5020867536
"HCC15",0.102897488284823,13.415,65.14,26.8868942769622,1.4236473134184,0,26.8868942769622
"KP-4",0.0902628835956283,13.631,25.56,27.0252029981751,2.25597918484813,5.80865845765548,25.5855839227378
"Lu-99A",0.0522249498940937,14.226,34.49,38.7454666938153,4,17.8684323602524,34.6905650591644
"NCI-H1155",0.119128282001439,13.11,29.59,20.2089183205723,1.86548836086667,0,20.2089183205723
"NCI-H1581",0.166322200940074,12.412,21.45,12.8829063122253,1.25384485472258,0,12.8829063122253
"NCI-H2106",0.0702628275228698,13.929,42.15,33.612518630761,2.68645908312785,0,33.612518630761
"NCI-H358",0.115600707038987,13.246,33,25.9656740337867,1.1183097955828,0,25.9656740337867
"DLD-1",0.0574446984701167,14.123,48,39.3180940862329,2.73039588358096,0,39.3180940862329
"EM-2",0.174351638064608,12.302,13.51,11.1129206290182,1.63367126206541,0,11.1129206290182
"JURL-MK1",0.117465305949216,13.202,34.87,21.7485322376143,1.51810726533057,0,21.7485322376143
"P12-Ichikawa",0.116398387640381,13.144,39.72,21.0881566710072,1.77273349304128,0,21.0881566710072
"KE-37",0.0776638969107546,13.811,33.38,30.1127982858186,3.24173428240605,0,30.1127982858186
