"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"KPL-1",0.0863139109093374,13.756,26.41,26.8613273270353,4,1.83895236143974,26.6108624051129
"MKN1",0.0389411326581051,13.54,24.02,24.060356837998,4,0,24.060356837998
"253J-BV",0.0967150177057328,13.244,0.09002,NA,0.502538572663083,64.3972943688968,6.48219833701975
"BFTC-909",0.0277143026090985,17.281,5.96,NA,4,62.8757507543889,16.2111005224036
"CAL-120",0,17.585,3.395e-42,NA,4,100,1e+06
"CAL-29",0.214347073767783,11.262,7.347,7.3783769451257,0.583433125507421,0,7.3783769451257
"CAL-62",0.0113145887724148,15.607,0.3327,NA,4,61.1052317384715,27.4274000524443
"HuCC-T1",0.179310274563184,11.857,15.2,15.4053694973699,0.516452737567595,0,15.4053694973699
"NMC-G1",0,15.878,0.3634,NA,4,100,1e+06
"RPMI-7951",0.0710641575545564,12.955,19.03,17.2839222438656,3.03312840409065,0,17.2839222438656
"HDQ-P1",0.222722405788454,11.66,0.2746,NA,0.874035671727166,57.8786612807149,0.267608089185273
"ACC-MESO-1",0.0305150413663514,13.971,1.249e+117,NA,4,87.0597245261446,5.67569339142514
"B-CPAP",0.0570780391828022,13.259,19.97,20.337610848524,2.99725865121822,0,20.337610848524
"CGTH-W-1",0.0582317227102486,13.738,9.968,NA,2.07520163085336,53.8100143287222,10.0924508588415
"COLO 680N",0.13922426035237,12.911,1.679,NA,0.527489090738474,62.6317837307057,1.67273519444793
"ECC12",0.0256793868358062,14.268,29.05,86.842055917425,1.64571678459033,39.5262191540519,33.5911617196022
"HCC95",0.248347163089139,10.614,3.391,3.38697829705272,0.895702413595294,0,3.38697829705272
"JMSU-1",0.0458039786366288,13.765,16.68,28.0862214270077,2.7134780019897,36.2929587945978,17.4328889623343
"Rh41",0.141007850472416,12.024,8.376,8.39754272945188,3.18910006705029,0.42332298743963,8.37518374365355
"SNU-175",0.544766387439204,6.8293,0.1439,0.143103622695983,0.21175649318933,0,0.143103622695983
"WSU-DLCL2",0.139061416587682,12.922,1.319,9.55248728213025,4,35.454615367011,7.01544573355629
"23132/87",0.0445177577122775,13.991,10.55,NA,3.39190974924703,61.7451472649273,10.7280332920323
"8305C",0.0958129724515409,12.793,11.8,13.3068369771706,2.43077918704411,10.4314139182029,12.0856365145996
"BHY",0.28509669111206,10.203,3.209,3.20911280644086,0.533973033877312,0,3.20911280644086
"GSU",0.0457028478361575,13.574,17.62,22.1232968702881,4,15.3172591267772,20.1899711716452
"JIMT-1",0.0560210051502757,13.279,27.73,21.9756528371915,2.35968604302151,0,21.9756528371915
"KMRC-20",0.0619346165448297,13.251,19.78,20.2730931430602,2.38387932039616,0,20.2730931430602
"OUMS-23",0.084906953236507,12.772,13.15,14.4918230658904,4,2.14882243728536,14.3335471488691
"SNU-1076",0.378638847084703,8.7113,1.226,0.919935074246923,0.689243573650907,0,0.919935074246923
"SNU-1196",0.127363852556271,13.089,25740,25963.2898653824,0.18191365654288,0,25963.2898653824
"SNU-8",0.0517205127150419,13.275,19.97,20.7022948365228,4,0,20.7022948365228
"A-375",0.0931333333333337,13.598,0,NA,0,81.3733333333332,0.0942005652356376
"A-549",0.0693182333549794,13.571,7.635,NA,2.53334681626324,54.3682832494878,7.62039431013856
"NCI-H2009",0.155724533461691,12.663,0.4581,NA,0.325957063771063,67.4186654794015,0.5066745696139
"SNU-201",0.108565951375191,13.374,2.396e+13,NA,0.0767553112553345,55.7151691929747,1e+06
"SUIT-2",0.106393753898225,13.741,5.787e-09,NA,1.71639511144626,89.3606233242533,1e-06
"SNU-1079",0.444698237297244,8.3255,0.485,0.583625085069113,0.690281774507647,6.32165446607656,0.479833618327368
"DEL",0.0492027512072306,13.319,20.59,21.2999613761786,4,0,21.2999613761786
"HARA [Human squamous cell lung carcinoma]",0.0737864076318922,13.034,17.26,17.6072657162945,2.34103496284288,0,17.6072657162945
"HCC15",0.0422760409998167,14.369,8.316,NA,4,78.1557071535151,8.81240157776679
"KP-4",0.0210598589147817,14.346,57.53,NA,3.35892766177882,73.1591798645978,15.7765188891239
"Lu-99A",0.0372509237269005,14.442,6.445,NA,3.70525842043161,66.965132720875,11.0913604340898
"NCI-H1155",NA,NA,NA,NA,NA,NA,NA
"NCI-H1581",0.0518497013249913,13.478,21.01,23.4283845957385,2.34695640584115,3.52536827486999,22.709755628804
"NCI-H2106",NA,NA,NA,NA,NA,NA,NA
"NCI-H358",0.299298900161848,9.8401,3.752,2.20305999857994,0.685715769253092,0,2.20305999857994
"DLD-1",0,16.246,0.3064,NA,1,100,0.26
"EM-2",0.104291913858782,12.614,12.9,13.0004602709053,1.91339211835093,0,13.0004602709053
"JURL-MK1",0.0689227633029518,12.784,21.24,17.2015193254169,4,0,17.2015193254169
"P12-Ichikawa",0.125646884237483,12.38,8.249,9.37282538365466,2.3193215777863,13.5893949225408,8.17488328992068
"KE-37",0.144801013176638,12.873,8.243,9.97788923783994,4,28.1218109997492,8.11519612194061
"KMS-21-BM",0.307923402329592,10.17,4.816,2.89682699012184,0.848944962042551,0,2.89682699012184
"MOLM-13",0.149616312247932,12.038,9.294,9.37778345679591,1.12087842320879,0,9.37778345679591
"NCI-H28",0.0424216134912911,14.018,11,NA,3.79590297411069,61.9604263400995,11.2220593524701
"639V",0.00441709516692345,15.22,0,319.028441647699,1.62345836347871,0,319.028441647699
"BxPC-3",0.161275701656836,11.99,10.2,10.2321462199389,0.818812831142857,0,10.2321462199389
"CML-T1",0.16233729474439,11.75,6.56,6.65409942413384,4,2.28692650545139,6.57667124547542
"GSS",0.181919702224864,12.264,6.176,7.6837628767576,2.39368520314445,19.966851409771,6.21002689467204
"HCC366",0.151980698329146,12.721,34.29,128.986520323053,0.399796972187658,18.4359882407972,40.8174787944083
"Kuramochi",0.0647567960840463,13.642,641.8,NA,4,71.880393365207,6.01146549410216
"LS411N",0,15.054,0,NA,0,100,49.5823281499433
"LS513",0.114154442451099,12.585,8.431,9.5310570735768,3.84138034489382,18.9014121952263,8.42276748990206
"ONCO-DG-1",0.144792998071187,12.32,17.43,17.615884445783,0.651122778425895,0,17.615884445783
"ONS-76",0.0139508482379915,14.795,7.827,NA,4,93.2144570751966,7.77272918661798
"SK-CO-1",0.0943893858812106,13.815,7.281,NA,4,54.2675983319032,7.70842225638834
"SW48",0.373762962261121,8.9954,1.577,1.59633854428794,0.34375,8.67361737988404e-16,1.59633854428794
"VM-CUB-1",0.199320221899212,12.011,2.036,31.7270068905149,0.680426550381116,42.2442003116336,2.05099366016529
"BEN",0,16.413,0.2855,NA,4,100,1e+06
"CFPAC-1",0.0284354053367154,14.226,20.57,NA,1.98106768059985,54.3639058328254,21.5979591826758
"HCC78",0.0283101803322901,14.606,8.326,NA,4,86.4548845159477,7.50175691365224
"HT",0.110636925995534,12.666,14.33,14.2370955860811,1.26697070915009,0,14.2370955860811
"KU-19-19",0,15.483,0.2973,NA,0.21040124724902,100,11.6987180595002
"NCI-H1299",0,15.423,0.3865,NA,0.733637774461285,100,0.058754853164272
"NCI-H727",0.0745309164183804,13.401,37.4,37.5141809350591,0.881566566116941,0,37.5141809350591
"OVTOKO",0.176300428189046,12.355,7.003,NA,0.222062322925863,50.1026692862419,7.3630676843928
"P31/FUJ",0.129686837492181,12.533,19.36,19.5584474842878,0.710371353595777,0,19.5584474842878
"Peer",0.240492839142035,11.386,4.679,5.01382384794397,1.80963991652335,5.41648713964011,4.70600246348964
