"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0334357123652925,14.564,0.4376,NA,4,76.1631353166423,7.67403766847197
"KPL-1",0.0104881936468752,16.159,11.49,NA,4,83.4625434145501,17.3775842934131
"MKN1",0.0218384300893476,14.914,4.921,NA,3.66439394610472,66.2264498378571,17.253109827464
"253J-BV",0.0210425840856283,14.742,3.244,87.2779021733478,1.21845703349583,0,87.2779021733478
"BFTC-909",0,15.799,0.05101,NA,0,100,1e+06
"CAL-120",1.68632011166867e-18,16.935,6.548e-09,NA,4,99.9790549278454,43372.145085238
"CAL-29",0,15.42,2.637,NA,0,100,1e+06
"CAL-62",0.0296627165322166,14.547,15.43,NA,3.4252088415437,58.9684333626657,15.9180408618685
"HuCC-T1",0.0121169743782512,14.9,11.29,NA,4,77.1804947131773,19.5525184551931
"NMC-G1",0.006536779190718,15.622,0.0008957,44.131867281775,4,0,44.131867281775
"253J",0.0385581816629868,14.414,72.09,71.4830735876809,0.966599779967784,0,71.4830735876809
"HDQ-P1",0.0636496688314599,13.886,0.2392,NA,0.816369965183909,53.0851576846666,12.7968235200753
"SNU-489",0.0125753790609472,14.797,25.6,40.3271252123667,3.22124000724513,0,40.3271252123667
"SNU-626",0,14.821,16.52,NA,0,100,1e+06
"SNU-738",0.00599739338402604,15.57,1.189e-10,45.2245388138884,4,0,45.2245388138884
"SNU-878",0.109475447418899,13.419,4.494,17.3410641204247,1.44455991206408,42.1934535402763,4.79475661606669
"TUHR4TKB",0.056499780226281,14.389,1.78e+14,NA,4,92.8365947291877,0.00900780902566939
"ACC-MESO-1",0.017707958481808,16.048,1.134,NA,4,79.5523787536565,13.4958123425121
"B-CPAP",0.0205545844905743,14.56,8.791,NA,4,66.4089320477172,17.8189333091345
"CGTH-W-1",0.0117884834440636,14.826,56.8,NA,3.24827408789082,66.1566451450213,25.7261327192129
"COLO 680N",0.0236255667030262,14.676,15.41,NA,4,68.617505742167,15.2470822392299
"ECC12",0.0042029999226855,14.932,16.65,NA,4,69.7725436249988,35.0737341152704
"HCC95",0.0359556202774274,14.457,12.64,NA,1.85070975922659,63.2477651721658,13.0361747568472
"JMSU-1",0.0685344623997384,13.964,13.06,19.2030036928937,2.08035374728302,25.9551752275033,13.5062677864641
"Rh41",0.514778650754225,7.2751,0.1191,0.127005047413078,1.58561052017141,4.74487613933058,0.119264576643103
"WSU-DLCL2",0.0348573948473518,14.504,16.51,32.9044486437759,4,46.3760490321412,17.0729156712399
"23132/87",0.0194042177860596,14.691,18.01,NA,4,59.7220849610252,20.7269419633658
"8305C",0.0245687644622977,14.621,21.04,160.891216689583,2.79712028216501,49.8114963106816,21.8802281875026
"BHY",0.112139536930578,13.314,62.42,62.8048453664883,0.469568460585717,0,62.8048453664883
"GSU",0.0127210419538646,15.389,0.00279,NA,4,80.2444745811937,17.1897445096108
"JIMT-1",0.0284819647922485,14.571,652.8,650.938343165677,0.567922741396415,0,650.938343165677
"KMRC-20",0.0263545918430568,14.594,98.84,93.844790266428,1.05013313342001,0,93.844790266428
"OUMS-23",0.0323872592382208,14.557,16.21,NA,4,53.2879236771191,16.2729194655989
"SNU-1076",0.0290329165901282,14.555,104.4,100.439265053909,0.969036711541607,0,100.439265053909
"SNU-1196",0.148866391944786,12.767,11.4,34.4448238842618,0.504435090738933,22.0102838684181,10.9046495291514
"SNU-8",0.098785846203778,13.518,0.06225,NA,1.2869901817022,83.615408435412,0.0620383584470341
"A-375",0.00960497748578837,16.185,0.0002335,NA,4,68.6140887895132,26.0540199217584
"A-549",0,16.121,4.622e-07,NA,4,100,1e+06
"NCI-H2009",0.161661398776805,12.603,0.7496,NA,1.30777696001544,56.3030703610054,0.706235258449445
"SNU-201",0.00928740237581297,16.859,0,NA,4,74.9133400146912,23.8456176815441
"SUIT-2",0,17.824,24.67,NA,1,100,33
"SNU-1079",0.0674618775575253,13.973,63.2,61.7133134150956,0.706467879049087,0,61.7133134150956
"COLO 741",0.0908936180469859,13.239,0.2387,31.6755153065854,1.08978166872204,37.5957069868644,8.81457581619024
"DEL",0.00446662122706626,14.895,0.3207,NA,3.39983887943736,88.6834449154444,23.7957996006569
