"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.115024225916046,13.156,8.938,9.99273613627803,4,0,9.99273613627803
"MKN1",0.0413339493174925,14.467,26.16,22.5509169443827,4,0,22.5509169443827
"BFTC-909",0.134271807285758,12.992,11.91,11.9508454831693,0.890624213949088,0,11.9508454831693
"CAL-29",0.20136892563007,11.967,5.896,5.16551885054648,0.819084806038516,0,5.16551885054648
"NMC-G1",0,14.624,28.14,NA,0,100,1e+06
"253J",0.186820455192546,12.216,7.96,5.66549541314372,0.947899902089384,0,5.66549541314372
"SNU-489",0.0479058900482299,14.252,19.74,20.7943807869316,4,0,20.7943807869316
"SNU-626",0.03760820480079,14.562,27.58,23.6616273559796,4,0,23.6616273559796
"SNU-738",0,15.961,1.317e-86,NA,4,100,427034.351245611
"SNU-878",0.0239109853351304,14.762,29.4,28.879014116428,4,0,28.879014116428
"TUHR4TKB",0.0453104724300151,14.325,21.07,21.4606919235992,4,0,21.4606919235992
"ACC-MESO-1",0.0807949126687719,13.793,35.77,36.3825372202394,0.779842289158203,0,36.3825372202394
"B-CPAP",0.0605725192474632,14.069,17.58,17.9438403407122,4,0,17.9438403407122
"CGTH-W-1",0.0561964768999139,14.137,18.5,18.8625895685643,4,0,18.8625895685643
"COLO 680N",0.040933344450618,14.369,25.55,25.6603775115479,2.46770930336341,0,25.6603775115479
"ECC12",0.014695118005447,14.754,23.4,39.1947526328867,3.44133777039346,20.544616877722,33.6085690831417
"HCC95",0.0959093366374376,13.55,13.7,13.7934867337604,1.66919216989553,0,13.7934867337604
"JMSU-1",0.102485609155204,13.45,12.91,13.0227376481518,1.55273902764573,0,13.0227376481518
"Rh41",0.465115604553875,8.0119,0.2647,0.261707529615752,1.12507972702043,0,0.261707529615752
"SNU-175",0.032012575405113,16.419,2.423e-05,47.5679945908408,1.47693375920652,0,47.5679945908408
"WSU-DLCL2",0.428694649155221,8.568,0.3453,0.352065716687603,2.06594651766481,2.24591833454688,0.344320233602297
"23132/87",0.288599817023316,10.663,1.106,2.10677193398141,0.599756464998197,17.0347027436686,1.05189746657061
"8305C",0.157352701392607,12.455,24.78,7.0124645040334,1.3395193699336,0,7.0124645040334
"BHY",0.108273876636711,13.38,12.07,12.0859631645342,1.55706963547573,0,12.0859631645342
"GSU",0.0364165133325956,14.609,24.98,24.0379991345876,4,0,24.0379991345876
"JIMT-1",0.0464375845806299,14.317,31.39,21.1672571564923,4,0,21.1672571564923
"KMRC-20",0.0542236965979414,14.144,19.1,19.5338706973504,3.57907638023857,0,19.5338706973504
"OUMS-23",0.097778988438878,13.529,11.64,11.9831158412294,4,0,11.9831158412294
"SNU-1076",0.149286780929191,12.763,11.37,11.4397079064222,0.751883089645071,0,11.4397079064222
