"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0429209818067324,13.23,25.55,NA,4,62.6353719428118,6.03652040270626
"KPL-1",0.0725375000000004,14.415,2.731e-09,NA,0,85.4924999999999,0.0292815386465415
"MKN1",0.151586094279224,12.727,6.596e+45,NA,0.0242837979057574,72.5701969719382,5.97190553590834e-05
"253J-BV",0.0851611693878909,13.418,193.4,NA,1.42263687239599,62.0954146019787,6.53933207189485
"BFTC-905",NA,NA,NA,NA,NA,NA,NA
"BFTC-909",0.0140842908351366,14.858,390.2,NA,4,91.4127608139243,11.9828863871924
"CADO-ES1",0.0677292324167594,13.966,12.21,NA,2.37320190654959,56.5015821661385,13.1809389018615
"CAL-120",0,15.754,0.3578,NA,0.734843777631226,100,1.71345051976605
"CAL-29",0.0749187500000003,13.882,1.614e-183,NA,0,85.0162499999999,0.00502590139124636
"CAL-62",0.258629448879154,11.12,0.6953,19.4760286494877,0.542890398974959,41.7879488238457,0.698913673670318
"HuCC-T1",0,15,164.9,NA,3.53303948605069,100,1e+06
"NMC-G1",0,15.419,0.3609,NA,0.719635510280203,100,0.0627331568775006
"RPMI-7951",0.0305326527132133,14.543,4.343,NA,2.60503775170242,88.4170956924899,4.25197515015431
"253J",0.0681242796782163,13.974,111.2,110.128972723884,0.736426797257859,0,110.128972723884
"ALL-SIL",0.238771788168443,11.409,7.708,7.19272301666322,0.702540523259148,0,7.19272301666322
"HDQ-P1",0.0184178101028003,14.733,58.82,86.1267957983617,2.27356058379417,0,86.1267957983617
"SNU-245",0.200212476641848,12.001,1.567,9.2537706866771,1.28211538427271,45.2322107304702,1.47995746479049
"SNU-489",0.073920188865714,14.042,4.052,NA,0.735535435336785,66.9680467156264,8.40008584401753
"SNU-626",0.0773244959609412,13.837,14.94,133.744946671262,1.7752818327255,49.0808272764959,14.0813752987989
"SNU-738",0.0092687849029809,15.844,33.64,79.6815071680011,4,0,79.6815071680011
