"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.17001611783631,12.285,9.287,11.25681622767,4,0,11.25681622767
"KPL-1",0.156311903685215,12.635,12.8,12.987607654214,3.70657792805138,0,12.987607654214
"MKN1",0.125395976390201,13.063,17.87,17.9279228730056,4,0,17.9279228730056
"253J-BV",0.13910977375105,12.994,15.82,15.5348558917461,4,0,15.5348558917461
"BFTC-905",0.174599742357028,12.346,9.236,10.7321924010283,4,0,10.7321924010283
"BFTC-909",0.15881247424515,12.826,12.43,12.6501008363241,4,0,12.6501008363241
"CAL-120",0.144370826674842,12.798,14.56,14.7143615276098,3.6030662179512,0,14.7143615276098
"CAL-29",0.14932254931403,12.838,12.28,12.9692156560106,4,6.55159690196839,12.5217395289836
"CAL-62",0.165254396303638,12.509,11.29,11.5830774443746,4,1.6922193481787,11.4838029109391
"HuCC-T1",0.153355549725422,12.709,13.12,13.3462658285666,4,0.298666842419526,13.3262905927975
"NMC-G1",0.153501442850575,12.76,13.35,13.3321989451993,4,0.256126057163041,13.3150924316158
"RPMI-7951",0.1825594661585,12.147,8.618,9.87872563106242,4,0,9.87872563106242
"253J",0.0821902213452426,16.171,0.46,NA,4,57.5893255604499,8.78835939688914
"ACC-MESO-1",0.0118997478458912,14.032,9.707,19.8470588489945,4,0,19.8470588489945
"B-CPAP",0.0700973643182377,13.494,8.739,NA,4,50.8674236086097,8.26480369949885
"CGTH-W-1",0.0277952229296447,12.599,15.86,14.8134421850741,4,0,14.8134421850741
"COLO 680N",0.133829223345794,12.409,75.58,74.7751374730083,0.362228950975667,0,74.7751374730083
"ECC12",0.0940537771212657,13,88.31,89.9217126680341,0.446951985589774,0,89.9217126680341
"HCC95",NA,NA,NA,NA,NA,NA,NA
"JMSU-1",0.151378990028037,11.502,6.944,7.00665981572788,0.81583622002821,0,7.00665981572788
"Rh41",NA,NA,NA,NA,NA,NA,NA
"WSU-DLCL2",NA,NA,NA,NA,NA,NA,NA
"23132/87",0.038450472626602,12.717,13.59,13.8038489568852,3.04664623418746,0,13.8038489568852
"8305C",NA,NA,NA,NA,NA,NA,NA
"BHY",NA,NA,NA,NA,NA,NA,NA
"GSU",0.0918322140330976,13.489,11.4,38.437175480313,4,49.784708946216,9.84612763549956
"JIMT-1",0.00858656726485117,14.852,12.8,21.879449320659,4,0,21.879449320659
"KMRC-20",0.054000848277579,12.486,11.59,11.7226447636352,2.68467058329063,0,11.7226447636352
"OUMS-23",NA,NA,NA,NA,NA,NA,NA
"SNU-1076",0.0434323748440845,12.667,13.14,13.3248783341886,2.7606821995621,0,13.3248783341886
"SNU-1196",0.130065797819665,12.266,2.998,19.7578096897775,0.853045281382139,39.7907013188184,3.06833217493759
"SNU-8",0.0433988518300699,12.592,12.45,12.608681611052,3.34206848516668,0,12.608681611052
"A-375",NA,NA,NA,NA,NA,NA,NA
"A-549",NA,NA,NA,NA,NA,NA,NA
"NCI-H2009",NA,NA,NA,NA,NA,NA,NA
"SNU-201",NA,NA,NA,NA,NA,NA,NA
"SUIT-2",0,16.129,3.919e-06,NA,4,100,170133.351162863
"DEL",0.165041558598704,12.331,9.811,11.855348546202,4,0,11.855348546202
"HARA [Human squamous cell lung carcinoma]",0.173897810162951,12.193,22.76,11.434707776062,1.41890018865713,0,11.434707776062
