"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0,14.998,0.09194,NA,0,100,990.002670837946
"KPL-1",0,15.694,0.2143,NA,0.564634473796657,100,0.475762499503651
"MKN1",0,15.711,0.4262,NA,0.931021886676647,100,0.00245798513809525
"BFTC-905",0,15.785,3.873e-12,NA,4,100,1e+06
"BFTC-909",0,15.403,0.0163,NA,1.78643204961715,100,26241.6782109622
"CAL-120",0,16.756,2.337e-13,NA,0,100,1e+06
"CAL-29",0,14.722,0.1895,NA,0,100,1e+06
"CAL-62",0.0127555764594731,15.354,5.49e-68,72.1458079209474,4,0,72.1458079209474
"HuCC-T1",0,15.787,8.531e-24,NA,1.26533513934801,100,560572.027144177
"NMC-G1",0,14.957,0.3677,NA,0,100,1e+06
"RPMI-7951",0,17.075,6.709e-115,NA,4,100,1e+06
"253J",0.0216187500000001,14.333,0,NA,0,95.67625,1e+06
"ALL-SIL",0.0976568052721025,13.546,15.87,36.4385711328395,1.43974108251292,37.442357015043,13.9565078924686
"HDQ-P1",0.0179687500000004,15.235,15.73,NA,0,96.4062499999999,1e+06
"SNU-489",0.0522062499999995,14.64,0.09034,NA,0,89.5587500000001,1e+06
"SNU-626",0.0109062499999982,14.238,0,NA,0,97.8187500000003,1e+06
"SNU-738",0,15.163,27.22,NA,0,100,1e+06
"SNU-878",0,14.939,758.9,NA,0,100,1e+06
"TUHR4TKB",0.0595788258124789,13.992,0.2692,8748.424963117,0.308423540920699,0,8748.424963117
"ACC-MESO-1",0,15.556,0.5206,NA,0,100,0.0233577027339411
"B-CPAP",0,16.517,9.116e-25,NA,1,100,8.3
"CGTH-W-1",0,16.995,1.914e-14,NA,1,100,66
"COLO 680N",0,16.418,0.01223,NA,1,100,0.002
"ECC12",0,15,3.469e+13,NA,0.33998161985934,100,1.30345106172745
"HCC95",0,15.599,0.3471,NA,0.185296671662197,100,0.0141299379071658
"JMSU-1",0,15.154,0.154,NA,1.0996748634563,100,67.7027910943529
"Rh41",0.0593882165769482,14.106,80.66,81.7956197886424,1.00667734355861,8.81365175410398,67.463977796205
"WSU-DLCL2",0.00952971947710421,15.428,1.34e-22,NA,4,76.6285289377968,45.4232735612177
"23132/87",0.0244312500000003,14.633,0,NA,0,95.1137499999999,0.0227444766554946
"8305C",0,14.97,643.8,NA,0,100,0.0264463979832922
"BHY",0.00107734810827472,14.912,0.3683,142.624454125938,4,0,142.624454125938
"GSU",0.0132500000000004,14.817,10.41,NA,0,97.3499999999999,4.7331797801057
"JIMT-1",0.00540625000000033,14.918,3.955e-274,NA,0,98.9187499999999,0.0166966698938927
"KMRC-20",0,15.152,0.3117,NA,0.759095011749151,100,0.0122517218562459
"OUMS-23",0,15.362,0.03941,NA,0.0880566467396328,100,0.0159724268183525
"SNU-1076",0.0267529625433838,14.598,1.362e+10,NA,0.164117828120532,69.6777983606462,1e+06
"SNU-1196",0,14.956,0,NA,0.926899361916724,100,0.002442967136817
"SNU-8",0.021968749999999,15.018,0.3542,NA,0,95.6062500000002,1e+06
"A-375",0.0571744063952937,14.445,0.4166,NA,0.0377818228114088,84.2884252585241,1e+06
"A-549",0.0376250000000004,15.051,2.246,NA,0,92.4749999999999,0.103262604585889
"NCI-H2009",0.00273972585263033,15.802,1.875e-88,111.956878445683,4,0,111.956878445683
"SNU-201",0,17.481,0.0005246,NA,1,100,0.0081
"SUIT-2",0,17.967,0.5431,NA,1,100,0.0081
"SNU-1079",0,17.341,0,NA,4,100,1e+06
"DEL",0,15.853,6.099e-26,NA,1,100,2.1
"HARA [Human squamous cell lung carcinoma]",0.0404927514364029,14.393,1.394,NA,3.71840836164577,89.0656739305675,1.40028590729784
"HCC15",0.0533594894264632,14.089,0.6742,NA,4,82.7938638644539,2.61979547639586
"KP-4",0,17.001,0,NA,1,100,0.0081
"Lu-99A",0.0111666010126133,14.792,0.6183,NA,4,94.9879792714422,6.49898553280516
"NCI-H1155",0.0113798796829073,15.485,7.486e-23,NA,4,70.0930965343831,47.0490678752895
"NCI-H1581",0.0318841389253552,14.439,1.343,NA,0.828105868724833,80.5722097846,16.7382515009409
"NCI-H2106",0,18.362,2.008e-96,NA,1,100,1
"NCI-H358",0,16.926,8.82e-25,NA,1,100,66
