"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.187217698724698,12.174,8.295,8.80205990714922,4,4.41624292196453,8.60090891315696
"KPL-1",0.106442730727843,13.395,20.22,22.0179899557832,2.35874555867219,6.27471821039381,20.8011663167108
"MKN1",0.131531419470129,13.023,11.97,13.8579033290411,4,18.3014447934376,12.3655914409762
"253J-BV",0,14.33,68.77,NA,3.35459609702088,100,1e+06
"BFTC-905",0.044970398419706,14.27,36.07,43.0559285292602,4,2.0104297830504,42.6164405707762
"BFTC-909",0.100933756245076,13.367,19.56,23.1799701099757,4,0,23.1799701099757
"CAL-29",0.0997662443280312,14.087,31.86,22.3922229416878,4,7.84952944878403,21.4563238293946
"CAL-62",0.0368183616436744,14.582,111.1,NA,4,69.2309788296334,19.03729863852
"HuCC-T1",0.072669028571579,13.216,17.56,20.2751746092897,1.71075477115597,5.75271051355335,18.8771059920092
"NMC-G1",0,16.522,7.511,NA,0.357626278811388,100,1e+06
"RPMI-7951",0.125363256241543,13.513,22.87,17.9340603591532,4,0,17.9340603591532
"253J",0.0118936468718711,14.893,0.2557,NA,4,93.113592729736,10.9452267473929
"ALL-SIL",0.787951900754979,3.1782,0.001567,0.00231242909957097,0.991386001316405,16.5785228996764,0.00154029532515514
"HDQ-P1",0,15,22050000,NA,0,100,44245.1858848414
"SNU-245",0,18.795,0.008605,NA,1,100,0.016
"SiMa",0,15.077,0.3156,NA,0.314587915557855,100,1e+06
"SNU-489",0,14.88,0,NA,0.313982430330707,100,0.0880780372976726
"SNU-626",0,15,1.433e+20,NA,0.980302005398255,100,0.0224900790037645
"SNU-738",0,17.314,2.701,NA,0,100,1e+06
"SNU-878",0,15,5.229e+10,NA,1,100,0.065
"TUHR4TKB",0,15,6.664e+09,NA,1,100,0.016
"ACC-MESO-1",0.0336784912479621,14.496,0.04831,NA,4,95.0865900466062,0.0527681930998672
"B-CPAP",0.0701930903390357,13.947,0,NA,0.0031533410406217,86.1075047304818,0.000460148210265418
"CGTH-W-1",0.186303551576138,12.198,0.08721,NA,1.73500999101866,70.7093680859283,0.0881428341108704
"COLO 680N",0.0324266666666665,14.976,3.397e-07,NA,0,93.5146666666667,0.00316767018098719
"ECC12",0,15.04,0.1866,NA,0.344197137282933,100,0.0565225670682882
"HCC95",0.0120333333333333,14.731,0,NA,0,97.5933333333333,5.46371432400615
"JMSU-1",0.0332789356151381,14.493,0.1339,NA,4,94.3853018386002,0.138474834380501
"Rh41",0.0989434581439088,13.516,3.938e+23,NA,0.051702820384191,68.9007358826447,1e+06
"WSU-DLCL2",0.031100439013013,14.537,0.06816,NA,1.08831844606146,95.3027771459235,0.0659555728993034
"23132/87",0.0276459438961692,14.585,0.006775,NA,0.476847380342539,96.5327828961239,0.00659775113850951
"8305C",0.0167666666666663,15.022,0.4661,NA,0,96.6466666666667,310.437542759981
"BHY",0.018656180367488,14.72,1.976e+11,NA,0.163800540955812,78.9366335636471,1e+06
"GSU",0.0659909647085241,14.006,562.5,559.708632589964,0.459035694031115,0,559.708632589964
"JIMT-1",0.00493513755190879,15.444,4.912,NA,4,94.0347783599256,28.1349672225339
"KMRC-20",0.0228866666666674,14.589,0,NA,0,95.4226666666665,0.0870530557786113
"OUMS-23",0.0246234759017898,14.628,11800,11073.0012082063,0.421251606098655,0,11073.0012082063
"SNU-1076",0,15.48,1.04,NA,0.652456213087038,100,0.00224574598010664
"SNU-1196",0.0411917956452834,14.382,0.1659,NA,1.41037016064778,92.9006058602677,0.157486027859075
"SNU-8",0.0052733333333333,14.942,0,NA,0,98.9453333333333,9.51104582711122
"A-375",0.0656511354046521,14.017,0.00432,NA,0.499432430007378,92.0705567581487,0.00429535146549721
"A-549",0,16.8,0.008039,NA,1,100,0.0041
"NCI-H2009",0,16.575,0.03713,NA,0,100,0.155054027674681
"SNU-201",0,15.213,0.9691,NA,1.03060203906995,100,0.402654992327313
"SUIT-2",0,15,5.223e+13,NA,1.08042656105189,100,81.6211949678238
"SNU-1079",0.0969407145179352,13.552,0.05717,NA,2.35242611538816,85.7279636290289,0.056277875129511
"DEL",0.139669990500352,12.921,14.12,14.7072283661708,4,4.8638398606509,14.3357192533095
"HARA [Human squamous cell lung carcinoma]",0.176063052456548,12.353,9.059,9.50117276066102,3.70214073362053,7.63148963274619,9.08549884690105
"HCC15",0.176423593572923,12.341,9.65,10.2004380043942,2.07747847306891,4.45283307385717,9.75258798348585
"KP-4",0.0719082465923317,13.909,34.54,32.9104748277495,2.7068411568623,0,32.9104748277495
"Lu-99A",0.139435712986901,12.969,12.98,13.8833993858715,4,10.2751802600531,13.1074678142623
"NCI-H1155",0.194053276850246,12.173,8.165,8.1844572389837,4,4.3153650095094,8.00184109659695
"NCI-H1581",0.196355235751304,11.893,13.78,9.06780482716007,1.2878776543833,0,9.06780482716007
"NCI-H2106",0.182474263669296,12.254,9.26,9.53665342254405,2.78712009890572,3.08090090074937,9.32150436502165
"NCI-H358",0.178514094766172,12.316,9.138,9.48192966182176,3.75564577713214,5.90678648774837,9.16978350419816
"DLD-1",0.00539013473725857,15.365,0.0001088,24.9537525089521,4,0,24.9537525089521
"EM-2",0.811354611002166,2.8269,0.003233,0.00403900938461954,1.12886722218904,11.3403835948954,0.00321599282918865
"JURL-MK1",0.882859826804407,1.7523,0.004439,0.00458761791636768,1.37837339273058,2.27065152046213,0.00443550968264407
"P12-Ichikawa",0.109642425519298,13.356,0.6709,NA,0.256837157532611,76.196117501528,0.734143597433835
"KE-37",0.0808477916743386,13.792,1.041,NA,3.22194049402083,79.7430936288776,1.03788670388097
"KMS-21-BM",0.30418791567292,10.139,9.246,9.27570556323218,0.258570282551542,0,9.27570556323218
