"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0369367820236703,14.612,60.32,NA,4,60.1973126415742,57.3677453669852
"KPL-1",0,15.796,0.001333,NA,1.35117491489523,100,1395.43591394794
"MKN1",0.021039027894895,14.887,50.09,NA,4,68.4292659856474,76.1490391988124
"253J-BV",0.0402198056380587,14.39,140.7,142.900838318297,1.75879774753163,0,142.900838318297
"BFTC-905",0,16.23,0.05221,NA,4,100,1e+06
"BFTC-909",0.0226684694971551,14.67,375.1,NA,1.36181453386562,51.1981035582878,157.909133806473
"CAL-120",0,16.032,1.721e-18,NA,4,100,1e+06
"CAL-29",0.0294323162081814,14.557,54.91,NA,1.79304467480457,72.3270109959958,53.8025338233618
"CAL-62",0.0674086988819572,14.139,10.03,NA,3.19914687621993,70.753403886293,13.6051477600782
"HuCC-T1",0.0726772099920711,13.861,69.12,205.070834805491,1.1228346928791,38.0345624305617,57.3855460390005
"NMC-G1",0.021451659034216,14.681,51.6,NA,2.11404580312091,77.2622644248866,59.8254194223545
"RPMI-7951",0.0381638292322435,17.03,4.867,NA,3.43079688412434,50.9816042634574,67.9282109199371
"253J",0.129142491508616,13.058,60.62,60.6112871238764,0.859913953854748,0,60.6112871238764
"ALL-SIL",0.271696836934367,11.93,8.396,8.2641607933936,0.907971121731838,16.626021328093,5.29471229594118
"HDQ-P1",0.0799957419695347,13.591,0.8565,276.480392443549,0.648103056051511,7.8832858756521,212.172713567968
"SNU-489",0.0176665425954225,14.535,0.7323,NA,3.67880311938927,77.3958248815725,67.4007480504079
"SNU-626",0.0638163759005757,14.131,0.3891,NA,4,89.1455042136148,0.328832224904126
"SNU-738",0.120869161855161,13.285,6.586,NA,4,60.6155751221418,6.1381696615611
"SNU-878",0.0560427170857215,14.1,76.9,90.1992210355886,3.07682495664459,30.3947000437105,66.5356962987439
"TUHR4TKB",0.0360381946080764,14.55,151.2,163.867983933603,1.65861860371823,0,163.867983933603
"ACC-MESO-1",0.060129140609167,14.099,22.93,NA,1.10306319449325,68.834428583019,22.3293542287188
"B-CPAP",0.0957172341560036,13.568,12.65,NA,3.49213612363673,59.8433932850425,12.5325620197685
"CGTH-W-1",0.0822949175584021,13.751,49.14,138.661132007042,1.19949292842011,36.3700777915695,46.9200749474441
"COLO 680N",0.0490572544630146,14.265,50.81,NA,1.52398637879617,56.21683289905,52.7290893390639
"ECC12",0.0601992327309476,14.102,110,164.323450207648,1.09536896870146,11.2774918081713,130.124139873729
"HCC95",0.0417342363426705,14.375,68.32,NA,1.59457709336046,51.5570261619963,72.5905059773109
"JMSU-1",0.146909199522253,12.798,48.75,48.8911710813915,0.819755037614781,0,48.8911710813915
"Rh41",0.208282831192774,11.878,29.1,29.1427738039096,0.593859867189226,0,29.1427738039096
"WSU-DLCL2",0.176231193878949,12.341,10.77,14.2293422892313,3.24546575438946,30.7140990299021,10.6097564022423
"23132/87",0.104135048762154,13.44,29.84,72.664417993057,1.42011959905055,36.3163200181722,29.1769788197918
"8305C",0.0775035122911069,13.837,321.9,328.817455478362,0.5996908457739,0,328.817455478362
"BHY",0.0730546550626963,13.903,270.1,274.698372247329,0.670496394177923,0,274.698372247329
"GSU",0,17.475,1.35e-167,NA,4,100,1e+06
"JIMT-1",0.00884425295507742,15.206,1.85e-82,NA,4,83.8697859171791,87.0492702954091
"KMRC-20",0.0427236072443876,14.354,124.5,126.144415788829,1.97498948245512,0,126.144415788829
"OUMS-23",0.00809538082087614,15.989,2.996e-06,188.48989619477,4,0,188.48989619477
"SNU-1076",0.121799073590557,13.154,39.02,128.712067259,0.769917504840878,32.9138819525488,31.9106324239691
"SNU-1196",0.0438771959473311,14.337,80.76,834.207981876895,1.34577636403523,47.7897173432537,82.1817945671557
"SNU-8",0.0132385949151872,14.736,77.3,NA,4,65.3858500683496,106.605658630713
"A-375",0.0563342569998766,14.153,200.7,204.44410238944,0.949236749881331,0,204.44410238944
"A-549",0.0324639557989799,14.512,341.7,516.195070878879,1.13654921012814,34.673084228409,182.38714787114
"NCI-H2009",0.153843105886994,12.692,10.22,43.459496081796,1.20357953684312,41.4271374127874,10.0410539451246
"SNU-201",0.0719378657677557,13.921,254,258.91373613824,0.695176352805393,0,258.91373613824
"SUIT-2",0.0527375072316143,14.214,32.6,NA,1.15372315777613,65.9765449601677,34.5577909390304
"SNU-1079",0.224008022055262,11.631,8.894,10.3880240551574,2.71689593185031,17.5419227686665,8.86066221652657
"DEL",0.151591907220247,12.764,56.89,44.1309218547656,0.850453767521023,0,44.1309218547656
"HARA [Human squamous cell lung carcinoma]",0.0918954820484887,13.619,863.4,923.251717033894,0.410979370627248,4.4515098165848,735.842248778825
"HCC15",0.13502430176086,12.973,138.6,139.954824446195,0.501431178258452,0,139.954824446195
"KP-4",0.0844783687260724,13.729,261.3,263.482148449633,0.608283214701614,0,263.482148449633
"Lu-99A",0.224340428686695,11.625,4.969,16.0988574678585,0.891494364402144,32.6524563745297,4.91030081037728
"NCI-H1155",0.170028902023622,12.443,10.21,27.2030972365387,1.23016637882811,35.78936326256,9.7833182498149
"NCI-H1581",0.123558065102965,13.147,67.45,67.8565029704174,0.839487857800038,0,67.8565029704174
"NCI-H2106",0.123326298110632,13.16,139.4,142.258393329365,0.548432648749586,0,142.258393329365
"NCI-H358",0.158255807423229,12.622,26.35,183.958906687443,0.512710921916943,32.0630991469956,24.9087069682371
"DLD-1",0.000955884509815797,16.333,0.006897,334.116865951887,4,0,334.116865951887
"EM-2",0.164970976034668,12.508,72.4,51.0188634429643,0.634420467273848,0,51.0188634429643
"JURL-MK1",0.181615553710875,12.274,9.902,13.2515886492281,3.11308584236638,30.8347704064098,9.73849865066997
"P12-Ichikawa",0.228197402528373,11.594,9.729,10.5453443622673,4,12.9431633283357,9.78442595740853
"KE-37",0.188583368571504,12.178,26.95,26.8788632813343,0.849963631016585,0,26.8788632813343
"KMS-21-BM",0.182393471832899,12.262,27.82,29.0105456601183,0.853882177336948,2.78738148961985,27.1257034880957
"Li-7",0.0764328292891844,13.855,112.4,113.924567731433,1.06903200690871,0,113.924567731433
"MHH-NB-11",0.264842235225858,11.028,7.874,8.31832111183231,2.31503493127994,6.63396592388471,7.82225288502091
"MOLM-13",0.230953625957761,11.529,5.202,10.9066981802925,1.15845727208167,28.9252153459823,5.17378478999277
"NCI-H28",0.0829835756851034,13.707,9.944,NA,4,66.4693771739104,11.3958309231791
"639V",0.010102995093508,14.773,39.05,NA,2.47642162613195,67.8414110925987,137.144766487087
"BxPC-3",0.167995675070346,12.475,6.585,NA,0.416881753469498,51.7071643763288,6.30100350807599
"CML-T1",0.22740549024648,11.588,8.635,9.76765365372984,3.30970105499665,17.1499217667698,8.60338550486786
"GSS",0.176014306080674,12.363,14.73,20.6867614482836,1.59052265205663,23.2835986415853,13.9495049258819
"HCC366",0.134226913530631,12.999,60.73,61.0952530299338,0.795982143135031,0,61.0952530299338
"Kuramochi",0.116895602049243,13.266,234.5,248.198735866278,0.472707395572911,0,248.198735866278
"LS411N",0.00189885828042953,15.505,1.687e-82,280.041894609951,4,0,280.041894609951
"LS513",0.0303068393356678,14.738,73.98,534.731034509388,0.887877484075859,0,534.731034509388
"ONCO-DG-1",0.0329345869721527,14.501,140.9,890.277219164744,1.1542148230064,43.7299616116682,147.333568542515
"ONS-76",0.0554326234887404,14.169,128.9,130.844627238475,1.3704304111189,0,130.844627238475
"SK-CO-1",0.182448727258249,12.251,9.343,12.4422257734651,4,30.1603326635513,9.87504703926948
"SW48",0.107615959581291,13.385,58.26,95.6695990109317,0.877910645694039,18.0688320818597,57.4029906939628
"VM-CUB-1",0.0733419852760687,13.898,46.15,NA,0.714587710166991,55.5612721707761,43.5488728481723
"BEN",0.00104113912580856,15.423,2.447e-74,326.910167728411,4,0,326.910167728411
"CFPAC-1",0.0381442535515301,14.424,139.4,334.939069438148,1.18156828565208,29.5704073039955,157.031773149017
"HCC78",0.0277412631530036,14.553,22.82,296.230137378037,1.23893499242257,0,296.230137378037
"HT",0.0418216230564622,14.371,269.8,275.706655325475,0.998235536895556,0,275.706655325475
"KU-19-19",0.0256727051250172,14.837,140.2,127.531578214767,4,0,127.531578214767
"NCI-H1299",0.00846262896002263,14.753,84.31,186.034254575968,4,0,186.034254575968
"NCI-H727",0.09500196607747,13.574,275.5,279.806193607785,0.541698276022354,0,279.806193607785
"NCO2",0.144946799670892,12.836,7.569,23.6375814208525,4,49.4768620134862,7.55987475981362
"OVTOKO",0.0558570655992388,14.162,307.3,314.286225789608,0.770331451993352,0,314.286225789608
"P31/FUJ",0.0945052858055616,13.583,15.33,NA,1.57709642649154,57.3119693770447,15.2105013603087
