"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.182807301791787,12.254,1.514,14.3010630168969,2.14472245485944,49.5935680711391,1.51667162485083
"KPL-1",0.00951013338174431,14.8,12.44,79.0652956507622,4,0,79.0652956507622
"MKN1",0.121081593536394,13.182,9.029,16.759261601274,2.15868022672386,36.5719329789491,9.1151025305485
"253J-BV",0.15076381712698,12.73,2.345,NA,1.77521645901035,52.6409531788971,2.40876506786056
"BFTC-905",0.0764751958530379,13.894,25.38,44.9177538042831,1.55576900926247,32.9442749327073,22.4999096863251
"BFTC-909",0.1837858535775,12.249,1.577,16.8066082637593,1.58686855843728,48.832185062352,1.57504916063094
"CAL-120",0.16518600974363,12.516,5.289,9.75386176360231,1.68454487522524,31.9012143840503,5.33573825724762
"CAL-29",0.221120465710756,11.675,2.106,3.28856548289769,2.4839622085952,32.9952249540825,2.13028227817449
"CAL-62",0.182815277886647,12.286,1.616,14.0561615394653,1.94951893055653,49.3224294681238,1.54765333318277
"HuCC-T1",0.231692170240717,11.537,1.327,3.40642370960067,1.54004503700452,38.5230477559509,1.31003410716635
"NMC-G1",0.0668934685492172,13.99,12.2,NA,2.67620381476197,58.6322027349053,12.3222371420223
"RPMI-7951",0.172205781252641,12.426,4.68,7.63492773358409,2.12328817967095,32.3969429484641,4.66956826173398
"253J",0.256791150796931,11.148,3.415,4.70971394757316,0.872334522169892,12.1218434544581,3.4258346710579
"ALL-SIL",0.226354816468478,11.598,3.712,4.70063288637541,1.90434183025135,18.3458378610348,3.69743264800298
"HDQ-P1",0.164778804946469,12.529,0.6196,NA,0.74076738559788,62.4098737638388,0.710202806131629
"SNU-489",0.233455017805293,11.499,3.669,12.442655348275,0.543882247520569,24.333571655442,3.65120719151504
"SNU-626",0.136025102946701,12.952,1.721,NA,1.10732717016939,60.9285729284539,1.79226722108251
"SNU-738",0.174577440711139,12.379,8.941,18.1287861374529,0.731377006999861,19.5364790943242,9.20752764423213
"SNU-878",0.367170078194211,9.4818,1.597,1.53281369252863,0.785995350515645,0,1.53281369252863
"TUHR4TKB",0.181508615150735,12.277,1804,1860.92300388485,0.187966909992635,0,1860.92300388485
"ACC-MESO-1",0.198022821519501,12.029,3.443,34.7112288120187,0.562691256144317,36.4243610220079,3.42150406332796
"B-CPAP",0.285369428295459,10.718,0.2598,3.59078615585505,1.00064322991672,46.4138230360084,0.257980484321209
"CGTH-W-1",0.240165986076578,11.399,1.395,5.4317510231286,0.921008681164443,35.8106751897944,1.38361995451157
"COLO 680N",0.168613898371217,12.471,2.102,NA,0.636028831371495,51.1856671456612,2.1035738028794
"ECC12",0.149142344677487,12.764,5.51,25.4423322112102,1.0083258120369,39.2167391923014,5.55696991090697
"HCC95",0.214259568717996,11.789,0.8,71.1803271050678,1.13234153948958,49.6945157597429,0.789107408555615
"JMSU-1",0.312004461566033,10.326,1,1.62641966977766,1.22005660873795,22.8735881062252,0.985271947812125
"Rh41",0.493767392242953,7.5929,0.3758,0.377142809797019,1.71914665111325,0.687458711093304,0.374117813726666
"WSU-DLCL2",0.386189014717824,9.2162,1.059,1.09665065210629,1.36712932543931,3.10162584782396,1.04646518726093
"23132/87",0.293840924694405,10.601,0.729,1.55853395145908,1.34309605240278,32.4915745391179,0.713523872016279
"8305C",0.31267655739936,10.315,0.9681,1.62070572697892,1.18616206498374,23.2681934861081,0.955965740844867
"BHY",0.240267571721442,11.396,2.741,6.9817886198694,0.7182146053826,24.5309378769545,2.7294204159777
"GSU",0,16.091,0.004062,NA,4,100,1e+06
"JIMT-1",0.157046062302896,12.639,4.07,12.031276867513,1.62978626154655,41.3807566288566,4.09114484620689
"KMRC-20",0.136595612237637,12.951,4.93,286.289355252003,0.791123512464721,47.964794790224,5.00441075090164
"OUMS-23",0.151531906661105,12.724,8.829,23.869272465385,0.843998592512149,27.8835238095107,9.08042485930182
"SNU-1076",0.248789294888217,11.269,4.46,6.58359972294548,0.661716673220445,11.2276687822473,4.48282687641201
"SNU-1196",0.164332116367696,12.534,2.693,25.1232448242618,1.21393661135931,46.6247235739945,2.72725031038645
"SNU-8",0.316740793209465,10.251,1.351,2.09504104094356,0.874387327187617,16.1124753097541,1.3427470939043
"A-375",0.172974607786104,12.403,7.316,12.6636823269493,1.02894942098437,20.9708354839701,7.46565978511185
"A-549",0.288783944152083,10.671,40.71,40.8336086576833,0.207932200845574,0,40.8336086576833
"NCI-H2009",0.216945554292237,11.756,0.7173,NA,1.30318412592464,50.4454397539039,0.69517911564199
"SNU-201",0.17137136572045,12.431,1.783,NA,0.892089676648052,51.2696020397628,1.77132379992999
"SUIT-2",0.100417391257631,13.485,957.3,910.266927257101,0.325658655295684,0,910.266927257101
"SNU-1079",0.365129861518441,9.5777,0.7774,0.995392419764567,1.37091294182903,14.5753627649732,0.774145958064914
"COLO 741",0.173239213492905,12.386,0.4132,NA,2.09990600284415,64.1673004729723,0.43151422228251
"DEL",0.270416036104062,10.937,2.923,3.36276815333235,1.60374750509905,9.69435424076555,2.9398898198768
"HARA [Human squamous cell lung carcinoma]",0.244949906285288,11.324,3.366,6.16635204741273,0.741656611142013,17.9693719006977,3.38263081762567
"HCC15",0.20224668559978,11.963,2.329,8.16020112899617,1.1043159477236,37.450747886507,2.33377615738615
"KP-4",0.221883220311729,11.671,0.7474,82.288989728775,0.798196268307155,48.8345141219201,0.741569359599083
"Lu-99A",0.338807772580503,9.9181,0.4552,0.75385205409955,1.71947242180884,29.2819914467498,0.451609655588393
"NCI-H1155",0.299438544909198,10.51,2.102,2.52577855544169,1.20646166195917,9.95097749959243,2.10140789471203
"NCI-H1581",0.425665071614892,8.6131,0.2315,0.375360820135554,1.17062520166266,21.6400378205039,0.231248538306626
"NCI-H2106",0.217803481521985,11.734,2.394,24.7781292192592,0.551739594611964,36.2831903657298,2.37675910835203
"NCI-H358",0.322308786144386,10.17,0.569,1.02426208135391,1.48941930973269,29.7338031627441,0.558584019480208
"DLD-1",0.0392771174464608,13.517,47.36,NA,4,77.7333798479049,10.533503855745
"EM-2",0.38928897009181,9.1681,0.4364,0.748455434472501,0.887405501540261,19.8144399624871,0.423825098950362
"JURL-MK1",0.346463229053358,9.8127,1.066,1.27244564862742,1.56328306355177,12.9653450540414,1.05014566385391
"P12-Ichikawa",0.268156475514658,10.984,3.629,4.21469501789953,0.921070209691303,5.29596689430409,3.7322966223253
"KE-37",0.349629930789894,9.7611,1.422,1.5667171362897,1.15971300848234,5.56204359734278,1.41523319743224
"KMS-21-BM",0.255202163608587,11.162,2.753,3.43193968018361,1.85345859919839,16.2375552218967,2.77670648290091
"Li-7",0.308921094294765,10.369,1.655,2.05904556724917,1.35505935610279,13.0058118505357,1.64858704346047
"MHH-NB-11",0.287623137049782,10.666,8.851,5.95981264646144,0.450334720083357,0,5.95981264646144
"MOLM-13",0.331575801855723,10.041,0.9958,1.18669287569361,2.28362747079491,18.1821537777295,0.973596366595003
"NCI-H1975",0.505484433340659,7.4112,0.1875,0.199169755156537,3.92129847754742,10.2828023839357,0.187812210472051
"NCI-H28",0.230026114923757,11.541,2.94,5.22824130176733,1.1208041034458,23.5611724833181,2.96110959725643
"639V",0.0832652452188268,13.757,679500,914473.409354081,0.169967895274409,0,914473.409354081
"BxPC-3",0.251648135544684,11.237,1.293,2.69063815281825,1.50374566992353,33.5907966105209,1.28253873870458
"CML-T1",0.260661193378061,11.114,2.095,2.99750589892733,1.58858205744841,21.2080591859956,2.11773374923962
"GSS",0.316383211138584,10.257,1.954,2.26510497225181,1.0304073103695,7.22426452145778,1.94677509168957
"HCC366",0.0951613660369042,13.57,17.82,43.865996757897,1.15729951935894,31.4084820143586,18.6582686948434
"Kuramochi",0.133032720141576,13,2.252,NA,1.33312558142717,59.0920429288222,2.25785146262718
"LS411N",0.10350129107883,13.848,8.154,NA,3.48878810592776,64.6073955980248,3.14893368279667
"LS513",0.177045700398481,12.333,5.24,7.72476443704418,2.05917734684487,27.1244514787918,5.2840357823231
"ONCO-DG-1",0.32948587684229,10.058,0.4756,3.34136851978634,0.497482360413785,31.0825657324715,0.473627010307651
"ONS-76",0.188608609556305,12.164,3.489,6.59275442607508,1.7321533964432,33.1268798003072,3.52130656456587
"SK-CO-1",0.294731067687546,10.581,1.859,2.95367932316702,0.807050036817311,15.5289019584939,1.86308808688188
"SW48",0.31725966608581,10.239,3.556,3.78563321770284,0.464422480369056,1.33701499986315,3.57102194182278
"VM-CUB-1",0.215070798860997,11.778,1.542,4.3529617161984,1.59646398396987,40.5639380444864,1.53168811365592
"BEN",0.0777499999999998,14.444,12.91,NA,0,84.45,0.0118256277229778
"CFPAC-1",0.268501153282538,10.98,16.29,16.4315141265694,0.314410335031473,0,16.4315141265694
"HCC78",0.192511016423424,12.127,7.823,15.8506348454586,0.646697672997569,15.7882793743843,8.81497561900803
"HT",0.335970521214503,9.9706,1.175,1.44594908494461,1.43407823787414,13.5474886575415,1.15998432317988
"KU-19-19",0.219190532620262,11.712,54810,55051.6220004036,0.10900608109492,0,55051.6220004036
"NCI-H1299",0.0899101402568873,13.648,6.039,NA,1.43011221570776,61.0787200510514,6.10472593909984
"NCI-H727",0.167240356998892,12.494,1.823,NA,1.27477653266935,51.6330757107284,1.82217739343714
"NCO2",0.3405383818909,9.8989,0.9214,1.11294111574177,2.06724764836822,17.4055533438371,0.904860147399336
"OVTOKO",0.244435237042709,11.335,0.7423,6.39867980811362,0.950446371260092,43.6240117890335,0.73288389725898
"P31/FUJ",0.230505504352639,11.533,2.158,5.15980521084145,1.07146312167832,30.4178033199683,2.15118388650321
"Peer",0.209578274592787,11.864,4.527,6.74105243176435,1.25636777088643,18.7031851407203,4.64276633938433
"RPMI-8402",0.224755788053063,11.616,3.768,4.90360414596076,1.77151434631718,18.201302975577,3.79803622185765
"SHP-77",0.0982628101980088,13.52,8.935,39.4970272472513,2.46976613042445,48.6954553942015,9.02414578123834
"SNU-1077",0.135544682380596,12.965,3.971,NA,1.10776688279717,50.3466101698102,4.01068595125523
"SNU-620",0.205864509475962,11.905,2.149,4.04909833762329,2.20749416729306,37.0966485384389,2.19215766619187
