"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"253J-BV",0.050514560820083,14.227,2.266,187.655481647044,0.87383210962942,0,187.655481647044
"BFTC-909",0.0330120946164775,14.636,19.97,NA,4,76.6182682954254,22.5455687743346
"CAL-120",0.00174166666666686,15.316,2.242,NA,0,99.6516666666666,185.174702172066
"CAL-29",0.0426646578413525,14.602,49.8,51.5923178328414,4,0,51.5923178328414
"CAL-62",0.0491964776345447,14.472,33.16,56.2461066540629,4,42.4858885915937,35.0202605109066
"HuCC-T1",0.0713908833132886,14.231,39,39.4420888236724,4,0,39.4420888236724
"NMC-G1",0.0424057383906163,14.828,61.2,51.7327276697013,4,0,51.7327276697013
"RPMI-7951",0.129624884265708,13.567,38.52,38.4993400845803,1.01315267839129,0,38.4993400845803
"253J",0.176903028842203,13.048,3.964,NA,1.75815442644535,52.0266973912074,3.97245504499852
"ALL-SIL",0.250968994122629,12.055,42.72,10.9143374721281,1.10137123369749,0,10.9143374721281
"HDQ-P1",0,15.611,0.5222,NA,0,100,1e+06
"SNU-245",0.148188380160704,13.286,291.2,286.494800461094,0.374108809284027,0,286.494800461094
"SiMa",0.345717666966392,11.206,4.119,4.58994887433902,1.25208945338106,4.66996656684337,4.24421647192697
"SNU-489",0,15.489,7.876e-05,NA,0.418007604423444,100,0.81308668782762
"SNU-626",0.0294463768327593,14.675,79.87,78.9084519759327,2.27231706546854,0,78.9084519759327
"SNU-738",0.0133630153519465,14.833,33.22,78.3431366561651,4,0,78.3431366561651
"SNU-878",0.146315997011644,13.378,79.2,80.958167217087,0.559929052689171,0,80.958167217087
"TUHR4TKB",0,15,10490000,NA,0.194856194434154,100,127191.633332142
"ACC-MESO-1",0,14.879,0,NA,0.745000021579394,100,0.386350809002302
"B-CPAP",0.0396799778802283,14.539,40920,41184.8241380944,0.334009690712821,0,41184.8241380944
