"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0321582089468626,15.628,1.261e-16,NA,4,76.079273199581,8.15576411315659
"KPL-1",0,16.39,0.003794,NA,0.683831165685456,100,0.246659471342469
"MKN1",0.00123893370677159,16.465,4.326e-11,68.8054754035613,4,0,68.8054754035613
"BFTC-909",0,16.775,0.006082,NA,0,100,1e+06
"CAL-120",0,16.535,0.007094,NA,0,100,1e+06
"CAL-29",0,14.998,1358,NA,0,100,1e+06
"CAL-62",0,15,18610000,NA,0,100,1e+06
"HuCC-T1",0.0537408408405735,14.134,2.93,NA,1.68729718080833,51.9830194770501,11.2635723351944
"NMC-G1",0.0641104098059316,14.173,7.699,NA,4,58.8401334281603,6.52948111809067
"253J",0.0298449046533904,14.537,14.5,NA,3.81979867478658,61.5573014106187,14.8949824030159
"HDQ-P1",0.0238158795110892,16.343,0.08078,NA,4,85.2395906206713,6.16005683914075
"SNU-489",0,15.983,1.334e-27,NA,0,100,1e+06
"SNU-626",0,16.756,16.47,NA,1.86388816800074,100,316.943736585079
"SNU-738",0,16.364,2.323e-08,NA,4,100,1e+06
"SNU-878",0,17.928,20.9,NA,2.3779123337585,100,2816.1691104537
"TUHR4TKB",0.0202613439296754,14.69,52.8,52.2547553942135,1.7524071714227,0,52.2547553942135
"ACC-MESO-1",0.00988929232224857,15.853,3.249e-06,NA,4,82.7936701338304,18.587745429166
"B-CPAP",0.189060624804026,12.15,6.265,7.97958601868628,0.643259427693946,8.3612314572822,6.00391262726931
"CGTH-W-1",0.0582793598113774,14.108,11.49,23.7229361991548,2.76459326827355,43.0901316356396,11.5950523877916
"COLO 680N",0.0155790506718572,14.773,63.47,NA,2.09375,54.0625,31.6227766016838
"ECC12",0.00541249190797195,14.945,67.95,NA,4,86.9279981731456,22.5305624548308
"HCC95",0.0068670675679628,16.179,0.001318,NA,4,77.3760785870706,26.148369386583
"JMSU-1",0.090068713056733,13.644,6.31,11.319053148349,3.46144995747756,43.3784794739686,6.31183479634479
"Rh41",0.0621834400063777,14.061,13.05,26.7943870186292,1.76996281142739,35.0175934936841,13.562443321411
"WSU-DLCL2",0.0729939594563706,13.897,11.85,20.1397694868576,1.79941702609849,29.6672210275926,12.2148433754149
"23132/87",0.0211617226152784,14.672,20.41,NA,4,54.0246350331924,21.273044025366
"8305C",0.227429344130625,11.59,4.815,4.82214358418229,0.602596003881388,0,4.82214358418229
"BHY",0.0478928833518117,14.223,4.27,NA,4,71.9603771171524,5.58240286595077
"GSU",0,15,0,NA,0.888691158780108,100,0.384386011255109
"JIMT-1",0.00913958832232336,16.217,0.0006924,NA,4,80.1843043677877,21.248518163501
"KMRC-20",0.00391243523194105,15.732,1.207e-06,50.8891523256761,4,0,50.8891523256761
"OUMS-23",0.0285440233324258,14.855,1.735,NA,3.94135829486267,69.0742881960186,12.7055212003489
"SNU-1076",0.0441922071978008,14.435,4.363,NA,3.73009748666777,63.3333710157075,9.44085466543905
"SNU-1196",0.0251686797645707,14.609,12.51,NA,2.02556938541167,69.8851487707137,15.1808673719698
"SNU-8",0.0310988403006398,14.495,8.409,NA,3.93888523853904,72.2575758166286,10.3066147691628
"A-375",0.241794705102952,11.371,0.4206,1.68281043693242,1.35797554432241,42.5148734331027,0.415606135172763
"A-549",1.54122642658054e-14,15.901,0.05049,NA,3.51990541666914,99.6372930759595,20180.7553497313
"NCI-H2009",0.0431312661150383,18.325,4.136,NA,4,59.8396716025445,10.8264617800287
"SNU-201",0.0198094856444615,15.562,1.949e-10,NA,3.60104264952062,78.7929172849687,12.5933049029935
"SNU-1079",0.186414639401472,12.196,4.759,5.02059500473178,1.25299506165258,3.14696034633566,4.76676114596946
"COLO 741",0.0936892958341328,13.597,6.433,20.9967404216447,1.54185965403799,41.7833577291102,6.50872959167204
"DEL",0.00743931261852994,14.929,106.5,NA,1.7672075986342,78.4682106955795,35.3053089959123
"HARA [Human squamous cell lung carcinoma]",0.0213391894760105,15.847,0,NA,3.12697599126435,66.0614205271518,17.932409865473
