"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0601574987641723,14.16,1.087,NA,4,82.1752733611157,0.985234805864738
"KPL-1",0.025793838316819,14.627,0.6764,NA,4,92.9784491497206,0.722149055367209
"MKN1",0.0251436039217329,14.511,0.733,556.914230494887,0.616240284452757,0,556.914230494887
"253J-BV",0,15.743,8.808e-20,NA,0,100,1e+06
"BFTC-905",0,17.444,0.08013,NA,0,100,1e+06
"CAL-120",0,16.751,0.1834,NA,0,100,1e+06
"HuCC-T1",0,15.71,0.1306,NA,0,100,1e+06
"NMC-G1",0,16.007,0.05929,NA,0,100,1e+06
"RPMI-7951",0,14.859,41.56,NA,0,100,1e+06
"253J",0,15.479,0.2246,NA,0,100,1e+06
"HDQ-P1",0,15.213,0.1889,NA,0,100,1e+06
"SNU-489",0.0449892977389449,14.315,0.2904,NA,4,90.3858004168932,0.253566428935684
"SNU-626",0.0316937500000004,14.754,0.7577,NA,0,93.6612499999999,1e+06
"SNU-738",0.000593750000000226,14.982,37.18,NA,0,99.88125,1e+06
"SNU-878",NA,NA,NA,NA,NA,NA,NA
"TUHR4TKB",0.0256312499999998,14.605,0,NA,0,94.87375,1e+06
"ACC-MESO-1",0,16.264,0,NA,1,100,1
"B-CPAP",0,15,1.139e+10,NA,1,100,4.2
"CGTH-W-1",0,15.99,4.992e-48,NA,1.00408243382404,100,0.690225470902242
"COLO 680N",0,15,12240,NA,1.13972615907498,100,30.2735616249513
"ECC12",0,16.459,0,NA,1,100,4.2
"HCC95",0,15,983600,NA,1,100,0.13
"JMSU-1",0.00421153888403251,15.472,0,NA,4,73.1905303890569,33.6697764113905
"Rh41",0.0920603427593691,13.623,12.59,12.7326256180641,4,0,12.7326256180641
"WSU-DLCL2",0.186542326607441,12.191,4.572,4.668101015736,4,1.03156107959058,4.6438353070556
"23132/87",0,15,5.174e+13,NA,1,100,2.1
"8305C",0.00660279613850424,14.898,74.58,71.6563375277965,2.28535064576997,0,71.6563375277965
"BHY",0,15.245,2.401e-13,NA,0.3210755104448,100,1.38929051723729
"GSU",0,15.12,0.1591,NA,0,100,69.2345260601851
"JIMT-1",0.00186946146486876,14.947,0.4394,NA,4,99.4526353979756,0.944641525926254
"KMRC-20",0.00433300013322269,15.011,0.5141,NA,4,95.1750565681919,13.0421648273368
"OUMS-23",0,15.198,3.475e-267,NA,0,100,0.0276317373866484
"SNU-1076",0,15.284,8.024e-28,NA,1.01165455446645,100,5.0387733599741
"SNU-1196",0,14.916,0,NA,0.721611906833379,100,0.225570751234708
"SNU-8",0.00792285353715382,14.879,20.43,NA,2.39157037677616,67.5335391595901,35.5788814257781
"A-375",0,15,24300000,NA,1,100,0.0041
"A-549",0,15.302,0.04925,NA,0.538187749305988,100,0.0734340638147613
"NCI-H2009",0.00657826008009988,14.659,0.06235,NA,4,84.608767819093,22.1550036732747
"SNU-201",0.137137507845266,12.89,0,NA,2.32797078013511,86.2862490898843,1e-06
"SUIT-2",0,16.244,0,NA,1,100,2.1
"SNU-1079",0.0569073947805456,14.07,0.002788,NA,0.0972297228228531,75.5826557516885,47937.5116211608
