"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.34466130684375,10.56,0.0003831,NA,2.49511967428377,65.0466503580353,0.00284152747639174
"KPL-1",0.13592286529444,13.072,0.007455,NA,1.37828716710278,85.0361888868852,0.00773742666466563
"MKN1",0.450806884131636,8.5778,0.004771,NA,2.23526209397331,52.994169608739,0.00480730308329028
"253J-BV",0.425966819237172,8.6047,0.0044,NA,1.04853338558129,52.1738158110485,0.00441983349323686
"BFTC-905",0.467104560836126,7.9894,0.00556,0.0270148279749013,1.99367171931426,47.879643205259,0.00553532718840789
"BFTC-909",0.423145002568297,8.6528,0.007352,NA,3.10047284710606,51.6044183631175,0.00735096141636978
"CAL-120",0.325376826861537,10.209,0.007379,NA,4,63.2090337146843,0.00664528277945631
"CAL-29",0.526898148057722,7.0937,0.00333,0.0146390219570187,1.30294646245231,42.7617227119467,0.00332146715685667
"CAL-62",0.663177169941104,5.0481,0.003768,0.00638408861372106,1.53903651100392,27.8583469868921,0.00376045880519678
"HuCC-T1",0.438803605670834,8.4123,0.00247,NA,1.5092957141989,53.6068481799398,0.00242903494801551
"NMC-G1",0.210895406666704,13.497,23.34,82.9066070169814,0.25275255353809,0,82.9066070169814
"RPMI-7951",0.761225589728722,3.5782,0.002196,0.00331924073425901,1.08607248396632,18.5653530020961,0.0021649671314881
"253J",0.582231575414286,6.2694,0.022,0.0323421844811051,1.68598086887372,24.3369385873404,0.0217752626570531
"ALL-SIL",0.80507354818871,2.9219,0.00087,0.00139081393781053,0.516164961491314,11.3731499739243,0.000843582909516468
"HDQ-P1",0.472489882747104,7.7531,0.002135,NA,4,51.314378383364,0.00249310122842374
"SNU-245",0.359089355894257,9.6229,0.00814,NA,4,58.6600188846674,0.0078377426218529
"SiMa",0.732500943357998,4.1765,0.007162,0.00719613842449657,4,17.4188550414864,0.00646544755524258
"SNU-489",0.420120296179957,8.6936,0.008641,NA,4,50.8418781764989,0.00907042887335036
"SNU-626",0.381967861090181,9.1574,0.006896,7.92151031637826,0.165468487044279,0,7.92151031637826
"SNU-738",0.565969656670941,6.5138,0.008682,0.011796023302614,3.47265979576112,34.2880139888437,0.00845210837118727
"SNU-878",0.579741881065656,6.3098,0.03664,0.0509731001035478,1.46513488508542,19.5130419196899,0.0363659740677196
"TUHR4TKB",0.472587594527132,7.9133,0.03144,0.0655038353834919,1.68734062591768,35.7588441281045,0.0311187057311977
"ACC-MESO-1",0.0276308081270172,13.754,28.05,28.0159080561974,4,0,28.0159080561974
"B-CPAP",0.769299357376767,3.4579,0.002141,0.00338612610120575,0.829264991062758,16.0937538726921,0.00211973547872478
"CGTH-W-1",0.50706707051191,7.4535,0.006397,0.0102092477331746,4,43.0589173489611,0.00623172162967854
"COLO 680N",0.347092740256006,9.7942,0.01841,NA,1.209582037263,55.6245887966573,0.0182543794112348
"ECC12",0.793089806743929,3.2714,0.007314,0.00719205795661892,4,10.1044814003896,0.00679738245311845
"HCC95",0.377522993540051,9.3785,0.0001913,NA,1.36314229711045,61.0425985754239,0.0012911510592265
"JMSU-1",0.734410114055268,3.9787,0.00683,0.00856906350352911,1.74599972441461,16.1166916360707,0.00685724597986613
"Rh41",0.811645748398958,2.7963,0.006108,0.00646132860511137,4,8.98593888877595,0.00614911366658193
"SNU-175",0.868533087854539,1.9671,0.003229,0.0035031868492477,1.53587395533614,6.62726093941846,0.00319342062259786
"WSU-DLCL2",0.92788345993657,1.0639,0.0019,0.00182125566114754,0.870459843385342,0,0.00182125566114754
"23132/87",0.78810819078046,3.4545,0.007543,0.00647260756510348,4,10.9618541099862,0.0060842783037383
"8305C",0.582026590542734,6.1396,0.008153,0.0247151983396173,0.766917127924594,28.7239439688105,0.00811159468155963
"BHY",0.518949954123128,7.1537,0.002705,0.0261029175297478,0.80930668335071,42.0744895771329,0.00268076873894294
"JIMT-1",NA,NA,NA,NA,NA,NA,NA
"KMRC-20",0.316429195286904,10.107,0.0418,NA,0.942219038405927,53.5895714431387,0.0415076297551209
"SNU-1076",NA,NA,NA,NA,NA,NA,NA
"SNU-1196",0.331899202896878,9.8971,0.02063,NA,0.549376169513251,53.7331068119963,0.0205429955093315
"SNU-8",0.629837560784703,5.4072,0.01073,0.0183730948626048,1.10747675327439,22.6400671110321,0.0106595642658132
"A-375",NA,NA,NA,NA,NA,NA,NA
"A-549",0.248299080282791,11.311,0.007854,NA,4,71.4346639939471,0.00710990289390852
"NCI-H2009",NA,NA,NA,NA,NA,NA,NA
"SNU-201",0.285154515915029,13.77,28.25,NA,0.975984037350683,66.3460162315722,0.00669561019742134
"SUIT-2",0.050922525731094,14.227,1.245,NA,4,85.9459400542882,1.52172554758123
"SNU-1079",NA,NA,NA,NA,NA,NA,NA
"COLO 741",0.289789069720669,10.657,0.003024,NA,2.12154484022744,69.1673810588674,0.00323291884412372
"DEL",0.804943078232849,2.9199,0.005728,0.0061067630697456,4,10.3570346539031,0.00576248891122324
"HARA [Human squamous cell lung carcinoma]",0.757039506057602,3.634,0.002163,0.00301778544568607,1.55386231519863,20.6218636778872,0.00214319380099626
"HCC15",0.680869657995138,4.7853,0.001118,0.00223350782587319,1.26165104724728,29.8824228424025,0.00108540823841696
"KP-4",0.718913727576629,4.2138,0.00185,0.00295481771181186,1.42480953901895,24.9265813534803,0.00182031760491205
"Lu-99A",0.558073280341618,6.6266,0.002337,0.00836798266448007,1.30581721813799,40.7586600704536,0.00229671157012026
"NCI-H1155",0.681543480998472,4.7793,0.01963,0.0231761747361611,1.64579728726813,12.6421331556829,0.0194144854129401
"NCI-H1581",0.718587221923733,4.2195,0.001757,0.00365395262382696,0.778504615602,21.9828196266296,0.00173639737396783
"NCI-H2106",0.454398432811965,8.1802,0.0008384,NA,0.960567963356668,53.0975431803341,0.000701823351612512
"NCI-H358",0.74810335749805,3.7748,0.002921,0.00409049915476961,1.46351453153609,19.942091002221,0.0028890979709209
"DLD-1",0.428898128834836,8.5683,0.05341,0.119798713423419,1.69428463155973,37.3174851756688,0.053311413065187
"EM-2",0.759785604153937,3.6031,0.0002545,0.000444901188235445,1.14212872907012,23.4339891188573,0.000255739081220423
"JURL-MK1",0.893545972446659,1.5903,0.003646,0.0037890170793911,1.66829279279786,3.34592572495002,0.00363492871475615
"P12-Ichikawa",0.887486508304935,1.6765,0.00276,0.00295709995301085,1.39400348129958,5.13432840858874,0.00273596232136087
"KE-37",0.898113053449719,1.5256,0.004346,0.00437505044957686,1.6917333958389,1.61218979373365,0.00429110546779169
"KMS-21-BM",0.965750000000003,0.5021,0.0001843,1.01789805658561e-06,3.99999999999993,3.4249999999996,1.0000000000002e-06
"Li-7",0.541223268344563,6.8808,0.03854,0.0952388187177807,0.652115269632628,22.3732895528213,0.0383468066613159
"MHH-NB-11",0.810123227835612,2.8657,0.005965,0.00630451019169629,4,9.41935440374212,0.00598395870784343
"MOLM-13",0.924328832709942,1.133,0.0003894,0.000394565590847781,0.573344651647183,2.36235714776182,0.000362624877330822
"NCI-H1975",NA,NA,NA,NA,NA,NA,NA
