"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.124115806995185,13.091,1.493,NA,1.48356379760052,59.9584463192546,1.47050589306871
"KPL-1",0.0961505635447267,13.557,0.2952,NA,0.76604242653136,78.4185694519463,0.363901388955065
"MKN1",0.00910376012127512,15.272,2.807e-156,44.8872587388608,4,0,44.8872587388608
"253J-BV",0.245745467351842,11.305,0.4543,0.753246564603494,3.53334903754368,41.9158727150905,0.449753852767212
"BFTC-905",0.180171533591887,12.3,3.205,10.7042013869441,0.737814270328082,30.1567078859126,3.0589626469566
"BFTC-909",0.292776445351791,10.381,0.3041,0.505079650509088,4,33.1660154558414,0.384737130214923
"CAL-120",0.00719195340689489,14.79,1.507,23.8954975134846,4,0,23.8954975134846
"CAL-29",0.32828810143,10.326,0.4597,0.440846048818534,4,25.7945144680886,0.367724783731351
"CAL-62",0.300432324696961,10.478,0.2827,0.415052583820947,4,34.5373477385419,0.309514940831815
"HuCC-T1",0.2203208062987,11.681,0.3,NA,4,52.0089940090059,0.309029093597294
"NMC-G1",0.399496620905365,9.0047,3.982e-05,11716954.8483164,0.162031079707811,49.306023619832,4.01967843998001e-05
"RPMI-7951",0.279726091069154,10.779,0.6632,0.906072332324584,2.6890850449897,27.109911756259,0.677606779130221
"253J",0.287488991564758,10.664,0.6356,0.800099195988083,3.39778504166467,26.011526450984,0.644567998407082
"ALL-SIL",0.431021095396575,8.5157,0.3985,0.404100743027382,1.62275285920211,0.751153822089229,0.400348810753565
"HDQ-P1",0.00623946621208499,14.614,0.3372,50.1152015104396,4,0,50.1152015104396
"SNU-489",0.0172537767916299,14.758,143.8,NA,2.74384785384326,83.1710769734633,12.9645844603374
"SNU-626",0,14.577,0.3528,NA,0,100,1e+06
"SNU-738",0.234497238804593,11.613,0.2858,NA,4,51.8396940443883,0.231235303502899
"SNU-878",0.0868515584566385,13.713,0.269,NA,4,81.9812299724699,0.243361829153981
"TUHR4TKB",0.104649196335479,13.432,21.01,20.82428326401,0.904160750866781,0,20.82428326401
"ACC-MESO-1",0.187724347299595,12.197,0.5973,NA,4,52.6431039883022,0.593962770009374
"B-CPAP",0.256418521292856,11.145,0.3901,0.900083065886104,2.0950953831748,41.1976482650593,0.392841377385836
"CGTH-W-1",0.358162639270112,9.6096,0.4485,0.544550855305046,2.03524787154591,15.0518639902552,0.45668040656327
"COLO 680N",0.113191521613732,13.288,0.9068,NA,1.33926840084054,67.5212419997363,0.984102009068088
"ECC12",0.238195255408331,11.413,0.6433,0.966370078735216,4,37.9404821507023,0.67722574513069
"HCC95",0.287297023078283,10.687,0.1503,2.47541655861141,0.867462890807546,45.6315997456728,0.14902291499057
"JMSU-1",0.352961729751485,9.6877,0.446,0.540360032933447,2.21719226301214,16.5264652839619,0.450904448146141
"Rh41",0.48034768358328,7.7783,0.04303,0.0586851027385788,2.35020866546729,25.901004991376,0.0430188243306283
"SNU-175",0.228940406572962,11.563,0.9458,2.31402322432407,1.34564091037753,35.0859887225084,0.94175942461645
"WSU-DLCL2",0.60776488491,5.8633,0.05151,0.0534641029525382,2.02728511044562,3.68318906569163,0.0514837575256331
"23132/87",0.252241680595549,11.205,0.3789,1.24273576566002,1.60975740008768,42.5218371108943,0.381742442673962
"8305C",0.181227791366306,12.232,1.828,3.96722480862336,1.7672681901652,36.8870230280158,1.86028197143924
"BHY",0.198553966034384,12.005,0.6897,3.47871584520277,1.93728816267832,47.7219115920753,0.70633066374657
"GSU",0.0611174007611693,14.075,4.418,NA,4,68.004596432947,5.05279311142455
"JIMT-1",0.152789152747873,12.702,40.34,39.9765042019239,0.41738509906561,0,39.9765042019239
"KMRC-20",0.168901655226861,12.449,0.8666,NA,1.7877481694099,52.8237053347231,0.886766851616821
"OUMS-23",0.0766548878580988,13.848,10.77,736.436772592993,0.926637319491122,49.0453095858375,10.2783829849287
"SNU-1076",0.117746159077869,13.237,16.82,16.7065304147953,0.912866877962718,0,16.7065304147953
"SNU-1196",0.264214026960832,11.022,0.472,0.952218520043111,1.91828834385844,36.6872324015165,0.477689576111665
"SNU-8",0.243934866598535,11.332,0.1158,NA,1.45778174082151,56.1060853619283,0.112771729553752
"A-375",0.355599322910849,9.5892,0.6438,0.745894214269989,4,5.8043547943593,0.723235286261517
"A-549",0.208819411964315,11.89,0.8092,1.36269442331327,4,42.2055597457769,0.856253206096185
"NCI-H2009",0.0744106398045277,13.913,0.264,NA,4,84.4941435496433,0.248796027555232
"SNU-201",0.055850590655842,14.132,0.6609,NA,4,84.6238043506967,0.839343333712903
"SUIT-2",0.139164424730318,12.84,0.6701,NA,4,61.9839901250477,0.814858281849472
"COLO 741",0.379370458034267,9.3031,0.01861,0.889554932356489,0.70828833164535,46.7912708961475,0.0184222656747302
"DEL",0.551003514770105,6.7505,0.1083,0.108043729684205,2.29557935300219,1.86948919298881,0.106265003755155
"HARA [Human squamous cell lung carcinoma]",0.277513562323615,10.825,0.379,0.754866463096782,1.94748281020311,36.7737090977743,0.381344158559021
"HCC15",0.334121710731711,9.9756,0.3531,0.663303659398005,1.11733856645394,25.0691701335003,0.355810279363482
"KP-4",0.342868711113905,9.8563,0.1937,0.28818637113038,2.5056301274464,32.1296266982639,0.191135123457617
"Lu-99A",0.489154306985988,7.6595,0.1146,0.130211863598841,1.97840443377192,11.890968676863,0.113510438167265
"NCI-H1155",0.476084329362267,7.8517,0.2205,0.228748375924469,1.53154489986884,3.27288809634916,0.218857291765565
"NCI-H1581",0.358943551803333,9.6051,0.3924,0.549861898601277,1.29919610643346,17.7319901724801,0.392515743232746
"NCI-H2106",0.0424572407602897,14.217,1.112,412.859552909112,0.795130145302035,40.9979820675055,47.7874626783887
"NCI-H358",0.151939567802365,12.681,0.9523,NA,4,58.1621796187829,0.839907174786497
"DLD-1",0.212517288755511,11.677,0.7944,1.39130077024058,4,39.7575419607722,0.936008026281167
"EM-2",0.592496024688213,6.1279,0.05628,0.057819236623649,4,4.79036858276032,0.0563816256827169
"JURL-MK1",0.536256830496218,6.9594,0.1275,0.128245828622003,2.12587868488332,1.58997130856376,0.126311074588846
"P12-Ichikawa",0.464891100585625,8.0156,0.2448,0.252908798676366,1.97807102117128,3.52099034446259,0.243742680473493
"KE-37",0.410583331119127,8.9898,0.5027,0.460827404685764,4,2.72783442625739,0.454409258483769
"KMS-21-BM",0.43450168396103,8.4823,0.2891,0.302066156115923,3.25395578458016,6.65637854813108,0.289090996886851
"Li-7",0.202940119228336,11.949,1.026,4.7488225040493,1.13785480659768,41.2855127852687,1.02277511462906
"MHH-NB-11",0.376861605268093,9.3371,0.5621,0.645304288769922,1.02059971814199,6.32643440761695,0.565195936290979
"MOLM-13",0.581573491307352,6.2581,0.0452,0.049098615140444,2.60449738503007,9.61508030395422,0.0452332159052294
"NCI-H28",0.370886607464642,9.4292,0.2014,0.3541518989426,1.28196712102322,25.928880510123,0.200236764783901
"639V",0.378405025298478,9.3104,0.4419,0.532570918565412,1.34034538267619,10.8799936538979,0.443473097089057
"BxPC-3",0.29673189686138,10.534,0.8857,1.62528955780881,0.768533133089414,17.9898079238987,0.909737180775583
"CML-T1",0.512354723806576,7.3334,0.1667,0.164717114693215,2.24807528378075,1.63503751871096,0.162298995652182
"GSS",0.360661278081939,9.573,1.111,0.9975102066028,0.610235690573786,0,0.9975102066028
"HCC366",0.181266683416807,12.276,2.274,7.5559532795347,0.945046919933818,33.7981982406722,2.29310688678159
"Kuramochi",0.0476093695534355,14.329,4.242,NA,4,77.9928860846315,3.88062676820834
"LS411N",0.158899037277809,12.624,2.924,4.03466852237234,4,33.6143240282833,3.05268118225192
"LS513",0.186154149366162,12.204,2.973,3.88858586399755,2.29529097250685,23.1635614079028,2.96519155302612
"ONCO-DG-1",0.161833898315781,12.722,1.03,NA,4,65.2275171844485,0.289326906922822
"ONS-76",0.251018315597317,11.228,0.3615,2.44104056017224,1.072716361273,43.594716903015,0.359450176112991
"SK-CO-1",0.397901967965823,9.0309,0.3118,0.410474696004062,1.11140272037744,13.2554437572471,0.311113375220859
"SW48",0.403381127420866,8.9371,0.2544,0.288097631630883,2.92612393270362,15.6292688884947,0.253459958898215
"VM-CUB-1",0.392936098426817,9.0957,0.4137,0.52266489958133,0.869144140136827,9.16789065421165,0.414010072661717
"BEN",0.00957928518797132,14.861,89.14,258.226480752407,1.93297133440875,47.3598093704442,56.3879976819581
"CFPAC-1",0.0863545282220976,13.705,0.6217,NA,1.56420588668959,77.4699699575851,0.681808853352446
"HCC78",0.374743581682757,9.2837,0.1569,0.219583202117396,4,26.5209403870481,0.18177191705431
"HT",0.242672851530649,11.666,2.905,3.01308565794823,1.20467252895377,1.86205599306208,2.91964039818287
"KU-19-19",0.198367757500464,12.022,1.433,4.72557866821875,1.1167165637532,36.6530363612816,1.44816309859764
"NCI-H1299",0.20664057348224,11.892,0.489,NA,1.76001747896533,50.1841972235439,0.490406554392268
"NCI-H727",0.16131860594384,12.574,1.696,6.79023906101803,1.73571384669473,45.4977041904725,1.69636188040581
"NCO2",0.471252820815558,7.92,0.1648,0.180340260988102,2.03047557601084,9.49849377437213,0.162566080810766
"OVTOKO",0.14318567234851,12.84,1.265,NA,4,55.6393835709958,1.27954046081355
"P31/FUJ",0.443691760246387,8.4793,0.2759,0.272626289732576,4,6.48131441720357,0.263326262145306
"Peer",0.499396532229581,7.4719,0.2107,0.203038456719152,0.90500635215064,0,0.203038456719152
"RPMI-8402",0.53988533200136,6.8888,0.1129,0.118398148795384,1.0760811369722,2.9016205407515,0.111999628677991
"SHP-77",0.136625265846027,12.949,4.86,8.33877730040786,1.73629449116342,30.39082312652,4.86381420220667
"SNU-1077",0.474083037918593,7.8807,0.2005,0.211721511342233,1.80415062958767,5.47313562769073,0.198544693786072
"SNU-620",0.267265162353692,11.086,0.247,0.409941883839036,4,45.3225843821434,0.226715536010217
"SU-DHL-1",0.501485625203165,7.4921,0.1733,0.172920831675459,3.14381852080504,2.93209138164538,0.169628630094725
"COLO 205",0.257974937508096,11.119,0.9739,1.62297816623941,1.45376210991106,26.0608496482285,0.977888996941686
"DoHH2",0.449562330555052,8.2532,0.1856,0.20405131864752,2.46610053626865,11.7311520225176,0.183084277875534
"EHEB",0.275820680772916,10.849,0.7444,1.22722320697874,1.50929985305737,26.3668228350537,0.746956260656001
"Ki-JK",0.500140901637422,7.4859,0.1056,0.129079402554407,1.20303674950953,11.1024378229484,0.104764299727093
"KMM-1",0.0749018454415052,13.886,0.03488,NA,4,88.9691956321397,0.0312167784709381
