"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.258029351751833,11.141,0.7367,5.38166468199244,0.83076896005169,40.2147744113146,0.755463804834687
"KPL-1",0.197557394006089,12.029,0.4624,NA,1.08722481080002,58.6615573331443,0.457976942974408
"MKN1",0.216091127978139,11.749,6.867,9.08512466181986,0.750913632272758,9.82350109795855,6.78923926292863
"253J-BV",0.251349943496403,11.233,2.317,3.38534220927603,1.53323644898932,21.973749691863,2.32077174239642
"BFTC-905",0.140159227170524,12.889,8.794,13.5958424502648,1.92240937896199,26.5407960424293,9.17160363128869
"BFTC-909",0.243726215581287,11.349,1.036,4.87443461703958,0.990250401371834,39.3341449940043,1.02410334095301
"CAL-120",0.138847561238155,12.912,39.68,39.7879480082379,0.588511213805021,0,39.7879480082379
"CAL-29",0.348978962520857,9.7638,0.8455,1.25623171746578,1.02647815435237,17.0327765773633,0.837236482361277
"CAL-62",0.2436691068777,11.341,1.298,4.73350702758966,0.975217917106732,36.1084094643179,1.27300606065689
"HuCC-T1",0.276871409001988,10.847,0.7697,2.39423679699816,1.08238354281204,35.5026592650288,0.762798884175738
"NMC-G1",0.13878193407131,12.916,1.74,NA,1.15527832760721,60.5961419376243,1.71175336652625
"RPMI-7951",0.343522557461564,9.2529,0.2387,1.06055514362702,1.19708264204381,23.212395911636,0.629679230545728
"HDQ-P1",0.186556461739344,12.205,0.4246,NA,1.37883959936798,61.5234429887408,0.425416735218963
"SiMa",0.328031842491368,10.085,1.131,1.57018322991896,1.18556242454506,16.2971640810191,1.12579404818114
"SNU-489",0.185780190163879,12.208,2.029,214.503138383722,0.625123364313967,47.3593944547798,1.94182724675313
"SNU-626",0.138227307605384,12.932,10.64,89.7432033555757,0.631461439961996,37.5079230241124,9.97990607701872
"SNU-738",0.121566962802305,13.196,33.95,27.1384153040263,0.950251117250934,0,27.1384153040263
"SNU-878",0.242760872716463,11.345,4.288,4.6002895964084,2.72921505960547,7.15247827369361,4.34730147555738
"TUHR4TKB",0.15113479415055,12.733,130,130.390989842322,0.356207120244547,0,130.390989842322
"ACC-MESO-1",0.201089427044371,11.983,1.529,33.0891868654963,0.771913515237219,45.3488135243884,1.52587144616866
"B-CPAP",0.135257671960642,12.964,30.56,30.600695241665,0.712818828526191,0,30.600695241665
"CGTH-W-1",0.219145035565851,11.712,3.246,9.14532516702245,0.758900473699009,26.9681595813231,3.29312509695808
"COLO 680N",0.250259044434421,11.245,5.742,11.2075577255878,0.457638872446051,12.6301144994001,5.93205633341924
"ECC12",0.159418920647985,12.608,1.88,NA,0.69355044861809,54.6579745349531,1.89071735148361
"HCC95",0.223981560127857,11.64,2.485,6.27745479059758,0.977288654111992,29.6599528224986,2.50085158246202
"JMSU-1",0.324071464859151,10.139,1.283,2.11518284676467,0.750307342486659,15.7156307999263,1.27920150861272
"Rh41",0.562989294442944,6.5,0.193,0.187394922480606,1.0296500314046,0,0.187394922480606
"WSU-DLCL2",0.501487168477697,7.4755,0.3328,0.339338691339493,1.21913717723314,1.44599089537111,0.331267889297081
"23132/87",0.373198915392479,9.402,0.918,1.19104530082503,0.81931590535162,10.035278397335,0.906105888983055
"8305C",0.296120719225804,10.558,2.345,4.23144740049014,0.546159152497659,13.6144893704199,2.36449992630796
"BHY",0.3296454716354,10.056,1.477,1.91068534563318,0.90883214168218,10.5610933248521,1.4716591943042
"GSU",0.0354312267960551,14.473,64.38,63.8621918051884,1.96969813681982,0,63.8621918051884
"JIMT-1",0.169894083402409,12.442,3.452,6.72003812905507,2.43795422048245,39.8783427022576,3.48997528647457
"KMRC-20",0.152929767798469,12.704,4.686,77.963868533988,0.723349533436412,43.334664345187,4.80881951434259
"OUMS-23",0.217928448315057,11.716,4.719,5.41099847002375,2.46589020608304,13.9256413810188,4.74006641943081
"SNU-1076",0.409013468010575,8.8647,0.5988,0.808678994039959,0.732007436671866,10.0240310491239,0.595703615420716
"SNU-1196",0.182007208324358,12.269,2.227,9.23173098922158,1.50646094897797,44.0595233094034,2.24472186315214
"SNU-8",0.260540729440972,11.092,2.865,5.55145521058761,0.66721775485598,17.5821118511265,2.89976003671057
"A-375",0.0991607665849184,13.506,6.573,NA,2.91494339376293,55.1481934161174,6.61834423695301
"A-549",0.137398506402244,12.94,3.199,NA,1.46759143429879,52.7437381428886,3.23060848785411
"NCI-H2009",0.25940796607922,11.285,1.153,2.73786691758202,1.33634922327257,30.9380034423145,1.33051565399456
"SNU-201",0.151382968862812,12.727,2.63,NA,1.45293119145527,51.0955017201502,2.65232005417524
"SUIT-2",0,16.348,1.446e-07,NA,1.32351380140395,100,78.0746543412055
"SNU-1079",0.365486827819357,9.5182,1.402,1.48529929464375,0.835299132391162,2.32159350627142,1.40311853151072
"COLO 741",0,14.857,3.209,NA,0,100,255083.897335615
"DEL",0.165474282968973,12.51,6.434,8.29379698120318,2.91761125949231,25.974451981203,6.45146631657803
"HARA [Human squamous cell lung carcinoma]",0.230794446139489,11.54,0.9835,6.73193258969876,1.02920368706612,43.130172589139,0.978533152184369
"HCC15",0.202116957414828,11.969,1.114,695.920241318419,0.679501118355495,49.3712472354202,1.11088513087555
"KP-4",0.196679959611408,12.051,1.589,43.3384215932305,0.765891923099185,46.0222816779853,1.59039904974225
"Lu-99A",0.204078086056138,11.943,1.681,4.14137976994617,2.05378260828754,42.2066922076525,1.6752927684865
"NCI-H1155",0.242642911124063,11.349,7.775,7.24267782282415,0.655493952596097,0,7.24267782282415
"NCI-H1581",0.221850076393221,11.673,3.679,7.09559784427922,0.894653910861431,21.7464325871679,3.74888638262308
"NCI-H2106",0.169712707422029,12.453,5.085,40.6891561077214,0.649382187966512,36.7436594291458,5.26793519342477
"NCI-H358",0.303237175223137,10.452,0.6516,3.46932151305852,0.622865935236836,32.4344446949507,0.646935634825636
"DLD-1",0.0410943229137118,14.418,82.4,NA,1.97579583190895,52.027871984338,29.7803956407955
"EM-2",0.282937449778029,10.761,3.689,4.2704014938361,0.664783670659147,2.91482164942241,3.90147833662223
"JURL-MK1",0.17128653913207,12.418,5.142,7.19877589463702,2.77632743224552,30.0117434710337,5.17408472140546
"P12-Ichikawa",0.157282901039574,12.632,6.089,8.10720788968123,3.45097146087547,31.3001240017079,6.09677256078541
"KE-37",0.199899940538372,11.997,5.212,5.9606636901556,4,17.1133116748429,5.3679338274022
"KMS-21-BM",0.314612572513313,10.222,2.913,2.60330629397506,0.984274401699952,0,2.60330629397506
"Li-7",0.314720660951038,10.281,2.111,2.56991684131757,0.776575513273534,6.94468167563068,2.11978298375125
"MHH-NB-11",0.341050389309262,9.8821,0.8153,2.9812509679439,0.443865312960563,21.8551585800465,0.816828120106535
"MOLM-13",0.38045353297629,9.2954,1.228,1.25789521203162,0.934028121454807,1.34041002144211,1.22182594253821
"NCI-H1975",0.442541198099962,8.3719,0.3726,0.399333213820507,4,10.9292067189676,0.375453355059719
"NCI-H28",0.233810296208144,11.499,1.946,4.68814091926609,1.1195677140303,31.066551340369,1.96925267208122
"639V",0.0420930802171993,14.449,3.963,NA,2.79181660271752,83.9743378004522,4.29323374318778
"BxPC-3",0.341970762768273,9.8698,1.283,1.75205290577142,0.78087671005516,10.8925660792749,1.27906391024703
"CML-T1",0.14956590182083,12.749,7.383,9.93410311261437,2.90374873051109,29.0897755024253,7.35769170852743
"GSS",0.315685422527002,10.264,2.685,2.72740510122213,0.770729594096094,0.403446373277505,2.69888566682252
"HCC366",0.206567557717558,11.899,3.578,8.3776019308189,0.953831092547543,27.5240651119298,3.62292384684638
"Kuramochi",0.164962654030337,12.53,1.104,NA,0.87995998625133,58.2525793834212,1.1106100634226
"LS411N",0.159812778239002,12.587,9.036,11.7165127230166,1.70018594067176,15.5386281293816,9.41299696566854
"LS513",0.220508081713659,11.665,4.723,5.44567372374902,2.1796983075211,12.8554352570921,4.75154481801969
"ONCO-DG-1",0.295263018094185,10.57,0.5425,2.25299152108403,0.900145516917292,36.2269309313268,0.537904750812875
"ONS-76",0.145695184273071,12.809,7.92,18.0566409553994,1.15507448889447,30.2158504312636,8.09175005050665
"SK-CO-1",0.287055503802065,10.583,28.92,4.62010884098703,0.569904887600269,0,4.62010884098703
"SW48",0.375422493907319,9.3649,0.2468,0.563010827855949,1.11501860397589,30.0996534559013,0.246422440662225
"VM-CUB-1",0.316598401051475,10.254,1.554,1.98290040928468,1.15921391308135,12.470001544461,1.54818066301888
"BEN",0.0118805356301729,15.08,4.743,NA,4,59.6910057246084,52.9731602411664
"CFPAC-1",0.138007433538586,12.926,4.024,639.579022977153,0.990112420367372,49.6673344475806,4.0475497690126
"HCC78",0.179722077079529,12.296,4.527,9.24665257344059,1.33681917601096,30.5409930457158,4.56456160997671
"HT",0.406867858964528,8.8949,0.4221,0.595852368345343,1.12279413373706,16.3611721811855,0.418633892873653
"KU-19-19",0.0884822523469432,13.671,980.3,974.387640594395,0.347893878805862,0,974.387640594395
"NCI-H1299",0.120649869296729,13.189,7.228,NA,0.623375479133409,50.4173445379736,7.51439130292196
"NCI-H727",0.185923568722683,12.203,5.505,8.43694727661151,1.43008438011998,22.3773165485721,5.571643040189
