"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0419301708844864,14.374,48.02,47.6230691203547,2.94591562519807,0,47.6230691203547
"KPL-1",0.117623692513328,13.144,1.358e-05,NA,0.0547128447061213,61.3798024997211,1e+06
"MKN1",0.0824689624268311,13.759,100.5,100.221557873289,0.657745646915118,0,100.221557873289
"BFTC-909",0.0525011997606659,14.213,46.52,46.1644707438939,2.06776477380834,0,46.1644707438939
"CAL-120",0.00892790796977603,16.076,0.08779,80.5831850232942,4,0,80.5831850232942
"CAL-29",0.0441162677387649,14.296,34.83,43.3663299565017,4,12.7555773950684,40.2879788311303
"NMC-G1",0,15.621,0.09327,NA,0,100,1e+06
"RPMI-7951",0.0890715958203997,13.677,31.85,31.4290454844955,1.51886499953814,0,31.4290454844955
"HDQ-P1",0,14.635,53.3,NA,0,100,1e+06
"SNU-489",0.0322219014606089,14.51,32.45,NA,4,54.9400479605273,31.7769933281982
"SNU-626",0.0237861244418952,14.655,50.34,61.9442590817119,4,28.4298189147959,50.2021144402181
"SNU-738",0.07659552676577,13.808,7.645,NA,2.37068076318323,55.639785371057,11.0142127456654
"SNU-878",0.00604976261203282,14.728,0.6503,45.99810831508,4,0,45.99810831508
"TUHR4TKB",0.0739877543741771,13.878,41.78,32.6876113421365,2.45014885182899,0,32.6876113421365
"ACC-MESO-1",0.0269436873552612,14.602,56.76,56.3678186696349,3.64294986299351,0,56.3678186696349
"B-CPAP",0.0305570499989362,14.565,52.71,52.1425280048093,4,0,52.1425280048093
"CGTH-W-1",0.0329805073135332,14.661,58.48,50.3799464484287,4,0,50.3799464484287
"COLO 680N",0.0178990216769373,14.814,64.48,64.3548922838763,4,0,64.3548922838763
"ECC12",0.010576107489978,14.766,37.01,76.5377164653349,4,0,76.5377164653349
"HCC95",0.0405886846008068,14.602,0.469,NA,4,70.2140418604857,16.0025927107041
"JMSU-1",0.0503043516507021,14.242,41.44,41.2968198199652,3.39662981764937,0,41.2968198199652
"Rh41",0.0842843074410726,13.723,58.77,33.9821905704958,1.48667188436141,0,33.9821905704958
"SNU-175",0.0792636038249871,13.771,40.14,39.4484998451653,1.32177221015026,0,39.4484998451653
"WSU-DLCL2",0.0812993918470064,13.781,31.02,29.9597658466681,2.43433210091846,0,29.9597658466681
"23132/87",0.0368446798131076,14.578,54.62,47.8029954190923,4,0,47.8029954190923
"8305C",0.0341734149081269,14.669,54.97,49.5560529564557,4,0,49.5560529564557
"BHY",0.0435993613904404,14.351,48.27,47.9522349175111,2.65587824686715,0,47.9522349175111
"GSU",0.0166100890695291,14.943,66.05,66.0622683183366,4,0,66.0622683183366
"JIMT-1",0.013666391813224,14.693,2.351,77.2689029957883,4,27.7855927618097,63.0842476118616
"KMRC-20",0.0256077351156326,14.626,65.83,57.7089083693948,3.62483289912452,0,57.7089083693948
"OUMS-23",0.0112940432381535,15.567,0,74.9894209332456,4,0,74.9894209332456
"SNU-1076",0.0361316067200643,14.464,52.49,52.1225830282746,2.91243438613925,0,52.1225830282746
"SNU-1196",0.0190396316033205,14.815,64.08,62.9463296787964,4,0,62.9463296787964
"SNU-8",0.0266516541743188,14.864,62.76,55.2805813598359,4,0,55.2805813598359
"A-375",0,14.936,64.38,NA,4,100,1e+06
"A-549",0.0305607430050084,14.647,57.04,52.1397441842273,4,0,52.1397441842273
"NCI-H2009",0.0800928385182627,13.808,30.73,31.6801008996719,2.02941425443216,3.50131398818373,30.5668289465059
"SNU-201",0.027377259196742,14.588,223.1,220.305798289934,0.959834807880428,0,220.305798289934
"SUIT-2",0.01508538714491,14.712,39.18,68.269697280193,4,0,68.269697280193
"SNU-1079",0.0258488896392989,14.875,62.8,55.9797116224452,4,0,55.9797116224452
"COLO 741",0.142066910093294,12.87,102200,106077.941958267,0.148466028178694,0,106077.941958267
"DEL",0.185329419603094,12.436,8.18,7.79178401468998,4,12.7620377803967,7.23837170458783
"HARA [Human squamous cell lung carcinoma]",0.114968458188716,13.263,19.07,20.722114202163,1.92632943574413,5.6972944549247,19.4607475885448
"HCC15",0.061662283443643,14.07,43.48,43.29170500139,1.76685355134032,0,43.29170500139
"KP-4",0.0574361298516164,14.134,62.78,40.4863433093319,2.43709515539342,0,40.4863433093319
"Lu-99A",0.109192348840656,13.346,24,25.2652167939544,1.36380948827672,2.42570913243469,24.3605304278426
"NCI-H1155",0.0347184605841743,14.49,49.71,49.210262689515,4,1.51055086911802,48.8343031483729
"NCI-H1581",0.0789527834383717,13.807,26.93,38.444391886749,1.53576375950386,20.540412683857,27.2419064279832
"NCI-H2106",0.021402233974452,14.688,65.95,65.5641973118438,3.16008250042865,0,65.5641973118438
"NCI-H358",0.107924508978656,13.377,48.52,25.9801361325098,1.33182438373522,0,25.9801361325098
"DLD-1",0.0214997353285753,14.915,64.46,60.1792104174794,4,0,60.1792104174794
"EM-2",0.167483496020316,12.409,19.62,12.6606243791534,1.26918203183721,0,12.6606243791534
"JURL-MK1",0.138469489490359,12.913,13.95,15.9178821434206,1.7088381044277,8.00737980373813,14.3724033739619
"P12-Ichikawa",0.0837506691501993,13.722,36.34,30.1446240878835,2.06374806632622,0,30.1446240878835
"KE-37",0.0369871205274259,14.54,53.22,47.7128144727748,4,0,47.7128144727748
"KMS-21-BM",0.10541352485053,13.408,26.63,26.7122706298865,1.34733000694061,0,26.7122706298865
"Li-7",0.158457687277494,12.617,20.24,20.3140091169004,0.740293024768522,0,20.3140091169004
"MHH-NB-11",0.138579217418949,12.916,20.41,20.4832408624057,0.997139266414957,0,20.4832408624057
"MOLM-13",0.219851762228737,11.709,5.134,6.54803289521216,1.1514331308996,11.2813345057959,5.24404187998403
"NCI-H1975",0.236548828980446,11.426,4.165,4.47417749179738,4,10.517068360473,4.21767445777491
"NCI-H28",0.1085644778859,13.357,26.13,26.254494295987,1.28491386669449,0,26.254494295987
"639V",0.0326335362044615,14.522,49.32,50.9622495531939,4,10.4761299550028,48.0530496191423
"BxPC-3",0.116660716966713,13.211,54.53,23.2088296472465,1.32495804191376,0,23.2088296472465
"CML-T1",0.0415259451735081,14.41,45.24,44.9923208954063,4,0,44.9923208954063
"GSS",0.0459651812340857,14.316,41.99,43.1230746272611,3.61094554317941,9.09765304616503,40.7901110723543
"HCC366",0.0444619426165388,14.343,43.68,43.3718643404496,4,0,43.3718643404496
"Kuramochi",0.0320366362117427,14.524,59.55,59.1363368546635,2.52401583208622,0,59.1363368546635
"LS411N",0.0221247794405808,14.872,63.91,59.5267431870789,4,0,59.5267431870789
"LS513",0.0360800604822178,14.464,38.05,50.9205716835609,4,33.5573831391146,38.5605752413271
"ONCO-DG-1",0.0196184029354335,14.894,64.78,62.2641545841988,4,0,62.2641545841988
"ONS-76",0.0348507913669395,14.481,62.66,62.1953834553787,2.08785327907689,0,62.1953834553787
"SK-CO-1",0.0528520260289115,14.221,46.96,39.218230278491,4,0,39.218230278491
