"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.260688994766908,11.677,0.09753,0.0673355323906592,4,0,0.0673355323906592
"KPL-1",0.352382088091789,9.755,0.03253,0.0321891668924896,0.555132856988938,0,0.0321891668924896
"MKN1",0.559888070126545,6.4782,0.003617,0.00296198451234167,0.749592841059974,0,0.00296198451234167
"253J-BV",0.291752276510743,8.6782,3.38e-05,0.0472973248400916,4,1.24378708151327,0.0470004014752802
"BFTC-905",0.29139148988216,10.839,0.05117,0.0485089718653263,4,0.402676440351099,0.0484110084095266
"BFTC-909",0.161092277782226,12.582,0.1885,0.191227304528841,2.03325921328166,0.521834992760183,0.190243119903349
"CAL-120",0.451540004157007,8.5757,0.007689,0.0069019229436643,4,6.76229735894039,0.00665569263718375
"CAL-29",0.295721508418724,10.641,0.04446,0.0448376543445112,4,1.69146915800283,0.0444535389656894
"CAL-62",0.295076452975557,10.761,0.04819,0.0471711144102486,4,0,0.0471711144102486
"HuCC-T1",0.517740536606666,7.2747,0.004239,0.00432063510219273,4,1.73644347088649,0.00428262372936938
"NMC-G1",0.163277527299136,12.803,0.211,0.180829744758519,4,1.69957677614351,0.179273089212127
"RPMI-7951",0.345837674516684,9.6972,0.03162,0.0279907395891968,1.47303490205441,0,0.0279907395891968
"253J",0.204812685805025,11.988,0.08536,0.0969188197349107,4,11.695242157506,0.0906731693042229
"SNU-489",0.439662363832495,8.2936,0.0117,0.0105882097695498,1.22830381525805,0,0.0105882097695498
"SNU-626",0.399698065317296,9.0308,0.0151,0.0152871283016269,1.76869764406548,1.45189433171211,0.0150345432467897
"SNU-738",0.511835178750213,7.3074,0.005192,0.00500177569632629,1.16826781387698,0,0.00500177569632629
"SNU-878",NA,NA,NA,NA,NA,NA,NA
"ACC-MESO-1",0.497814633626901,7.6053,0.005032,0.00523919490235744,4,2.09024348812389,0.00518355898324217
"B-CPAP",0.272198184493794,10.819,0.06432,0.0599372293486938,1.87325045733659,0,0.0599372293486938
"CGTH-W-1",0.416067041945649,8.7015,0.01588,0.0136346186585315,1.00259677720595,0,0.0136346186585315
"COLO 680N",0.28892929756841,10.669,0.05111,0.0502783821020936,2.57977917732346,0,0.0502783821020936
"ECC12",0.264444178174296,11.052,0.06454,0.0647109712972352,2.02554354082394,0.160046616589634,0.064608626640942
"HCC95",0.21870370846825,11.758,0.1134,0.118158951721042,0.954560395275987,0,0.118158951721042
"JMSU-1",0.289965316697198,10.695,0.04299,0.0439415968793514,4,4.71784008400112,0.0428662130366138
"Rh41",0.305470725592749,10.487,0.04171,0.0423599317813241,4,0,0.0423599317813241
"WSU-DLCL2",0.473299692178545,7.9512,0.005494,0.00578282105873755,4,5.4665047304833,0.00561783459841577
"23132/87",0.243452540176918,11.393,0.06937,0.0738767520663907,4,4.07042333937392,0.0723249935030725
"8305C",0.233384401255517,11.503,0.0699,0.0794023978463998,4,5.793531468924,0.0769950086730817
"BHY",0.275661924706417,10.887,0.04945,0.0509769456966732,3.46234219050111,5.14355379941682,0.0494034485211768
"GSU",0.158572794743787,12.493,0.1333,0.162320531343976,4,13.4770676667354,0.150062564558377
"JIMT-1",0.249813827807752,11.394,0.06348,0.0635039574765012,4,7.58756480254897,0.060944089336497
"KMRC-20",0.30972917625923,10.383,0.04025,0.0405413433082004,1.31653307770402,0.629686777853819,0.0401529413815244
"OUMS-23",0.596233006948036,6.1038,0.00209,0.00207098356170097,1.08393315828853,0,0.00207098356170097
"SNU-1076",0.0839242442105025,13.753,0.5337,0.524278217689764,1.46891074842749,0,0.524278217689764
"SNU-1196",0.211336077617717,11.846,0.06611,0.0798913176501352,2.59964143554692,19.5207151326974,0.0660403315805637
"SNU-8",0.421180610742527,8.6818,0.0134,0.0128498815696286,1.15893799624392,0,0.0128498815696286
"A-375",0.267287570229977,11.068,0.05514,0.0557479827716204,4,5.05145395039105,0.0542832158326904
"A-549",0.314668998305265,10.832,0.05108,0.0365718510045297,4,1.84173569585811,0.0362303181021479
"NCI-H2009",0.341933144751161,9.926,0.04369,0.0429889261618262,0.453315503766861,0,0.0429889261618262
"SNU-201",0.209226363437892,11.956,0.08447,0.0947888886944575,4,10.2849258077879,0.0894857278963719
"SUIT-2",0.0875667368953563,12.702,0.516,0.446630012417256,1.92158097888059,0,0.446630012417256
"SNU-1079",0.264188624471234,11.058,0.05635,0.0578813181971051,3.79988339083746,4.95456675032892,0.0563134237622652
"COLO 741",0.370615516844953,9.4867,0.006441,0.0090859463414696,1.85752729036184,24.1310064422365,0.00637234820575789
