"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.164978886295731,14.611,31.09,2686.9101763263,0.17874327700358,0,2686.9101763263
"KPL-1",0,16.115,0.1811,NA,0,100,1e+06
"MKN1",0.0335894568223299,14.651,27.29,24.9779970788382,4,0,24.9779970788382
"BFTC-905",0,17.636,3.71e-06,NA,4,100,1e+06
"BFTC-909",0.160916965312515,12.586,4452000,6522304.0371138,0.101306849036374,8.65094379841841,1e+06
"CAL-120",0.0897011787992294,14.718,32.96,52.8046382912567,0.600536600940876,0,52.8046382912567
"CAL-29",0.0366724246687469,14.453,3.05,NA,4,84.7455956010106,2.70547369589242
"HuCC-T1",0,15,562.8,NA,0,100,1e+06
"RPMI-7951",0.358702236453481,9.6148,1.545,1.55233480425272,0.333640568127761,0,1.55233480425272
"253J",0.304014628182994,10.442,8.488,8.52539697835065,0.24114737840104,0,8.52539697835065
"ALL-SIL",0.109392511914434,13.152,1.693,NA,4,60.2853987173607,1.87890948579862
"HDQ-P1",0.125299248836974,13.119,133.5,133.901615835477,0.353378097247317,0,133.901615835477
"SNU-489",0.165391301174758,12.529,519.1,571.0450897677,0.218338786586057,0,571.0450897677
"SNU-626",0.0306960280525217,14.524,26.09,26.1945764089941,3.87506535023875,0,26.1945764089941
"SNU-738",0.166182732456797,12.512,20.33,20.5818437200524,0.461428986084373,0,20.5818437200524
"SNU-878",0.309527899511254,10.357,108.5,110.273192964864,0.129664817225196,0,110.273192964864
"TUHR4TKB",NA,NA,NA,NA,NA,NA,NA
"ACC-MESO-1",0.173542906913364,12.397,4.29e+15,1.4962933003466e+26,0.0499912068762124,45.0977374253947,1e+06
"B-CPAP",0.0932240687913777,13.654,880800,859677.491656952,0.156557894297803,0,859677.491656952
"CGTH-W-1",0.208799441745559,11.806,21140000,43912206.5713252,0.0741598560149898,12.2292057004088,1e+06
"COLO 680N",0.159716841284507,12.605,9.585e+16,7.74182609178843e+48,0.0496906285691007,49.6303473190425,999881.552170645
"ECC12",0.161893333333334,12.574,5.621e-99,NA,0,67.6213333333332,0.000496958330679286
