"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.12350197018076,13.132,17.12,18.2684041574866,4,0.126503692971664,18.2568380751009
"KPL-1",0.106311631489379,13.392,25.83,26.0417474012,1.38403836850831,0,26.0417474012
"MKN1",0.161905331700401,12.545,14.25,12.6936696536716,1.68300083052286,0,12.6936696536716
"253J-BV",0.147871629798402,12.771,11.89,12.915511342343,3.20975284124373,9.33986506372745,12.1097172456888
"BFTC-905",0.135262221874391,12.987,16.02,16.1715010389524,4,0,16.1715010389524
"BFTC-909",0.130759934844695,13.018,13.34,14.7888010776714,4,13.6878036656262,13.6522299835401
"CAL-29",0.0992778135326535,13.601,18.73,21.2993034561268,3.76447351593382,16.9081927638225,19.0875113698585
"CAL-62",0.1182404563078,13.221,16.23,18.1015296372944,4,8.14530378742504,17.3144548862507
"HuCC-T1",0.186588556706234,12.187,7.755,8.46086794514518,2.57498037396863,8.96859557878085,7.83562151717818
"NMC-G1",0.0606103931669921,14.085,29.22,36.3669038903932,3.13852504723166,25.4764347503135,28.9820649159037
"RPMI-7951",0.135438938450641,12.965,13.53,14.5815255438721,4,10.0400994510522,13.7868979690237
"ALL-SIL",0.292436354522538,10.589,2.863,2.96995668078922,2.33076154415643,2.62215461551912,2.90210253489816
"HDQ-P1",0.0630983562315058,14.04,38.31,35.0111787138358,3.80751050223814,0,35.0111787138358
"SNU-489",0.0527941571631885,14.215,40.52,40.2145132856309,3.30290781544885,0,40.2145132856309
"SNU-626",0.0998304026015705,13.465,51.5,25.2460563642484,1.90836920568159,0,25.2460563642484
"SNU-738",0.131731037702358,13.017,14.66,15.8872763544418,3.03241145430622,7.47019869095772,15.0617099576489
"SNU-878",0.184933469709474,12.214,9.402,9.54331589967829,2.74236876963317,0.952748163578193,9.47659989358067
"TUHR4TKB",0.0810556402034961,13.771,30.18,30.280803764717,2.33728613508411,0,30.280803764717
"ACC-MESO-1",0.0814490185641775,12.589,4.469,7.43074291340278,4,33.2545001027796,5.65280838269522
"B-CPAP",0.130827027972615,12.543,4.081,7.22891363745748,2.69120196073465,38.6071807926881,4.17245851720666
"CGTH-W-1",0.295929545363089,10.558,0.156,3.38571049404374,1.30456349448495,49.1023583774332,0.155372104283315
"COLO 680N",0.0384106955861434,13.297,10.33,15.423904084387,3.40809613167384,37.8168171584104,10.1921803943066
"ECC12",0.0746228445027765,14.044,5.199,8.25185584069436,4,39.5304107853153,5.58202197283752
"HCC95",0.0522130686230668,14.798,0.5152,NA,4,88.9172714381939,0.490655695832053
"JMSU-1",NA,NA,NA,NA,NA,NA,NA
"Rh41",0.129871092508803,10.967,15.77,5.98445248742738,1.4781879703392,0,5.98445248742738
"SNU-175",0.108034086577915,14.447,9.615,NA,4,59.4714345383121,4.12171324306553
"WSU-DLCL2",0.279248804305746,10.124,1.987,2.0468231397636,2.78851371054467,3.32282757390458,1.99696358278333
"23132/87",0.0510098141402746,12.964,8.451,11.1699822692284,4,24.8103274977984,9.41056314007438
"8305C",NA,NA,NA,NA,NA,NA,NA
"BHY",0.0287351878941337,12.966,14.29,14.6180270137029,4,0,14.6180270137029
"GSU",NA,NA,NA,NA,NA,NA,NA
"JIMT-1",0.0472383839986836,13.425,8.052,13.9984026947966,4,44.8775151832538,7.91965296878643
"KMRC-20",0.0607897264573191,12.564,9.038,9.92570144134464,4,14.7334430319346,9.09618893054652
"OUMS-23",0.0464976844132286,13.114,8.937,11.9960698915187,4,29.8755311615515,9.55493183023674
"SNU-1076",0,16.198,0.2441,NA,4,100,1e+06
"SNU-1196",0.0531521438810037,13.234,7.137,12.7496831093357,4,45.0981859470979,7.13421342894862
"SNU-8",0.0715137254702001,12.702,7.192,10.1014268834496,2.49772486810917,29.0218798082446,7.13450613210889
"A-375",NA,NA,NA,NA,NA,NA,NA
"A-549",0.0437214431834194,13.053,8.534,12.3146929802041,4,24.7049492911434,10.3858005080106
"NCI-H2009",0.0406689012473241,13.798,6.605,NA,4,53.9815480591245,7.72167429626717
"SNU-201",0.0445140681093429,12.916,16,16.482526715289,1.79068342250826,0,16.482526715289
"SUIT-2",NA,NA,NA,NA,NA,NA,NA
"SNU-1079",NA,NA,NA,NA,NA,NA,NA
