"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.121067231904445,13.149,27.9,28.3877127924334,4,0,28.3877127924334
"KPL-1",0.126250204909292,12.984,32.4,27.3692372181171,2.37216925460231,0,27.3692372181171
"MKN1",0.104816068623103,13.234,28.67,33.6757341881835,4,0,33.6757341881835
"BFTC-905",0.113873273180434,13.104,25.96,30.6136043017815,4,0,30.6136043017815
"BFTC-909",0.104772750600676,13.381,29.66,33.6305881754268,4,0.296332866742074,33.5806478026498
"CAL-120",0.146795838980989,12.363,15.67,21.6920376422465,4,0,21.6920376422465
"CAL-29",0.198659618129097,12.088,12.31,12.058604224069,4,2.88108821409001,11.8810097771693
"CAL-62",0.0886435479695736,13.796,42.26,39.9773828755692,4,0,39.9773828755692
"HuCC-T1",0.107506049853129,13.3,29.01,32.7342724351481,4,0,32.7342724351481
"NMC-G1",0.185029241734247,12.279,12.46,13.8681769054227,4,3.30114725666913,13.6333763853144
"RPMI-7951",0.123868443263402,13.107,26.85,27.5666017742796,4,0,27.5666017742796
"253J",0.135349556021555,12.509,17.13,24.4465437253342,4,0,24.4465437253342
"HDQ-P1",0.0279118182538648,13.793,40.62,42.2552813542033,4,0,42.2552813542033
"SNU-489",0,15.594,0.04768,NA,3.34147240042921,100,1e+06
"SNU-626",0.0151259165173548,14.882,1644000,NA,4,93.1316878919737,10.0913364431367
"SNU-738",0,15.484,0,NA,0,100,1e+06
"SNU-878",0.0638280596488525,14.12,23.46,NA,4,56.4557180034727,21.7405173290777
"TUHR4TKB",0,15.706,0.07723,NA,0,100,1e+06
"ACC-MESO-1",0.0158437499999998,14.759,0,NA,0,96.83125,812.702363399072
"B-CPAP",0,15.039,2.261,NA,0.988274170387825,100,177.244156812302
"CGTH-W-1",0.00661972015275885,14.881,0.6033,NA,0.837777828409137,99.0993669521641,0.0419203364670403
"COLO 680N",0.0347529937985769,14.449,0.00592,NA,0.0315856600454598,92.4497231672775,85.5515660930191
