"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.096519781213343,13.56,6.72,10.9490493100389,2.77913721811579,37.6747196091771,6.61517227283721
"KPL-1",0.0441828838077271,14.545,0.4619,NA,4,75.0653001970911,5.22308184319884
"MKN1",0.166682385701758,12.487,4.347,4.80898140692019,3.62557212119124,14.018598019135,4.39178283228432
"BFTC-905",0.112156708547221,13.309,8.187,9.38931993504069,2.82709663425449,17.7161654388439,8.04327140971306
"BFTC-909",0.194091559502752,12.103,1.616,2.65286615170946,2.1880490092029,33.0296981600365,1.6189780714844
"CAL-29",0.112006332684575,13.314,9.151,10.3450743821776,2.15774043222945,9.42283361651188,9.39083764359081
"CAL-62",0.16544911082049,12.544,2.552,4.8240732896277,1.68198771128775,37.869511497294,2.07835892780703
"HuCC-T1",0.198195243775852,12.031,3.713,4.06144849349525,1.63072145608663,5.70583623494862,3.77060360892316
"NMC-G1",0.0532221543489892,14.163,8.824,NA,4,55.7566622610084,9.45567406702228
"RPMI-7951",0.179693197418763,12.279,2.545,3.80474300064277,1.94640374430383,27.1293195636745,2.54567522359482
"253J",0.232046201488831,11.507,2.458,2.5889442502908,4,6.40729330009193,2.50169094339387
"HDQ-P1",0.0980530366550042,13.42,7.051,14.8184348350562,1.57605862594412,30.8971411215774,8.04757846428392
"SNU-245",0.103082859990713,13.466,15.28,12.9543044513926,1.54315032432998,0,12.9543044513926
"SNU-489",0.134743452541073,12.98,6.243,9.31580186530055,1.27409923486095,18.2445711011733,6.52351832503702
"SNU-626",0.110368270050487,13.368,7.744,9.26280831857887,2.98150950018759,21.5759201839532,7.66433395499987
"SNU-738",0.276838918320551,10.866,0.9238,1.04788715782856,3.27568159250582,20.1518452871066,0.895191130885709
"SNU-878",0.048651839294511,14.329,15.51,20.533997704992,4,32.5964874683812,15.7721259179729
"TUHR4TKB",0.167217393855547,12.472,5.324,6.05990198036462,1.32337491955786,8.00958320124096,5.31095750486211
"ACC-MESO-1",0.148131397617741,12.744,8.511,7.42739861801053,1.6478869166089,0,7.42739861801053
"B-CPAP",0.194250678742451,12.101,0.9597,1.87026516936354,2.87885440005463,43.7264628350259,0.909436840198881
"CGTH-W-1",0.281761589756109,10.779,0.7014,0.882961976042435,2.65467851217746,24.2765278698272,0.687405572375888
"COLO 680N",0.154265947889956,12.674,5.126,6.94344472610662,1.3278674706931,16.1738468486258,5.17324426992682
"ECC12",0.214195158180599,11.77,2.557,2.78283201789885,3.94117944428721,12.46137889578,2.5876144753418
"HCC95",0.234938211429495,11.484,1.34,2.05170621015001,1.50704681284684,24.0410764705335,1.32804785559592
"JMSU-1",0.295441172523766,10.581,0.85,0.992956587224383,2.18929327468218,16.6766196737997,0.824969887855349
"Rh41",0.330253364049799,10.031,0.8069,0.824675434964695,3.05087244748758,8.35230319565435,0.776720189627319
"SNU-175",0.341525267010092,9.8778,0.1945,0.819675046377848,0.667062121731267,30.4927755828683,0.199914101367089
"WSU-DLCL2",0.371191221548817,9.4302,0.525,0.550577517020686,2.83321560532436,6.83162591703597,0.522755207629334
"23132/87",0.179435805572062,12.476,3.898,3.9422406254416,4,15.9325275343796,3.58167030617414
"8305C",0.149681830096995,12.763,2.912,4.05112877336074,4,35.1302918583536,2.9916388081953
"BHY",0.141367892452426,12.872,7.026,8.049142578273,1.46357101093471,8.18898989647771,7.123187993779
"GSU",0.0363365442715722,16.332,0,NA,4,53.0373659562729,14.9048788094471
"JIMT-1",0.0423049943503105,14.357,23.19,27.4104533591257,2.09837837664454,5.38305703716745,25.962157389352
"KMRC-20",0.0558026571104909,14.159,13,18.4792929837347,4,36.6527864636783,13.2828265691945
"OUMS-23",0.0525797084774463,14.253,16.48,19.2600769329404,4,18.9697513141059,17.094713653533
"SNU-1076",0.143520212764878,12.809,10.27,8.05575641862705,1.45494348088497,0,8.05575641862705
"SNU-1196",0.180784002809566,12.29,1.83,3.73302182355329,1.69702076627844,34.8896142061464,1.84425610105247
"SNU-8",0.20812117097897,11.911,3.17,3.3270842568765,4,7.19772681995981,3.20028021690468
"A-375",0.184443333270373,12.422,3.804,3.78995328557008,4,14.7785264525415,3.47210808607467
"A-549",0.100604597330969,13.475,7.108,10.9085456410598,2.4196576429068,32.747926914303,7.02712299273812
"NCI-H2009",0.269968680466738,10.963,1.009,1.22629811315315,2.39259058971543,19.8353030609319,0.992811049619403
"SNU-201",0.0964154804041972,13.639,3.824,NA,4,55.1318107393422,3.52827564169028
"SUIT-2",0,17.708,0.0002474,NA,1,100,33
"SNU-1079",0.104326386447237,13.428,11.15,11.55540727479,2.22684907516434,1.97669728105665,11.3479795693645
"COLO 741",0.137264933079233,13.56,0.09123,34168459508.7916,0.0914859925388704,30.7599239245617,1e+06
"DEL",0.305492064200119,10.437,1.2,1.21905422466227,2.77759842190727,4.65686246809715,1.17689305434491
"HARA [Human squamous cell lung carcinoma]",0.204620054206611,11.944,2.779,3.12636260094054,4,12.2876204166731,2.91351883398099
"HCC15",0.118510450842828,13.213,9.323,10.4241780242666,1.60340557999183,6.9266386625633,9.49843409806881
"KP-4",0.229145444524321,11.554,2.102,2.29625116935373,4,13.0071785931215,2.12964028437137
"Lu-99A",0.218655308649239,11.705,2.455,2.66483990173238,4,11.9918179775425,2.48827224791033
"NCI-H1155",0.300230244984507,10.698,0.9123,0.893827180607262,4,15.6329559453577,0.813854184736636
"NCI-H1581",0.266951435508867,11.017,1.198,1.34166381493205,3.0078725608886,16.8160926955661,1.17071597329508
"NCI-H2106",0.1498508793133,12.742,7.039,7.42865623042605,1.44025432132116,2.72940718528839,7.14469050306073
"NCI-H358",0.146017979547804,12.801,5.05,7.06501144746466,1.57410479044517,19.9115683718306,5.11668277611741
"DLD-1",0.134420653639021,12.971,6.501,7.74437258299852,2.02941842766677,14.6218492375922,6.53066944785395
"EM-2",0.187434358909442,12.181,4.452,4.58945280529739,2.34013475760905,2.37412843955773,4.49503178098493
"JURL-MK1",0.227733723928478,12.066,3.969,3.08676981727149,4,0,3.08676981727149
"P12-Ichikawa",0.308334245306748,10.389,0.9913,1.07865479736734,1.94500630442677,8.92754179784957,0.97491160407624
"KE-37",0.282240614340875,10.454,1.114,1.47067771406117,4,6.67755889898713,1.41890474251149
"KMS-21-BM",0.21734646675264,11.792,2.958,3.12037554010215,4,5.2335326917665,3.03530662490652
"Li-7",0.124943736037398,13.103,9.921,9.49702866479119,1.81748493163612,0,9.49702866479119
"MHH-NB-11",0.270766179444218,10.961,1.786,1.82634247053561,2.50569280179435,3.68969695827711,1.77131386192388
"MOLM-13",0.275527064249241,10.905,1.124,1.18514596560009,4,16.310614393325,1.0737486086311
"NCI-H1975",0.215638816297486,11.758,2.28,2.6854271565567,2.47214109089294,15.7139508107921,2.30533349924539
"NCI-H28",0.265767077781429,11.018,1.668,1.80249611122013,2.05554436419538,7.41083494108397,1.66717124506834
"639V",0.127780562006224,13.082,5.709,7.49344662095452,2.47932558338349,24.2876228750302,5.73042886425252
"BxPC-3",0.155891088504263,12.655,6.437,6.61314341781691,1.94228036008696,1.20055229376054,6.53090786781326
"CML-T1",0.235478517021524,11.46,2.6,2.8145980476818,4,0.597482561012105,2.80615173771869
"GSS",0.234662267244128,11.461,2.46,2.69140427835633,4,3.23819669208311,2.64672762348011
