"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0556533333333336,14.113,0,NA,0,88.8693333333333,1813.33936196201
"KPL-1",0,15.838,0.4068,NA,0,100,545715.581406902
"MKN1",0,15.774,0.6506,NA,0.644326917806875,100,0.116708973952846
"253J-BV",0,14.736,1.043,NA,0,100,1e+06
"BFTC-905",0,15,1.901e+15,NA,0,100,1e+06
"BFTC-909",0,16.452,0.03228,NA,0,100,1e+06
"CAL-120",0.00581641973471286,15,7.274e-12,NA,0.0192096626825568,98.6492049925414,763850.085015069
"CAL-62",0,15.024,46.06,NA,0,100,1e+06
"NMC-G1",0.0295723989553375,14.667,0.3536,NA,4,95.3257058005918,0.0913818582098495
"253J",0,14.995,0,NA,0,100,1e+06
"ALL-SIL",0.0606360655034968,14.106,16.43,NA,4,54.0268264219926,16.7504523877016
"SNU-489",0,15.427,2.089,NA,0,100,1e+06
"SNU-626",0,15.621,0.3543,NA,0,100,1e+06
"SNU-738",0,15.869,0.3665,NA,0,100,1e+06
"SNU-878",0,16.206,0.3413,NA,0,100,1e+06
"TUHR4TKB",0,15,2.095e+16,NA,0,100,1e+06
"ACC-MESO-1",0,15,2.927e+24,NA,1,100,0.13
"B-CPAP",0.0111759913691669,14.784,0.3498,NA,4,97.7320417134066,0.391670885966166
"CGTH-W-1",0.00607494351876173,14.876,33890,NA,4,95.889407710736,14.1904320659286
"COLO 680N",0,15,1426,NA,1.04977123871264,100,58.358740665382
"ECC12",0,15,2.844e+16,NA,1,100,0.0081
"HCC95",0,16.806,9.2e-93,NA,1.1779051426213,100,99.7069489699624
"JMSU-1",0.00422456678648776,15.298,40.79,99.6773266222788,4,0,99.6773266222788
"Rh41",0.0412042271899125,14.331,0.2656,NA,4,91.668495574257,0.270843347871893
"WSU-DLCL2",0.0074128062927216,15.451,0.04394,738.023956554779,1.03175695241645,0,738.023956554779
"23132/87",0,15,5.09e+10,NA,0.968745350438223,100,19.8464356530553
"8305C",0,15.309,6.156e-06,NA,1.14136695512513,100,79.0306693374594
"BHY",0.00492500000000023,15.111,1.321,NA,0,99.015,94.9732309227902
"GSU",0,15,0,NA,1.00723916642989,100,1.45327492041301
"JIMT-1",0,15.285,30.55,NA,0.78064355233449,100,0.0176142798945396
"KMRC-20",0,14.804,0,NA,0.946768627013656,100,0.00422081069123845
"OUMS-23",0,15,1.526e+15,NA,0.996349186204665,100,0.72599461303996
"SNU-1076",0.0234667834866733,14.863,0.2705,NA,4,97.6533215598485,7.13790920259361e-05
"SNU-1196",0,15.29,0.06317,NA,0.836584049466009,100,1.26329712470511
"SNU-8",0.0049914231157886,14.977,43.27,95.2133759439735,4,0,95.2133759439735
"A-375",0,15,3.199e+23,NA,0.248964315669565,100,1921.82254542045
"A-549",0,15.22,1.824e-115,NA,0,100,47026.571355416
"SNU-201",0,15,39910000,NA,1,100,33
"SUIT-2",0,16.309,0.0006656,NA,1,100,4.2
"SNU-1079",0,16.435,3.124e-88,NA,0.596508872764087,100,1e+06
"DEL",0.0122502548530662,14.924,2.403,NA,4,85.5266690448119,27.5644993814969
