"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.205748095560033,11.924,2.308,3.77551085092468,1.10435456753393,20.5853087915535,2.33529583070162
"KPL-1",0.0511519430308962,14.222,134.3,132.137271473851,0.643800356479546,0,132.137271473851
"MKN1",0.339505946536535,9.9074,0.6417,0.745657683255646,1.49486167600612,10.6011594842784,0.635786512179932
"253J-BV",0.156841465898885,12.648,3.908,11.3076672770706,0.850926180624894,30.5148967592979,3.73599392334642
"BFTC-905",0.202812999738077,11.944,2.479,2.81961549801682,4,17.9223149623374,2.52346998020435
"BFTC-909",0.244429589394917,11.344,1.972,2.15706239820147,2.44148996011071,9.71089936937713,1.9744709179764
"CAL-120",0.141791149382453,13.088,5.884,5.75949411050389,4,21.9620602234306,4.98400376903456
"CAL-29",0.263240935780536,11.056,1.091,1.55952078206928,1.38808483661184,20.1462069032737,1.07557080951544
"CAL-62",0.30518193824494,10.448,0.2047,0.290454860624644,4,37.4849747650409,0.205444292212653
"HuCC-T1",0.211280424698596,11.83,2.214,2.73360348385542,2.28211806251506,18.3480165979731,2.23730220476429
"NMC-G1",0.0738288482717691,13.892,3.531,NA,1.07249292303933,66.9103285859869,3.51030398601127
"RPMI-7951",0.324224578801119,10.134,0.5911,0.803153349607067,1.28655248042342,16.152902376038,0.593049585142492
"253J",0.265428764953967,10.835,7.757,2.39924386504337,0.80407818604861,0,2.39924386504337
"ALL-SIL",0.644473351843281,5.3994,0.03927,0.0392248838892715,1.10110904739535,0.291535368386302,0.0390171204746795
"HDQ-P1",0.184031056768728,12.227,2.787,3.27432823719038,4,22.0270441741639,2.8318112462981
"SiMa",0.475356530709276,7.8613,0.1602,0.171077195645437,2.44391062153977,7.12292514600409,0.160650264526059
"SNU-489",0.145361293463027,12.844,1.83,3.7548534296445,4,44.5823341451988,2.15428690633539
"SNU-626",0.290738511173146,10.643,1.6,1.68843579686735,0.895959987161684,2.24832810628607,1.60392058204586
