"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.36693481267792,9.4952,0.1303,11.7368283645416,0.254882793549587,34.1258235605929,0.130202009503262
"KPL-1",0.174515663307535,12.383,7.967e+21,NA,0.0380153169114677,51.9381296965224,1e+06
"MKN1",0.345640931602539,9.8158,11.11,11.1310559248104,0.202928702177296,0,11.1310559248104
"253J-BV",0.363634420863951,9.5469,1.005,1.71778697243106,0.526614231583176,12.1588035778231,1.01202169519976
"BFTC-905",0.48086816399906,7.7716,2.065,0.508830835512871,0.261239249241156,0,0.508830835512871
"BFTC-909",0.359726580356575,9.604,1.507,1.58877106193185,0.827034402482794,2.27080144552949,1.50194419443248
"CADO-ES1",0.738613516292669,4.0491,0.02325,0.0233179292446511,4,3.5371315434163,0.0228941215155676
"CAL-120",0.130501285852574,13.037,7.747,11.8379981537412,3.11417201368654,36.598624795993,7.75638633709262
"CAL-29",0.541070695047826,6.8834,0.1246,0.161473014937837,0.832044401413949,9.86361946400225,0.123995063139299
"CAL-62",0.58920641137862,6.1617,0.04566,0.0685422114974772,0.868198729155281,14.9391944183227,0.0455416509008608
"HuCC-T1",0.367220995896114,9.4908,0.4667,1.36849383861186,0.579429048347981,23.3315918435308,0.462525987708762
"NMC-G1",0.2639982458062,11.04,0.7786,8.03585050262144,0.643274784493751,38.8399218393574,0.780821893173727
"RPMI-7951",0.517254015920922,7.2403,0.2832,0.290809462222389,0.758569728312753,1.20143114028218,0.281633135424093
"ALL-SIL",0.853267913376795,2.0481,0.006772,0.00644468392735999,0.866911757184157,0,0.00644468392735999
"HDQ-P1",0.209661336434657,11.757,0.532,16.3339642304238,0.500257204900886,0,16.3339642304238
"SiMa",NA,NA,NA,NA,NA,NA,NA
"SNU-626",0.495482298750628,7.5698,0.2828,0.306991370351072,1.33042060672761,5.56126318364613,0.280954413971026
"SNU-878",0.450570208959081,8.2337,0.106,0.151426251633124,2.22427526289837,27.0678890838021,0.106660863278192
