"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"KE-39",0.198221242747041,12.034,33.19,33.5509052804418,0.394887483162359,0,33.5509052804418
"DMS 454",0.35273404225116,9.7086,7.343,7.35449281908812,0.223334606794371,0,7.35449281908812
"GCT",0.204573973727985,11.952,10.34,10.2875573202332,0.778537602281308,0,10.2875573202332
"HCC2935",0.0574484421117782,14.135,43.76,43.5383984582584,1.99314052295415,0,43.5383984582584
"HOP-62",0.257873647475736,11.147,9.484,9.49753903644928,0.443215974304017,0,9.49753903644928
"NCI-H747",0.225222161139354,11.619,9.875,9.91104260558985,0.604286879330559,0,9.91104260558985
"OVCAR-5",0.163186393015792,12.466,42.51,14.9126789152678,0.985977306287272,0,14.9126789152678
"SF268",0.202305756138387,11.977,13.92,13.966618808932,0.595806953928599,0,13.966618808932
"SF539",0.290840442995619,10.643,3.764,3.7544741831729,0.72098835005286,0,3.7544741831729
"TUHR14TKB",0.188459031353347,13.634,59.18,58.9932063260346,0.781655550007743,-2.77555756156289e-15,58.9932063260346
"U-251MG",0.0920938490007952,13.606,26.82,26.9582081344827,2.15646258767325,0,26.9582081344827
"DMS 53",0.232486803280834,11.511,10.66,10.6740479541311,0.52573372513317,0,10.6740479541311
"HEC-1-A",0.147539084935784,12.782,28.19,28.2171998861105,0.6573568749673,0,28.2171998861105
"IGR-37",0.069325981447595,13.958,33.77,33.6791851544403,2.841719059457,0,33.6791851544403
"KNS-62",0.036981862322065,14.443,155,152.171647848711,0.961711679057772,0,152.171647848711
"MDA-MB-157",0.232338477112614,11.524,28.25,NA,4,58.125,0.205352502645715
"NCI-H1563",0.171371780328386,12.42,12.1,12.1782526611015,1.24240335153407,0,12.1782526611015
"OC 314",0.167089553244035,12.508,30.89,31.2234143193705,0.516746687347215,0,31.2234143193705
"UO-31",0.40559736255203,8.6701,0.002066,14.1959133377032,0.106911883182609,0,14.1959133377032
"BICR 56",0.268607974615563,10.972,0.06865,NA,0.921030314049579,59.0655817090922,0.0688009725145301
"CAL-33",0.362074741391178,9.5826,8.44,2.34130899220089,0.406391565596033,0,2.34130899220089
"Calu-1",0.162772729914398,12.565,86.19,87.7085994492264,0.367744596227109,0,87.7085994492264
"Capan-2",0.199449887763234,12.009,36.34,36.5303768825696,0.379703606466608,0,36.5303768825696
"DMS 114",0.298431700014542,10.538,7.665,7.66647984942041,0.348594178862884,0,7.66647984942041
"EKVX",0.272279940798258,10.883,30.67,6.40705603567279,0.503720770912708,0,6.40705603567279
"HCC1438",0.187655608447572,12.226,15.44,15.4299032897983,0.651227289187909,0,15.4299032897983
"HCT 8",0.0674055929834613,13.982,32.88,35.625251887208,2.40125321854849,10.4125908566521,32.3239637883464
"HOP-92",0.283317518763373,12.881,31.25,31.3899715865747,0.656661234442938,0,31.3899715865747
"KYM-1",0.224269742215158,11.64,13.73,13.7756432645893,0.483467879917671,0,13.7756432645893
"KYSE-30",0.213074108824606,11.81,24.31,24.455018428952,0.401156746284561,0,24.455018428952
