"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"C2BBe1",0.453331859806339,8.1999,1.504,1.50301115818865,0.137397628085553,0,1.50301115818865
"ChaGo-K-1",0.103786914903547,13.44,24.88,47.4370547831576,0.864370056096698,19.8135543660796,26.4588638084943
"COLO 668",0.321197519205583,10.182,15.36,15.4233017824358,0.219951979503044,0,15.4233017824358
"COV362",0.142846250744388,12.856,455.7,457.164570613348,0.286131093729785,0,457.164570613348
"DV-90",0.669386491025704,4.9585,0.004204,0.0041718490291121,0.167369196758955,0,0.0041718490291121
"EFO-27",0.147158525897168,12.795,209.1,212.443787349108,0.325304337314498,0,212.443787349108
"HD-MY-Z",0.574329763815797,6.3831,0.02551,0.0671750985137943,0.511542733626051,19.4655190185202,0.0256162242264222
"NCI-H2170",0.020849140496561,14.69,66.24,77.4818273158262,2.39461246756383,0,77.4818273158262
"NCI-H647",0.316774825577237,10.248,0.1213,75.5207979648316,0.36350124655731,45.1946465436118,0.12011684218928
"NCI-H810",0.0980356799899507,13.527,37.58,37.6582795326721,0.988688015017156,0,37.6582795326721
"OCI-AML-3",0.974496312500002,0.3553,3.449e-05,1.01960583193103e-06,3.99750421863988,2.5503687499996,1.00633938814495e-06
"PaTu 8988s",0.601950666728145,5.9701,0.003808,0.0233122545720796,0.288913240958821,20.4481682103013,0.00377646427063935
"PC-3",0.00822351821821561,15.452,0.0002822,82.5758965279723,4,0,82.5758965279723
"TE-5",0.371752849624197,9.4235,2.768,2.76738225322473,0.311214299193415,0,2.76738225322473
"UACC-257",0.641121121027826,5.3886,1.486e-09,8.24058486112747e-05,0.22677141460254,31.6140747473812,1e-06
"UACC-62",0.709992063709602,4.3492,0.0005513,0.00187924266139342,0.476185291187513,22.3149741652683,0.000543068162722375
"BICR 6",0.341917860997532,9.8706,0.005477,NA,0.732644079043525,59.8858881081243,0.00545068448534559
"BT 145",0.556966778280519,6.6456,2.962e-05,0.00333219550077805,0.381434887849831,41.6400987959685,3.06401955069511e-05
"BT179",0.36197022196946,9.5695,0.004646,NA,0.615460275573887,57.2535433260812,0.00462299786281678
"EC-GI-10",0.239833583095731,11.372,0.003888,NA,1.14708628997983,73.2586929414994,0.00390543333110769
"EFO-21",0.294570323482465,10.581,0.09623,NA,0.540970532973118,51.9037957735627,0.0959242564900814
"FTC-133",0.0378864693283693,14.431,9.205,NA,1.85876071113606,80.1594632876465,9.17493930788412
"JHUEM-3",0.545208943452311,6.8216,0.05513,0.128997427507556,0.420862485100586,15.1424779620168,0.0547410831839976
"LK-2",0.024212155170546,14.838,7.465,NA,3.25252797368165,84.7619389830136,12.6533046204247
"LNCaP clone FGC",0.0958813908899842,13.473,4.373,NA,4,59.53825190136,5.60797968930659
"LS1034",0.701067971558302,4.4826,0.008235,0.0133940301629881,0.711891657798874,14.7693625463737,0.00819079580816625
"MKN7",0.230460803707174,11.543,0.004791,NA,0.246008260349027,68.153623943002,0.00448624566414169
"HCC1428",0.0291516081989148,14.564,3.725,NA,4,89.407170928548,3.76741939689768
"NCI-H2029",0.104319498391191,13.431,3.07,NA,1.4963734904504,64.7078572935815,3.06792584080871
"OE21",0.546217870385367,6.8059,0.009298,0.0312727626307538,0.952242419024183,34.3272673698093,0.0092485307094741
"MKN74",0.255019550617488,11.174,0.02932,NA,0.258716854708315,60.0875691140527,0.0292175619101974
"SH-10-TC",0.0693854993757898,13.956,2.162,NA,0.955282147364429,79.3400287393607,2.07893953174433
"SNU-449",0.19711389641432,12.043,0.4939,NA,2.11621763062638,57.9612523816901,0.502203832691392
"T3M-10",0.54137641509569,6.878,0.07283,0.148759819451261,0.284751245399927,9.19606566666017,0.0728623084902928
"BT 112",0.207547241259974,11.887,0.07346,NA,0.716433171739132,67.829150852128,0.0732469353397717
"BT 164",0.448364267052642,8.2743,0.0009418,NA,0.541134035342139,50.7219542252609,0.000941134024093738
"CCF-STTG1",0.0680753621798993,13.992,0.5351,NA,2.50890914748296,85.241264970893,0.543699498339108
"COLO 800",NA,NA,NA,NA,NA,NA,NA
"DK-MG",0.375388188747914,9.3682,0.04395,4.61716447303462,0.421132919701726,42.9396650027589,0.0442248763366704
"GP2d",0.486012045136247,7.711,0.0003037,NA,1.63544158278818,51.205087927496,0.000393018417815194
"NCI-H1869",0.322440540756461,10.163,0.005256,NA,0.449938388227927,59.8855496061865,0.00523069626353384
"HCC38",0.0301688995476686,14.537,0.5584,NA,4,93.3058465925697,0.606961393518368
"IA-LM",NA,NA,NA,NA,NA,NA,NA
"JHOM-1",0.0119626210045035,14.572,0.6034,19.814887969917,4,0,19.814887969917
"JHUEM-7",0.302554587146714,10.461,0.1402,720.52089356343,0.287906927480688,45.7190559880326,0.14128389626614
"JL-1",0.308570500772031,10.371,0.05248,NA,0.378826685844125,51.6158647511019,0.0525140680353437
"KYSE-450",0.0988907588323176,13.517,0.0647,NA,0.551848093410325,84.6900738748022,0.064564422830111
"LC-1/sq-SF",0.112143700452079,13.322,0.06491,NA,1.34182315698085,83.1930626105539,0.0633120968800589
"RCM-1 [Human rectum adenocarcinoma]",0.516794061117378,7.2476,0.01335,0.0587986007428109,0.808018719028369,34.9910071415534,0.0132610208777014
"SNU-685",0.112356416705828,13.277,0.2771,NA,4,77.9189618224299,0.331404501623111
"CCF-STTG1.1",0.117800550597819,13.239,0.2134,NA,1.26013711452525,78.581798125794,0.215606074772735
"VMRC-LCD",0.148665283502272,12.558,66990,66968.4554442228,0.139938229439524,0,66968.4554442228
"BT 224",0.150368611956351,12.743,0.08414,NA,1.12384004010867,76.5401860285939,0.0827391554690475
"BT-549",0.0786954043786494,13.82,0.0741,NA,0.872039229878349,87.8407082165493,0.0751350166998191
"HeLa",0,15,676200,NA,1,100,0.065
"HCC202",0.0659530786908778,14.01,0.02396,NA,4,91.1674795066779,0.0278954613927998
"H-STS",0,15,1173,NA,1.26497816893566,100,78.3569098209255
"K029AX",0.454840725205256,8.2271,24.47,NA,0.670096790313529,51.739587864295,0.000698457590336618
"KRIJ",0.112894507734532,13.308,3.607e+16,NA,0.06418112339626,59.7076493248786,1e+06
"KYSE-520",0.246182194268026,11.307,0.03491,NA,0.775523914279314,65.4766663000182,0.0347523731964778
"LOX-IMVI",0.599266698819359,6.0113,0.03537,0.0616505673908756,0.607305154849174,14.4566951054066,0.0351469876033271
"NCI-H1623",0.324119245940533,10.14,0.009033,NA,0.561518579584613,59.3268660078045,0.00880030728612783
"NCI-H716",0.556010913325582,6.6583,0.0144,0.0538032301605738,0.618311615735375,27.8852470004148,0.0143818866538624
"OE19",0.0867375868440785,13.703,0.2647,NA,4,83.5136094447303,0.27687269703637
"OE33",0.272179158020623,10.918,0.09642,NA,1.07433235408604,56.4304798134409,0.0979627128885029
"PK-1",0.450013777151143,8.2483,0.005931,0.224040649271255,0.803807094694192,47.3045645990809,0.00592119791525647
"PK-45H",0.550784412167765,6.7368,0.002941,0.0210935850638228,0.721278295660632,38.0013208077557,0.00291603006977208
"P-STS",0.0850189636046304,13.726,0.01053,NA,4,89.8691409844642,0.0106521371030137
"RERF-LC-Ad2",0.42544488934271,8.6171,0.001057,NA,0.827522826914218,55.0688297405462,0.0010355673549371
"U-CH1",0.225387325079944,11.619,0.000561,NA,0.223943228188231,71.4650438259096,0.000556454572871658
"697",0.304234375851429,10.439,4.098,4.09215548649371,0.51046831012637,0,4.09215548649371
"A3/Kawakami",0.190548916155682,12.14,12.23,12.2876810956489,0.783649889881479,0,12.2876810956489
"CA46",0.138453360892825,12.91,24.67,18.4165347797933,1.19685693189423,0,18.4165347797933
"DU4475",0.990659437500003,0.1282,0.001351,1.00472558584555e-06,4,0.934056249999548,1e-06
"EB1",0.169596753613302,12.448,14.28,14.3581931809462,0.91892357222714,0,14.3581931809462
"EoL-1",0.84445680508439,2.3312,0.002818,0.00324396784005194,0.710499770014312,5.04719712462171,0.00279275777712034
"GA-10",0.219604399275336,11.699,6.316,6.58893015962112,1.70308233768253,2.65867841795846,6.38089448716856
"MOLT-3",0.308397851426761,10.386,9.426,9.46580515935318,0.290695609507607,0,9.46580515935318
"Namalwa",0.0783646540068131,13.819,39.02,38.9476262803092,1.37290612495765,0,38.9476262803092
"OPM-2",0.587730265776126,6.1837,0.08263,0.104005926536127,0.626085780015533,6.82321991987987,0.0822779174986422
"Pfeiffer",0.17479004409138,12.337,14.42,11.3233483579849,1.41708106549838,0,11.3233483579849
"SUP-M2",0.627833917987206,5.5794,0.0135,0.0303989818712309,0.334551754902232,11.4404606582707,0.0139822605204033
"Toledo",0.152816232030321,12.761,40.67,43.0284924428758,0.50313883645164,0,43.0284924428758
"NCI-H1869.1",0.276944510716515,10.845,0.04085,NA,0.305034154011366,56.4660855924732,0.0406389640755361
"COLO 829",0.685664949937439,4.7144,0.0002763,0.00147123605201488,0.42297539927667,25.4493851850093,0.000273754833139565
"DAN-G",0.252138847062614,11.218,0.06053,NA,0.672077628166807,61.8156131853844,0.0601484900356544
"EJM",0.198974808593719,12.015,46520,47287.0981000026,0.121643933578245,0,47287.0981000026
"GI-1",0.277216282132929,10.841,0.1858,34517.1238540018,0.342472377865066,49.216067658791,0.185540011195734
"Granta-519",0.233712494440966,11.494,0.004414,NA,0.205781405184771,66.450797896166,0.00447457218296935
"HCC1500",0.0410345723722438,14.166,7.499,NA,1.6910648869461,57.8884634707353,14.6370643623131
"IGR-1",0.529172764476017,7.019,0.0003336,0.0138921169675081,0.0479414757463925,18.3510306282235,1e-06
"NCI-H841",0.122028704405327,13.171,1.117,NA,0.728940036351781,69.269226922354,1.11987399385211
"OCI-Ly10",0.322901773253441,10.156,0.01831,NA,0.367169788562993,54.1608217336827,0.0181016679748549
"OCI-Ly19",0.539125022070347,6.9127,0.0002183,0.018863904366962,0.381047466354225,40.89319718424,0.000216100297748732
"OCI-Ly3",0.29187896012638,10.621,388,388.521714088402,0.131693873379394,0,388.521714088402
"U-118MG",0.0178157854249021,14.643,0.5222,NA,1.56323074090156,91.2109049107507,8.20540617065952
"COR-L88",NA,NA,NA,NA,NA,NA,NA
"Lu-65",0.670282412712045,4.9446,0.008159,0.0148031094555925,0.324951232899314,8.8695934426313,0.00811650700083098
"NCI-H2081",0.0893974385124364,13.971,0.367,1491404.73444652,0.155779236464659,3.01844065347876,1e+06
"NCI-H2141",0.166764916269912,12.5,1161,1178.96814792514,0.21579708958708,0,1178.96814792514
"A-172",0.276243056854595,10.857,0.06766,NA,0.545627290614624,56.9882393112693,0.0670832083736003
"COV644",0.33181095845381,10.023,0.001144,NA,0.938695668183771,65.1659938789748,0.001139139621638
"IM95",0.469224871298902,7.961,0.0002375,1.31366275083674,0.313847476181913,46.6845630072301,0.000231047196448011
"J82",0.0408062499999999,14.389,0.0004422,NA,0,91.83875,0.00553436223105797
"NCI-H23",0.59286535929029,6.1064,0.003582,0.0194193631847783,0.543622447477095,30.1227794803024,0.00355877142005986
"RD",0.457798599687221,8.1326,0.003814,0.424990258333367,0.484446344760019,44.9182998291343,0.0037905038838685
"SK-UT-1",0.128833720791027,13.067,0.004934,NA,0.31441244739094,82.9829885735321,0.00489410758571205
"T98G",0.0756755004401055,13.865,0.03985,NA,0.665237598561098,89.1182031540244,0.0396273006105828
"Becker",0.186797296071599,12.198,0.004467,NA,0.407882014260732,76.6495210275716,0.00443182659202492
"Hs 578T",0.287163858441438,10.692,0.1217,1009501.23480069,0.311252562759957,49.6494504757909,0.121052311570681
"Hs 611.T",0.0462687500000001,14.309,8.624e-23,NA,0,90.74625,685.240729485432
"JHH-4",0.444925967242876,8.324,0.1198,0.206631793608735,1.39306398538175,26.6455479385635,0.119640525131661
"Karpas-422",0.211990249203922,11.82,0.005536,NA,0.649190123512678,74.8068477903332,0.00548200695485523
"KMRC-1",0.174697614572396,12.379,0.09642,NA,0.792760583712695,71.9527980302995,0.0962373778236074
"LP-1",0.0840810249950956,13.69,0.03945,NA,0.0170385484965225,82.6900072776512,10.3713865897811
"MDA-MB-468",0.156503680322532,12.653,0.06323,NA,0.771349640833535,76.3209763977818,0.0627432265959484
"SH-4",0.676696018521365,4.8486,0.000219,0.000777638538793978,0.68942921440091,30.5431710361043,0.000197802128784003
"SK-HEP-1",0.121116406145463,13.183,0.03337,NA,0.379299749073849,81.8975976144696,0.033063953758628
"SUP-HD1",0.143335480407713,12.85,1.816e+25,NA,0.0388482737509459,60.2157381681388,1e+06
"AN3-CA",0.192827295694247,12.107,0.052,NA,0.659477801930887,71.3208571133364,0.0518249952437065
"ACHN",0.0744758823231943,13.883,0.06863,NA,0.483067909582013,88.2521787745907,0.0687738915337768
"CMK",0.106637684170483,13.401,0.06605,NA,0.487730639660914,83.301466348017,0.0652411710904844
"EN",0.0459973276403696,14.31,4.823e+11,NA,0.123623634620596,68.0021166898838,1e+06
"Kasumi-1",0.522716131697587,7.1583,0.02287,0.075671992418727,0.770509944709965,30.1822235984612,0.0227673762567249
"NCI-H2342",0.078225,13.822,0,NA,0,84.355,4.0509218553129
"OV-90",0.581854928086882,6.2719,0.0001307,0.00487124227990908,0.367000839143608,36.7743083988314,0.000129996964726925
"RERF-LC-MS",0.404573831318926,8.7727,0.0212,1.2485756121219,0.448173204719582,41.9733176115078,0.0210770659831645
"RPMI-6666",0.203260291974484,11.95,0.007624,NA,0.639399233371278,75.1688850505673,0.00762713049309379
"SK-N-MC",0.00314823477393976,15,655.4,NA,4,97.8165888984117,14.7330952458884
"A-253",0.233673529462319,11.495,331.7,335.162351970677,0.185891252230419,0,335.162351970677
