"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"KPL-1",0.10919963732158,13.363,17.84,17.6803512863602,0.985535684222973,0,17.6803512863602
"MKN1",0.097807754696951,13.534,16.28,16.1398566544218,1.41688589406799,0,16.1398566544218
"253J-BV",0.078584292834063,13.827,26.9,26.6971955517486,1.08027221855035,0,26.6971955517486
"BFTC-905",0.13687648086741,13.046,7.853,8.74742039533363,2.06435128724644,7.33030540080208,8.10079961860447
"BFTC-909",0.125313757280518,13.123,12.42,12.3265537282318,1.17399872254828,0,12.3265537282318
"CAL-120",0.0872754313143053,13.696,19.4,19.257691250071,1.34994949242441,0,19.257691250071
"CAL-29",0.13050435147764,13.038,10.76,10.6964646654372,1.37389986481849,1.78371476539916,10.4173542334771
"CAL-62",0.120668376141279,13.217,31.79,12.8719920582961,1.21354661040317,0,12.8719920582961
"HuCC-T1",0.120186861246715,13.198,13.52,13.012719218335,1.20423016795049,0.283273897031093,12.9514694905742
"NMC-G1",0.0265814917833885,14.649,0.4373,47.0899521783181,4,47.3564781079114,22.580391950945
"RPMI-7951",0.129589334376259,13.053,11.83,10.1775877629988,1.71922007733667,0,10.1775877629988
"253J",0.170541719174156,12.441,4.009,6.00823319920199,1.65769355867885,10.0700405428158,5.24598304827706
"HDQ-P1",0.141021870490713,12.903,18.79,11.6859792702906,0.928496790796434,0,11.6859792702906
"SNU-245",0.168150198084933,12.711,14.4,NA,1.29095912258725,50.5972375803575,1.07361993185194
"SiMa",0.297019578466405,10.532,0.9707,1.63567429550244,0.777267535046514,15.7806415139457,1.00416034886371
"SNU-489",0.0788148505946617,13.832,17.04,16.6218681606977,3.13819855819789,1.51244702226373,16.459971187237
"SNU-626",0.114975614747813,13.272,14.15,14.0724932001407,1.18830327857463,0,14.0724932001407
"SNU-738",0.158556377214864,12.645,6.365,6.88078584150913,2.04566205312545,6.01014151777579,6.46323654844094
"SNU-878",0.171339190000588,12.433,5.919,6.12159656836365,2.01934859016054,3.08343526928962,5.93164622887599
"TUHR4TKB",0.0841377922280307,13.825,19.18,18.5393821092014,1.56761906737931,0,18.5393821092014
