"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"TE-4",0,14.637,0.8098,NA,0,100,1e+06
"KNS-60",0.15131342585358,12.711,12.7,13.2483705350027,3.05265408760476,3.54094660949426,12.9333984843351
"KNS-81",0,16.229,0.5188,NA,0,100,1e+06
"ML-1 [Human thyroid carcinoma]",0.0407740780190625,14.382,33.37,46.4726605985099,4,30.9375,36.5174127254838
"NCI-H2228",0.0847504351256087,12.956,16.89,17.0512349452826,1.71577654830914,0,17.0512349452826
"NCI-H2452",0.00216822386176268,14.715,0.9426,47.42533862264,2.80110257728784,0.00658662322436543,47.4231081718893
"NCI-H2444",0.144915451938835,13.022,13.86,12.9815955502088,4,10.5578929214766,12.2342006832117
"NCI-H226",0,16.419,0.3651,NA,0.874398213467588,100,70.903757227956
"PC-14",0,16.482,0,NA,0,100,1e+06
"RS4;11",NA,NA,NA,NA,NA,NA,NA
"SJSA-1",0.00801321989709384,15.215,3.098e-137,NA,4,89.2761217893365,16.1993901706619
"SK-MM-2",0.759688697167713,3.4863,0.005469,0.00719455230184136,1.08902677083571,12.51877921665,0.00552177732301113
"SNU-761",0.121389441101619,13.161,19.23,19.3697431737286,2.06556964653242,0,19.3697431737286
"SU.86.86",0.1378058524042,12.915,15.44,15.8171750610202,2.92371912091942,0,15.8171750610202
"SW1271",0.0198500000000006,15.247,0.2362,NA,0,96.0299999999999,5587.03516416609
"TE-6",0.15035675045049,12.756,10.59,12.7644402106639,2.02418182393816,13.8573350114166,10.8734856009458
"TE-8",0,15.812,0.2812,NA,4,100,1e+06
"ECC10",NA,NA,NA,NA,NA,NA,NA
"HCC1195",0,15.504,1.832e-61,NA,0.705916310359709,100,95.0427885013839
"HPB-ALL",0.10973329904506,13.353,0.006241,NA,0.955290939424627,87.2590638747828,0.00625284296303492
"KMS-18",0.158560616787955,12.532,0.0736,NA,0.400311246902281,73.3491689226091,0.0742376887793747
"KMS-28BM",NA,NA,NA,NA,NA,NA,NA
"KMS-34",0.192085624554847,11.883,1.005,9857344.79126097,0.485907863462688,49.9798365611626,1.01873759682436
"KYO-1",0.0639999999999995,13.999,1.059e-11,NA,0,87.2000000000001,0.00480544394378889
"Mono-Mac-1",0.126235981781356,13.925,0.1739,NA,4,86.0065507650141,0.00551435980696983
"NCI-H1650",0.0183083987147265,14.75,2.145,NA,4,94.6541847759119,1.87085040871644
