"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.36584296386705,9.5178,0.7559,7.73783673598251,0.308498359489556,21.8644074452198,1.19996824385393
"KPL-1",0.0411907670361873,14.433,2.892,NA,4,88.9213636220589,2.75674213819447
"MKN1",0.435969330650052,8.4805,0.1033,0.564347171990962,0.736492470503313,35.6268912647566,0.103851841820279
"253J-BV",0.426521056841083,8.642,0.116,0.276888439501028,1.54180601384147,37.0779306129763,0.115124755469911
"BFTC-905",0.470353783190513,8.1837,0.02004,0.0295313581169485,4,45.9291342372068,0.0157747546966674
"BFTC-909",0.525244495910287,7.1504,0.05402,0.0893363569342474,1.81728628826742,30.0617234489319,0.0538659974809569
"CADO-ES1",0.502167268084344,7.7685,0.4154,0.36921722549715,4,12.2988561910437,0.344055167411561
"CAL-120",0.111751250714098,13.329,469.6,463.027890116292,0.398856869310484,0,463.027890116292
"CAL-29",0.540895062110044,7.0165,0.03225,0.0388775278282418,4,33.1568768829251,0.0296184137486715
"CAL-62",0.588587198142701,6.2047,0.02609,0.0425268704252908,1.66067962469969,28.2113281722644,0.0257893002804508
"HuCC-T1",0.321776668923646,10.194,0.05417,NA,2.34733504725883,57.1426285272296,0.0542006446664097
"RPMI-7951",0.72615956467683,4.1671,0.0156,0.0172575689249135,4,16.6255045773438,0.0155987857343935
"253J",0.476988152483099,7.88,0.1114,0.197643691116081,1.58516556628785,30.0163745132368,0.110820097032154
"ALL-SIL",0.839326870510772,2.6306,0.01376,0.0135644213203995,4,5.38344525462344,0.0131835623527381
"HDQ-P1",0.221190157003111,11.794,0.01149,NA,4,75.206058896549,0.0125069204529653
"SNU-245",0.339717819007051,9.8732,0.06803,NA,4,52.8152335218859,0.0746838621662316
"SiMa",0.569229204520314,6.4899,0.134,0.155035761664251,2.30466572590132,14.2056566360125,0.134106096484495
"SNU-489",0.358156880837443,9.6536,0.02663,NA,2.95194496983152,56.2811456109988,0.0266615536124523
"SNU-626",0.19773379220799,12.293,0.05357,NA,4,74.8013959711056,0.0381823693888732
"SNU-738",0.276137375703038,10.952,0.05002,NA,4,63.5435857646787,0.0506473629615633
"SNU-878",0.49438067149695,7.624,0.1318,0.157471341284602,4,25.702258990554,0.131477216245617
"TUHR4TKB",0.475397255995508,7.8914,0.08604,0.125835461141898,2.79345416621568,32.6884365405783,0.0860806440709403
"ACC-MESO-1",0.134421784255597,13.02,0.1101,NA,4,80.476603321532,0.10347156993475
