"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"253J-BV",0.165810576423455,12.5,3.913,4.65712142532913,2.8557512280059,18.7674584371352,3.94962414013153
"BFTC-909",0.175329940538911,12.364,4.023,5.29891254664189,1.32061088600769,14.7775969658698,4.06419133551871
"CAL-120",0.185858522869481,12.204,4.076,4.44612066368442,2.05518459254494,7.47518356156385,4.10924147986068
"CAL-29",0.217934497418328,11.719,2.81,3.06362328288435,2.20194836494115,7.59291147782032,2.84282281042793
"CAL-62",0.17499968608955,12.382,1.548,2.40261918339513,3.74993627216486,40.6180203090392,1.53780585322105
"HuCC-T1",0.236895825276292,11.433,3.127,3.00268095552131,1.07619527147487,0,3.00268095552131
"NMC-G1",0.0730111641623101,13.897,10.26,15.5587770031375,2.97089106385469,35.225126483408,10.3220081755115
"RPMI-7951",0.229676587218377,11.545,2.545,2.72049044764955,2.41826684624168,6.41051220877973,2.57043318211595
"253J",0.273980225017166,10.934,1.443,1.71745993480667,1.32526461254624,8.077884353939,1.50363373752041
"SNU-245",0.2532612366953,11.217,1.692,2.13346529748689,1.21383633970605,11.4304739545587,1.7227342345546
"SiMa",0.391484528967082,9.1359,0.4306,0.463771919626682,1.61180763253635,6.36152987998821,0.426223352071839
"SNU-489",0.150921036974967,12.731,5.852,7.53018827834265,1.25620402087518,12.679018129189,5.96614933535953
"SNU-626",0.159757657579111,12.563,8.8,6.78797897245696,1.36087510246201,0,6.78797897245696
"SNU-738",0.212636008319601,11.466,0.7785,4.43202047468007,0.834356994108781,0,4.43202047468007
"TUHR4TKB",0.218214690832107,11.738,2.829,3.34452398103632,1.2428093498362,8.00110430670777,2.90668567920182
"ACC-MESO-1",0.085876472918893,13.699,14.49,14.7254508427935,2.03877111787116,0,14.7254508427935
"B-CPAP",0.237479537553928,11.422,2.783,2.79794778287059,2.04043634815433,0,2.79794778287059
"CGTH-W-1",0.210609256990056,11.793,3.823,3.71756854787407,1.92076500213919,0,3.71756854787407
"COLO 680N",0.18839147857369,12.166,4.443,4.80276121746934,1.32737131938323,4.0377795737375,4.50755518944143
"ECC12",0.165294618616248,12.479,6.543,6.05680526727628,1.82209622309187,0,6.05680526727628
"HCC95",0.154949658996771,12.67,6.013,6.28654158383085,2.77168948691918,5.24004591926851,6.04038802521704
"JMSU-1",0.232721174228661,11.505,2.418,2.65516883680964,1.84232494558605,7.18074501543467,2.44087445278637
"Rh41",0.338542778991436,9.9397,0.9423,0.934735300465921,2.29716862453956,1.55300174131105,0.921984071107509
"SNU-175",0.254128029659229,11.196,1.789,1.90890403478862,3.24679152599058,9.2293548316281,1.79262195966493
"WSU-DLCL2",0.371429951374481,9.435,0.6571,0.659087070107782,2.16814680263783,1.63974155855645,0.649028302265331
"23132/87",0.223460984308761,11.638,2.844,3.00133619522085,2.32403326663672,4.81132248376724,2.87347682709321
"8305C",0.21365561188506,11.781,3.571,3.60015364596348,1.91754238710756,0,3.60015364596348
"BHY",0.176224042930032,12.271,15.94,6.57597877860893,0.922467696220668,0,6.57597877860893
"GSU",0.208430961611947,11.863,3.254,3.40709483757388,3.54594483739429,5.98827089021094,3.28670176729382
"JIMT-1",0.152150684406309,12.708,6.614,6.71733920435203,2.68326956433517,1.6210429300903,6.63533612963745
"KMRC-20",0.153161550068323,12.692,6.013,6.84379458804785,1.53797920662565,8.29112881828784,6.08273498402185
"OUMS-23",0.214266414206741,11.697,2.137,2.66092845358757,4,14.3339521862597,2.44542553785183
"SNU-1076",0.204701221332515,11.889,4.117,3.98250949460224,1.71848890008939,0,3.98250949460224
"SNU-1196",0.206135146844356,11.905,3.405,3.6151602945712,2.21503122067203,5.31757174225304,3.43622237029245
"SNU-8",0.225611407094517,11.606,2.894,3.00122365708414,2.45189721228104,3.23738968407049,2.92039585071137
"A-375",0.194652167610006,12.065,4.156,4.24652359315454,3.23736373688652,1.78544964639199,4.19909339477394
"A-549",0.127558239384578,13.078,6,8.40760018310899,1.84820129422176,23.015539021133,6.0220447067417
"NCI-H2009",0.341474990317402,9.5938,2.196,1.03006194659556,0.756005825609969,0,1.03006194659556
"SNU-201",0.246711206199178,11.302,2.189,2.54086314327423,1.04991518494931,7.1420913731041,2.19393959775405
"SUIT-2",0.0920296843098509,13.613,10.09,11.4264672110255,4,19.0306427909154,10.1368384326856
"SNU-1079",0.544746250885819,6.7421,0.1787,0.106824094244912,0.525774435817353,0,0.106824094244912
