"","aac_recomputed","aac_published","ec50_published","ic50_recomputed","HS","E_inf","EC50"
"CAS-1",0.0440225605551663,14.338,29.29,114.75361347271,0.975974761289866,35.0342913814046,33.3424611898882
"KPL-1",0,16.471,5.445e-07,NA,4,100,179171.064386382
"MKN1",0.0374548889405326,14.434,41.12,41.2307797587369,1.40786622830869,0,41.2307797587369
"253J-BV",0.111187779535601,13.357,2.072,NA,4,58.0992444316635,2.08681294787893
"BFTC-905",0.123500924537694,13.146,2.684,7.45236376756567,4,49.2284082734425,2.6266271871947
"BFTC-909",0.11140918403973,13.333,2.735,NA,4,51.8859654618393,2.96652797813727
"CAL-120",0.0584025002699953,14.244,2.914,NA,4,73.9727619643269,3.19605674737177
"CAL-29",0.114692645026335,13.273,2.013,NA,2.92931143674168,57.3671302108643,2.00893588363679
"CAL-62",0.183403405840621,12.255,2.068,2.73491622086583,4,29.7542571454599,2.18164938060666
"HuCC-T1",0.124181554555952,13.39,1.557,NA,3.33733806404619,58.0563247156748,1.51612032168327
"NMC-G1",0.0414259980828848,14.363,2.593,NA,4,82.2282036691114,2.91915054380361
"RPMI-7951",0.198992905761902,12.032,1.994,2.4199490573667,4,25.9435056179136,2.01544897530845
"253J",0.180580767118833,12.272,2.169,2.88636346196183,4,29.2823180361287,2.31576138381315
"HDQ-P1",0.164481570875549,12.535,1.149,11.5720307282328,1.75177016349282,49.1332355624568,1.1431451350378
"SiMa",0.310443028611824,10.339,0.4982,0.600746893497978,3.37427089474244,22.8615512768227,0.501235652823035
"SNU-489",0.136686950314659,12.955,1.564,NA,1.88333866017805,53.2850577067595,1.57453885576869
"SNU-626",0.105550378107937,12.857,0.5728,NA,4,63.503449699265,0.610461951404608
"SNU-738",0.107349500455069,13.308,0.2265,NA,4,69.4132629241995,0.856372152430986
"SNU-878",0.238969025109489,11.435,1.767,1.93471416847101,3.63971657380628,15.3560461146752,1.74919399127014
"TUHR4TKB",0.170716576727173,12.436,1.794,2.78865099808182,3.44479431022249,38.9406882952529,1.79962478173378
"ACC-MESO-1",0.0424683937331,14.365,3.686,NA,0.735995889123871,81.2656762979329,4.04619503658545
"B-CPAP",0.202770228682414,11.976,1.177,1.70125548305828,3.44912900842666,37.227199478092,1.14533815458518
"CGTH-W-1",0.0850964373636998,13.73,1.961,NA,4,68.5526998197525,1.97608146576659
"COLO 680N",0.105756615736194,13.424,1.367,NA,4,65.410119284681,1.37089448089378
"ECC12",0.232558776900718,11.511,2.084,2.3193957237236,4,10.9447113109991,2.1804810371566
"HCC95",0.106567420454965,13.397,2.067,NA,3.65592833036532,59.7940716767112,2.09347955601469
"JMSU-1",0.212030964555065,11.821,1.656,2.05762118073783,3.4379181526257,26.2600148258975,1.65680277693185
"Rh41",0.259120298319208,11.123,1.771,1.87285960172674,2.91240251032355,7.94033395174917,1.76488947952875
"SNU-175",0.233813918873787,11.171,1.377,2.04707644030053,4,15.2747855465331,1.86875683060022
"WSU-DLCL2",0.26916005415543,11.012,1.818,1.82396195161028,4,3.96986431531115,1.78662677118941
"23132/87",0.196778649359477,11.918,2.226,2.99064710087371,4,18.6947850273683,2.6602768820683
"8305C",0.209126981459358,11.874,1.543,2.464523394301,1.84032867887313,29.1893725852455,1.53065024813528
"BHY",0.131500165524128,13.03,1.502,NA,1.94962573751887,55.7671060434703,1.49878413421282
"GSU",0,17.281,0.0008411,NA,4,100,1e+06
"JIMT-1",0.105435983011471,13.408,4.615,13.7317193059629,2.47528691798416,47.5011411385804,4.09295584659754
"KMRC-20",0.0759365509096744,13.863,2.622,NA,4,68.2605646875284,2.73820091197117
"OUMS-23",0.0739845311138277,13.851,2.23,NA,4,69.7842330733805,2.58310194786117
"SNU-1076",0.263522973130318,11.034,1.341,1.52752613663261,2.75075783405418,14.1569699608179,1.35342419822947
"SNU-1196",0.0668190150817845,13.994,2.453,NA,4,72.6771205425988,2.59119667864017
"SNU-8",0.14929322919068,12.755,2.42,3.72191851030676,4,39.7714723313653,2.50309677232404
"A-375",0.156155115890411,12.587,2.188,3.49977072314808,4,37.0797995469602,2.49525196134185
"A-549",0.0689952427006521,13.958,6.459,NA,1.06780548073923,59.5741879084086,6.50825486676644
"NCI-H2009",0.18599822210326,12.202,2.473,2.99804922732291,4,24.6548744753307,2.52970494745925
"SNU-201",0.115951590344645,13.257,2.465,NA,0.799246550028597,56.0730989413484,2.44760119233213
"SUIT-2",0,15,1.514e+28,NA,0,100,100.902063416368
"SNU-1079",0.228997900932381,11.561,1.2,5.84167771510888,0.628531808692311,31.3500875004648,1.21651953631129
"COLO 741",0.247257378154986,11.323,0.9215,4.96218810893609,0.572119004584825,29.5629872716121,1.03878764879667
"DEL",0.348011461119535,9.7934,0.7668,0.769015046556104,4,4.24538555951669,0.752144113988061
"HARA [Human squamous cell lung carcinoma]",0.211154413969831,11.852,1.728,2.05048835576215,4,25.7681747840028,1.71084765254186
"HCC15",0.17460534178584,12.344,1.067,2.14644118700711,4,45.9287501180413,1.14659074482812
"KP-4",0.244035852847434,11.35,1.014,1.54661580804913,1.81702233646981,27.4480871781203,0.997880288523405
"Lu-99A",0.194726967694601,12.103,1.072,1.65709717248573,3.77082287770801,41.4330458413747,1.03793754026592
"NCI-H1155",0.273776423371511,10.921,1.157,1.24792872934078,3.60989177473018,15.7153246848101,1.12407446018658
"NCI-H1581",0.209821214295496,11.848,1.121,3.39181214718912,1.14019808100293,36.1858443244222,1.09768283293938
"NCI-H2106",0.198390297746611,12.006,0.8792,9.59184945650992,0.896652401287501,44.3791402944838,0.838174929587927
"NCI-H358",0.304707192389655,10.433,0.5264,0.805951198362855,1.46369198424161,23.6185517688218,0.520718005540746
"DLD-1",0.13792741024193,12.819,2.28,4.38977611095503,4,42.1057075403865,2.76712114209557
"EM-2",0.255885217891419,11.17,0.8974,1.23143497687437,2.24830492619588,26.5691827858438,0.879018100578074
"JURL-MK1",0.268876550406935,10.971,1.751,1.82245410085169,2.39891785230099,4.81135862778443,1.74718827617201
"P12-Ichikawa",0.264078085018449,11.04,1.899,1.95947700651654,2.69028305893251,3.67580310483981,1.90464284007792
"KE-37",0.249843495462064,11.252,2.319,2.39673171092636,4,1.08231598967547,2.38365497299224
"KMS-21-BM",0.287178817292925,10.72,1.21,1.26948652012345,3.16657974198778,10.29228319333,1.18037023834285
"Li-7",0.197276065686377,12.052,1.476,2.03096391940612,3.47740871271179,34.198916346045,1.45826200714797
"MHH-NB-11",0.402782807071536,8.9776,0.5025,0.498158226759877,1.14759384775915,0.365772562017225,0.494981169552852
"MOLM-13",0.276558674804466,10.871,1.361,1.43490334123487,3.30468933058691,10.2084845031322,1.3390934708818
"NCI-H1975",0.324881626905459,10.118,0.6461,0.739697640420991,2.25200742150391,14.4040821923506,0.636101053575604
"NCI-H28",0.288782547668998,10.696,1.226,1.26585918415258,3.65174774326807,9.44970401110719,1.19528756443336
"639V",0.0806715415188744,13.823,3.684,NA,4,61.910475540826,3.6436226560472
"BxPC-3",0.276752097686082,10.852,1.117,1.49854790528409,1.22105894271804,15.5599750166646,1.10427041683879
"CML-T1",0.220672802266036,11.685,1.92,2.19198160978721,3.81201151640945,19.0985738949767,1.93202367472378
"GSS",0.231024719850626,11.569,1.82,1.99820452993046,4,17.4438914591436,1.79496324484479
"HCC366",0.245416117742383,11.581,1.831,1.72973217123368,4,16.1809159281204,1.56865277521345
"Kuramochi",0.133720008581621,12.995,30.72,180.838377161425,0.370077832697434,23.3247386624528,33.1117907762811
"LS411N",0.0061129609796504,14.886,68.84,57.8657774058064,2.8660934504328,0,57.8657774058064
"LS513",0.20490141071966,11.93,1.724,2.18960676600442,3.38371337795267,27.8019376767837,1.72244295206407
"ONCO-DG-1",0.19718440275505,12.039,1.883,2.49322590576668,3.01763709687344,28.2306120086395,1.89273836791244
"ONS-76",0.122447508345276,13.171,2.187,NA,4,52.7774957040223,2.22264329837125
"SK-CO-1",0.190287844767867,12.16,1.031,2.04276319516652,2.82983685240762,43.3886842345215,0.99933649540871
"SW48",0.308600931346933,10.399,0.9599,0.982682033906224,3.91626869724611,10.1033009577462,0.927642761940219
