"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.0927064354469031,NA,2.71495902221974,56.9814596089436,4.54365344991556
"CL-40",0.006827977319528,NA,4,96.6199030350189,4.95986662743245
"MHH-ES-1",0.133193817839581,NA,0,73.3612364320838,1.25252080640278
"C32 [Human melanoma]",0.048628194387416,245762.03762771,0.238854343667604,0,245762.03762771
"U2OS",0.0783410822966575,25.5871546829309,1.05531758933255,0,25.5871546829309
"TC-71",0.0557060337425447,NA,4,76.9167737491533,3.77783211131595
"RKO",0.124641924584888,NA,3.99821993880661,71.3102245545123,0.994920700050407
"NCI-H747",0.226088514368152,NA,1.89441920501662,71.2630534150444,0.0844181242820401
"CL-11",0.0404854968687015,NA,0,91.9029006262597,0.102363584619744
"COLO 320HSR",0.00315211469742321,36.4146733797786,4,0,36.4146733797786
"PC-14",0.0509077708576524,NA,4,81.9525693102668,2.85040342435619
"A-549",0.044867165392078,NA,4,67.7941749199938,7.68171012764088
"A-375",0.0687283500146273,NA,2.04838545587672,51.4652449932801,8.0715106453998
"SW620",0.0429269698817658,NA,4,82.4006645157517,3.7108813341085
"HT-29",0.0518674197246262,NA,4,69.629367822146,6.16166863444633
"HCT 15",0.0851651828703287,18.1763343836002,1.28574065490606,0,18.1763343836002
"SNU-C2B",0.280997550284943,89.4331805002821,0.251691653206242,25.5441480984563,5.21794904581448
"MHH-ES-1.1",0.0124688750852757,NA,4,94.7611099571721,3.8656072650264
"MFM-223",0.0964192136218529,NA,4,74.1987478527481,1.51363033337356
"C32 [Human melanoma].1",0.0954021604125834,NA,3.48927581639393,83.1447794273804,0.40098432071889
"U2OS.1",0.115099848816154,70.5440726396132,0.591219964483722,22.3536735453992,25.8942670683523
"DEL",0.445188379842133,0.553016789238461,1.34437636935212,24.5974579386994,0.334180042764002
"COLO 320HSR.1",0,NA,1.01869571041245,100,1.27537594116787
"DiFi",0.0492165553169163,NA,1.84413866061938,66.9292193166265,7.81496553760652
"CCK-81",0.144054308562405,90.6480296908044,0.403189616830949,0,90.6480296908044
"RKO.1",0.0664178197117308,NA,4,88.7015137891435,0.344843527462462
"SK-CO-1",0.0478387865175706,NA,4,79.3176956771145,4.04907875441508
"LS411N",0.0961499615662955,57.7988870515492,1.4656948522371,48.0890503633377,6.2323347206925
"LS123",0,NA,0.520924251171675,100,0.186224053216416
"LS1034",0,NA,0,100,0.199108673941757
"HCC2998",0.203632141624754,5.52261878740081,1.77104094387895,44.409554964732,1.60279163769769
"NCI-H929",0.101762135523865,9.49512234216895,4,42.6075425322681,5.88783014027676
"CP66-MEL",0.00795378608510924,28.4051715666132,4,0,28.4051715666132
"Ku812",0.00736439353476503,29.0182904145421,4,0,29.0182904145421
"VAL",0.148503497913359,6.0884179716293,4,24.5202393517394,5.14411648280585
"RF-48",0.111497045377692,NA,1.00223029105262,58.3323271954767,3.71139241864992
"L-540",0.409850118518646,0.584825186188342,1.56173485689261,32.5761751806517,0.297764931217979
"SR",0.250043440491449,3.25595709520381,1.87804242862781,13.3657896835522,2.75899572756097
"MDST8",0,NA,0,100,430386.289438465
"DOK",0.064213383177863,NA,0,87.1573233644274,21.5634352870999
