"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"HCC1143",0.0779867769766872,145.420437732636,0.455608016505585,0,145.420437732636
"MDA-MB-231",0.0888490542415561,NA,3.89003618846997,76.6509806164276,0.71533084762779
"CAL-51",0.0111136241584092,NA,4,98.4232085740787,0.0755499646855286
"T-47D",0.176496886606648,NA,0.926935979909323,52.2616212695044,0.840472012410006
"MDA-MB-157",0.0029675082305987,18.4792136318435,4,0,18.4792136318435
"CAL-120",0.046678019608551,NA,4,70.4147269992585,3.36068332816553
"MDA-MB-468",0.23079852512974,22.1871744283859,0.305453413790971,0,22.1871744283859
"HCC1806",0.0460330394365221,41.870675450135,0.830220402786521,0,41.870675450135
"HCC70",0.323020536754215,15.2879891444657,0.206805123134315,6.50945220924808,7.78827270655111
"HCC1954",0.063733026107662,NA,3.05624248159768,57.2856427817708,3.6057503912727
"MDA-MB-453",0.241688472534346,1.40527738123618,1.94231381250011,36.8573968006916,0.706318441635804
"HCC38",0.0635212153826725,NA,1.53406865468088,85.7099543194872,0.460921726077493
"HCC1569",0.0865763967625838,NA,4,82.9632576378298,0.295285408401238
"COLO 824",0.136125059664684,1227.35723488815,0.232660886209248,0,1227.35723488815
"CAMA-1",0.201595669600756,10.4466700015656,0.460648775604942,0,10.4466700015656
"JIMT-1",0.00476534813058119,16.3118588371175,4,0,16.3118588371175
"MDA-MB-415",0.414352638640949,0.841697887559453,0.403844010689433,0,0.841697887559453
"Evsa-T",0.421490140024316,0.496946664022277,0.733909511422635,21.764203980446,0.228119214798082
"EFM-19",0.0577849776179031,NA,1.18285729889477,59.8906089648685,5.01855264994416
"Hs 578T",0.20448815991765,NA,2.54255808863423,52.501649323976,0.505936261488813
"MRK-nu-1",0.0307402207885184,NA,4,69.2518621370712,5.0822949324755
"HDQ-P1",0.121838378986407,8.99828625476265,0.873565879704864,0,8.99828625476265
"OCUB-M",0.354193431240075,0.881264815698536,1.34468867108281,0,0.881264815698536
"MDA-MB-361",0.0899318850732115,11.5493867629644,0.999283113913286,0,11.5493867629644
"HCC1395",0.328317532929282,NA,0.69434697805006,60.5124908049156,0.0138401745472788
"EFM-192A",0.0294099870982186,19.6446161224848,1.510530246995,0,19.6446161224848
"BT-549",0.162926382550984,NA,0.453042546254084,70.9836844192495,0.1626641922141
"HCC1419",0.0604608999229353,5336823112.35452,0.15279370850463,36.5269897127602,1e+06
"MDA-MB-436",0.174243545791358,NA,0.593685605173447,54.0512771520909,0.936983755306798
"ZR-75-30",0.029795385910424,NA,4,87.9557108914633,1.80061341727714
"UACC-893",0.24886807552993,1.68518489367303,1.5195589234764,17.640801183117,1.26557423767009
"BT-20",0.215946375677339,2.3849828209447,1.52781919048727,39.7298719034262,0.84638262339686
"HCC2218",0,NA,1,100,0.009765625
"BT-483",0.0544080197211195,65.6294279478692,0.662453489779993,0,65.6294279478692
"AU565",0.0742536554565691,NA,1.04761748279732,64.8728019465141,2.90341739026061
"CAL-85-1",0.0602547929276834,126.056212534218,0.534520719921151,0,126.056212534218
"BT-474",0.0331163805003687,NA,2.02506710014869,71.9135354988371,4.90384312135323
"DU4475",0.00263673093083572,19.0554553560211,4,0,19.0554553560211
"HCC1187",0.00911487836157196,NA,4,98.9920625224863,0.0186134179264068
"HCC1187.1",0.00672065503046864,NA,2.39931970271918,88.8315686915425,7.97621029292887
"HCC1187.2",0.0229237151886966,NA,0,95.4152569622607,0.121252284012317
"HCC2157",0.131230494356085,NA,0.489131772027116,68.104277446011,0.766653540131692
"MCF-7",0.0917634379619558,NA,4,51.03883606481,2.73155374400588
"HCC1599",0.0670680161141239,NA,2.04802617037141,54.9856091165681,3.7909261375997
"MDA-MB-175-VII",0.142631143712148,14.0048448384285,0.591706675821886,0,14.0048448384285
"HCC1428",0.0198561545783181,NA,0.215557274974365,51.9164067325094,1e+06
"MDA-MB-175-VII.1",0.075386653246859,NA,1.14378038090587,64.9007158849072,2.68566208285039
"BT-474.1",0.025167437261697,NA,1.61904140580337,80.3123467391748,4.87699935069268
"MFM-223",0.0932121757683784,161.493352775629,1.82285820614377,49.9670612573067,2.9036796535656
"CAL-148",0.235529674747528,1.46186597341346,2.33790518110944,28.7138263330844,1.01454908718447
"HCC1937",0.156263454075693,NA,0.902885515331336,76.9957424946259,0.0781010047710599
"MDA-MB-330",0.16838663831325,11.1334667944934,0.551391949217181,0,11.1334667944934
