"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.204428571280419,33328.9498803841,0.118925605896318,0,33328.9498803841
"MES-SA",0.217934880896989,3554.14811087242,0.139317283146659,0,3554.14811087242
"PL4",0.23546353850971,7.22997720162512,0.437906089489811,0,7.22997720162512
"OS-RC-2",0.150486377441168,11444275178.7703,0.0892109420300806,28.2780144977228,1e+06
"WM793",0.0555708798747058,9.89889254685053,1.83015034838496,0,9.89889254685053
"KYSE-50",0.248977431215895,8.97384131273652,0.36944506432139,0,8.97384131273652
"KE-37",0.660266444151118,0.0973128769132988,1.13000426636387,0.38373954450377,0.0966516522859646
"Jurkat",0.453247126537227,0.423675370998569,1.5885159632168,1.73212468980678,0.414375571661531
"KM-H2",0.0714601137739798,NA,3.75319188506668,61.2250401095106,2.80631625436333
"697",0.68957638604522,0.0834861247357445,1.56055062840875,0,0.0834861247357445
"8-MG-BA",0.118202125361528,122.097964505347,0.371101418554345,0,122.097964505347
"PaTu 8988t",0.193095478994431,46.3405378894915,0.309613836270644,0,46.3405378894915
"FTC-133",0.340736606125077,1.56594443021068,0.510338838088702,0,1.56594443021068
"KMRC-20",0.111653921938819,41.4109751125271,0.498818710514369,0,41.4109751125271
"NCI-H1975",0.241183441235801,4.20302466550502,0.558613114165985,0,4.20302466550502
"OVCA420",0.192323470613329,16.321428215506,0.414977288046144,0,16.321428215506
"HCC1954",0.224576650243994,44.5712350025105,0.313458379817474,21.0356663287652,7.80968993228113
"ASH-3",0.177293638902703,3.33208842773792,1.4584684329849,0,3.33208842773792
"NCI-H1568",0.213978322787115,451.806742735391,0.184385681498995,0,451.806742735391
"NCI-H1563",0.188980768597199,9.34636696902847,0.523662023576138,0,9.34636696902847
"Daudi",0.196637921845994,9.70146807577425,0.491120147613296,0,9.70146807577425
"CTV-1",0.123631329620929,4.54186561617339,2.31149618033224,0,4.54186561617339
"EM-2",0.473666903488448,0.305149708193014,2.92025710757353,7.77031791796754,0.288001372103458
"WM278",0.303528776291877,1.57676584179897,0.777754118455832,0,1.57676584179897
"GI-ME-N",0.027690435817639,NA,-5.55111512312578e-17,95.2183958601473,0.0272183535011027
"EJM",0.211416099192241,2.48911666261756,1.44655246832653,6.88143794767405,2.24693636968638
"HT-3",0.219057416106965,3258.57188362871,0.139925984160184,0,3258.57188362871
"Hs 746.T",0.269850778655874,14.71928591648,0.277178703676731,0,14.71928591648
"EW-18",0.409171026150427,0.661327304137912,0.74096553010563,0,0.661327304137912
"RPMI-7951",0.211544849361159,13.016776188991,0.40173930781107,0,13.016776188991
"CA46",0.101310017312813,14.3745528623892,0.794842253114721,0,14.3745528623892
"RCC10RGB",0.138848050235729,6.27344100560485,0.988765499140634,0,6.27344100560485
"U-251MG",0.0696827431720159,34.4558910259463,0.713239751528985,0,34.4558910259463
"Karpas-231",0.73456242462714,0.0550423759643261,1.99199025456589,2.6554031476324,0.0535549642745959
"BALL-1",0.846074190878517,0.0267945956588011,2.26117934535682,0.64653077959772,0.0266408137554918
"IGR-1",0.238432697877547,10.6530730518771,0.369199057826374,0,10.6530730518771
"KP-1N",0.0297090319791808,NA,4,89.5066364396587,1.41495285992756
"OVCAR-8",0.0959708638423835,NA,0.37699597423306,67.2952958968666,4.39144788184469
"JJN-3",0.336466937173639,0.888698489753688,1.50751541957166,9.9219949290199,0.767416456928227
"ALL-SIL",0.645994877336219,0.106605694635263,2.23251649599236,2.10867859953559,0.10456787942883
"HEY",0.128099445444898,NA,0.716809180191248,87.1819809769907,3.231778528428e-06
"HeLa",0.0647684678266599,NA,3.30279705016706,88.2111567274051,0.224857481856806
"SCC-15",0.213825437726774,17.6586068754515,0.358988623811836,0,17.6586068754515
"CAL-33",0.214358822304973,4.41815084835563,0.664195114309203,0,4.41815084835563
"JHH-6",0.095861143195954,22.0275524219303,0.685144871457419,0,22.0275524219303
"ES4",0.326265711200383,3.3388767227555,0.340907262826268,0,3.3388767227555
"UACC-257",0.154740486442677,161.18926121517,0.290523222360047,0,161.18926121517
"KCL-22",0.294899359148356,1.63737690571632,0.825577336853196,0,1.63737690571632
"CHP-134",0.407207324473472,0.616750582294657,1.15284995649095,0,0.616750582294657
"KMS-12-BM",0.741165711824128,0.054701153765423,1.34842832489792,0.480545144768007,0.0543107860210296
"OE19",0.127805064063496,6.98747056904288,1.00626091486959,0,6.98747056904288
"MDST8",0.309216545592519,1.45360433367629,0.820764432823676,0,1.45360433367629
"HCC2998",0.309116379274341,1.9338598989433,0.572387601620172,0,1.9338598989433
"G-401",0.173273811869315,NA,0.279651496515897,63.6592983885467,0.452211813984353
"OAW28",0.396408128616649,0.72061643049374,0.787060847040775,0,0.72061643049374
"DMS 53",0.611707656783308,0.138256264678655,1.56143836706419,1.53663243144281,0.135519819393534
"TOV-112D",0.132442192195741,352668.787832259,0.136939155680782,0,352668.787832259
"AsPC-1",0.0612154803930757,18.8630865850748,1.00312710373088,0,18.8630865850748
"HSC-3",0.111021574203442,32.6866625773256,0.537176993008483,0,32.6866625773256
"Evsa-T",0.137209470758651,1548.38460521494,0.224872128255402,0,1548.38460521494
"VA-ES-BJ",0.0713359053469753,NA,4,92.1418811797059,0.0185336424555245
"GOTO",0.158919447879996,NA,4,81.1706696544809,0.0292904794304738
"SNU-175",0.182930567381082,6.38300130568118,0.664693482906394,0,6.38300130568118
"IM95",0.126022872918064,4.62182586612078,1.98405453246747,0,4.62182586612078
"OVCAR-3",0.161964785398306,114.23608966588,0.298992665374848,0,114.23608966588
"LXF 289",0.102147128122067,15.6840896261191,0.756224137906094,0,15.6840896261191
"AGS",0.240090573226803,2.22174522928497,1.19540683695886,35.2634139050797,0.799560113299714
"AU565",0.0818243562552973,11.6463808161014,1.08529719133991,0,11.6463808161014
"LN-405",0.105390770018865,NA,0.560899702472496,79.1229447276616,0.302552516055946
"TE-4",0.148222431283352,3936.24272944562,0.190792322015135,0,3936.24272944562
"42-MG-BA",0.199682055206682,NA,0.449980466542259,74.1636085319862,0.0130721645027922
"TUR",0.125092587894458,8.55626975143624,0.881468108871629,0,8.55626975143624
"EMC-BAC-2",0.100263809898191,NA,4,89.6875,0.010366329284377
"LC-1/sq",0.0477290940728717,NA,3.29811109641742,70.5923029314593,3.28426644525749
"Hep-G2/C3A",0,NA,0.173928439479166,100,0.02175733300706
"Karpas-45",0.408559345625483,0.568145365779034,1.50116228087568,3.41260898409813,0.542010341364473
"A-375",0.0812566458053073,9.71493573855694,1.267656282067,0,9.71493573855694
"C32 [Human melanoma]",0.239644347768841,32.9829483933624,0.611993841386896,46.0693733529687,0.517034277378247
"C32 [Human melanoma].1",0.162952955840718,NA,0.560468338326817,58.9068641101901,0.831084466343516
"C32 [Human melanoma].2",0.180385454346922,847.713198951285,0.198012495425472,0,847.713198951285
"HT-29",0.203449995174156,35.3161933504796,0.313389255975581,0,35.3161933504796
"HT-29.1",0.0577674050105542,8.58740880129524,2.18969130420813,0,8.58740880129524
"MHH-ES-1",0.240423443252972,5.62809745130111,0.476857494550749,0,5.62809745130111
"MHH-ES-1.1",0.205378542325086,9.90815424254776,0.461490080922072,0,9.90815424254776
"MHH-ES-1.2",0.126302423969342,12.1830686833701,0.797370514195594,18.7625837184808,6.75376492839351
"SNU-C2B",0.156382895458778,417895235726236544,0.0672755866676614,41.7366551760992,1e+06
"SNU-C2B.1",0.182744258509207,NA,1.58588805094977,80.4758846873755,0.0101065009055284
"SNU-C2B.2",0.186325436424851,158237.25436655,0.113548861403266,0,158237.25436655
"U2OS",0.107794627567652,9379.65849379841,0.211951630258383,0,9379.65849379841
"U2OS.1",0.175747955360904,6.66462505914404e+87,0.041034375969377,49.9780526529193,999977.756881588
"U2OS.2",0.112186697092812,524.252202155787,0.296894953131872,0,524.252202155787
"PC-14",0.213502010892177,NA,0.656813542912719,60.1201803196561,0.234098344665889
"PC-14.1",0.151901096349405,17.6944059236007,0.511106342249504,0,17.6944059236007
"PC-14.2",0.183981841418996,37.7364706975882,0.341172917269872,0,37.7364706975882
"SW620",0.200640353005344,36.161738719758,0.316137645137439,0,36.161738719758
"SW620.1",0.0594430703876314,NA,2.54075394807194,64.0912211633173,3.25869206386856
"SW620.2",0.0629592956759151,NA,4,57.7574630275496,3.58664903305503
"HCT 15",0.172139889140647,NA,0.0321289957016374,54.9564518087183,1e+06
"HCT 15.1",0.181022740230334,NA,1.70586099445849,81.8977239966159,3.52841261099339e-06
"HCT 15.2",0.102912616516507,1e+06,0.146935967337152,0,1e+06
"A-375.1",0.0732630498043008,82.8180813078829,0.536010605783737,0,82.8180813078829
"HGC-27",0.126295952079188,4.37641875345662,2.53116222030498,0,4.37641875345662
"B-CPAP",0.225884525674461,668.649540902154,0.234375,33.1250000000001,6.49381631576211
"SK-MG-1",0.222186646760444,196.63099414343,0.201705171537971,0,196.63099414343
"NCI-H1650",0.177029996129859,11.6439204923378,0.51406841953922,0,11.6439204923378
"786-O",0.162871122484864,217870.976241703,0.123286577753209,0,217870.976241703
"TGBC24TKB",0.290510399513979,1.22526377526504,2.1393475939614,8.32826281225708,1.12523292272288
"KP-2",0.120776404580094,4.50402047902217,2.7937308627169,0,4.50402047902217
"HDQ-P1",0.407230246828619,0.631487133627673,0.966895180302454,0,0.631487133627673
"NCI-H716",0.133905339000947,5.35730930923694,1.33525792678323,14.4967615060452,4.14553843480716
"MHH-PREB-1",0.0941521560221056,NA,4,57.3723322200282,2.17610945362434
"NCI-H513",0.117717359629188,NA,0.036749100691371,77.5406863808519,0.0227380490118357
"Huh-7",0.1370531768065,3.36147335675196,4,25.4162592795193,2.81481051034857
"HT-1197",0.217898472460547,16.0679316699183,0.361459761169346,0,16.0679316699183
"J82",0.231818250169528,22.9083333782756,0.736969014836217,46.8866986699951,0.529543754789311
"NCI-H1568.1",0.129304147521029,3785.24657359288,0.209929609333536,0,3785.24657359288
