"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.233829633466278,7.53884847961477,0.43444591954344,0,7.53884847961477
"MES-SA",0.460321688455701,0.331437876102187,0.916115355956198,16.7492476125916,0.212329857768641
"PL4",0.302151748690144,1.40471421684102,1.13498376116835,42.5489819482395,0.262518305499805
"OS-RC-2",0.18862568676366,148.743709759991,0.249411465820788,0,148.743709759991
"WM793",0.356861854844696,0.735024307196482,1.2890698327362,15.1122162415984,0.555973513233052
"KYSE-50",0.280169625438014,1.1305315251385,1.71066135550288,26.0132451149526,0.735878245049339
"KE-37",0.639606264340492,0.115624286155659,2.35847171854076,1.1286207676144,0.114510391015961
"Jurkat",0.49911759066565,0.223552387674827,1.76996332951963,13.1817862987159,0.188056735354701
"KM-H2",0.4301535003445,0.389997828773757,4,9.95683632957084,0.36893663614193
"697",0.57185806181011,0.180048072212106,2.50235296317623,2.07857428149688,0.177018763113847
"8-MG-BA",0.454027237562934,0.353651162957168,1.87559573719854,9.06513494883372,0.317874433192543
"PaTu 8988t",0.406199854658276,0.487910980914389,1.8988417156858,10.9759736107819,0.428207721603616
"FTC-133",0.411575098063272,0.476973731346073,0.974157304798036,20.4866650307765,0.277631701189358
"KMRC-20",0.329776368164185,0.947005492929483,1.04474156827072,26.7224257589189,0.455553784636715
"NCI-H1975",0.344577690936909,2.03147571049957,0.396171492898108,0,2.03147571049957
"OVCA420",0.309030063473236,2.06803722052089,0.539008128372452,0,2.06803722052089
"HCC1954",0.220830100012938,2.78505831784876,1.00000056310105,7.41840108631359,2.37184493933367
"ASH-3",0.141429607818188,6.35046835120396,1.46349626945682,40.2175452755943,2.08293613830909
"NCI-H1568",0.317441368280385,2.35856840244609,0.64121171721741,35.7604132683414,0.332627481521154
"NCI-H1563",0.193517723193922,6125.32630868629,0.147254389354401,0,6125.32630868629
"Daudi",0.261009536680773,1.27872274891337,4,16.3793156922221,1.15793858978062
"CTV-1",0.452520425380523,0.326713006841412,4,10.1261895197248,0.308742103410739
"EM-2",0.429511504423634,0.31851492717884,4,16.3233834400298,0.288548886198329
"WM278",0.245191691681737,16.1006026306476,0.310380100108067,0,16.1006026306476
"GI-ME-N",0.223013420970881,5.12396039212159,0.565432600643946,0,5.12396039212159
"EJM",0.37245711357825,0.409508107103357,3.11595070847495,24.6228232679821,0.329412628851862
"HT-3",0.217809506744722,2.63690235188089,1.1364497147111,14.2728854657137,1.96177123622609
"Hs 746.T",0.291349603201527,1.5592719324844,0.918816570275234,23.9364022273552,0.767338546183484
"EW-18",0.33848319774847,0.403254003342285,2.70187316069129,36.9413624042915,0.245344180548094
"RPMI-7951",0.413079495844992,0.36985007430098,1.38395897654134,24.4537219818158,0.227664443545239
"CA46",0.314590144699979,0.711556524149324,2.55492146193237,25.740818516196,0.536133084427412
"RCC10RGB",0.375798389185564,1.82502622957443,0.317303924295724,0,1.82502622957443
"U-251MG",0.244236537344816,5.44251134388096,0.842452319542108,42.6125075662951,0.562365898765504
"Karpas-231",0.589116104403167,0.137063130334598,4,5.82519289655948,0.132883730163723
"BALL-1",0.565703775599465,0.169268577346572,4,4.7899566518754,0.165060278627264
"IGR-1",0.279860332324991,1.85915608419203,0.845188506643455,17.6668319831141,1.10998323763515
"KP-1N",0.274368351092534,1.2943579326471,1.45224356826809,26.6900774731483,0.765306964563421
"OVCAR-8",0.435996997260773,0.470416144071412,1.57094371592041,2.71633715600625,0.453983403210175
"JJN-3",0.323229286044383,1.00973474169701,1.77419470657253,5.84708484809075,0.941380002993004
"ALL-SIL",0.397205923440689,0.607103046431926,2.34445976532274,3.00603291690724,0.591257489210494
"HEY",0.356340700436928,0.870624847701358,0.847040814915852,23.5942058049968,0.409723194641858
"HeLa",0.375758718513461,0.612219544683199,2.23037503644661,10.4824092584085,0.550927525126776
"SCC-15",0.229193281147373,5.67526017425047,0.511927243976071,0,5.67526017425047
"CAL-33",0.381106440400711,0.628385435393652,1.08345133170611,16.4307724810047,0.435035547456597
"JHH-6",0.20616705637705,3.30789894795583,1.09062038388996,28.9368405650005,1.49727594364328
"ES4",0.227169975886283,NA,1.74576783677146,68.3083280212173,0.0694146937532826
"UACC-257",0.11796573821994,887.463817136761,0.266715953321253,0,887.463817136761
"KCL-22",0.416971826227019,0.447972037996603,4,8.65904848776056,0.42717273225056
"CHP-134",0.397670642623342,0.536341468718074,3.28233080362805,7.72340540853851,0.509613222139571
"KMS-12-BM",0.464913563285791,0.337524884721008,4,6.14397249738295,0.326640941835405
"OE19",0.271323697314586,1.12467443577598,2.53855727984474,22.6917114156602,0.886242332559779
