"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.621254249124455,0.00110491542711496,1.67011614482515,37.3892530157581,0.00048432052683834
"A-549",0.221478479121329,NA,0.369296276472383,59.4009677659762,0.0361514099810338
"A-375",0.0640886673932943,NA,1.69482022539507,85.2170134019428,0.100417198032569
"DEL",0.214914526234251,0.385054298370135,4,14.2862470026686,0.353987843047073
"EW-13",0.0639972395763412,NA,0,87.2005520847318,0.000136536918389585
"CL-40",0.0437014368460507,NA,4,92.675120064389,0.0324575449898225
"C32 [Human melanoma]",0.09625058770251,NA,0,80.749882459498,0.00104413861402059
"U2OS",0.118503202221681,NA,0.0630277783613172,54.590260057658,999798.78907834
"TC-71",0.0518175020485954,512.089159732981,0.345748525905488,0,512.089159732981
"DiFi",0.661180930864515,0.00444242932822262,1.85104437851391,27.7813599026639,0.00286629696659659
"RKO",0.0489651724745231,28.9222621806803,0.570357435513312,0,28.9222621806803
"CL-11",0.0349443971418997,NA,0,93.01112057162,0.0887597127251476
"PC-14.1",0.624218500335176,0.00158337775446838,0.650382654235934,34.0748385717027,0.000272642811565655
"A-549.1",0.0668125468550247,NA,2.92749119528454,78.0253341974845,0.24506786417199
"A-375.1",0.0855284664824089,NA,0,82.8943067035182,0.0036717676316284
"SW620",0.0325412247265535,NA,4,93.5937397695759,0.0598779415762846
"HT-29",0.103952951105122,NA,0.373262139519116,88.1702643341752,0.000183007120221516
"HCT 15",0.0450106659903911,2.02629664846315,2.18393991195527,0,2.02629664846315
"SNU-C2B",0.15845075539189,6.37558385069747,0.409023900501891,0,6.37558385069747
"MHH-ES-1",0.0312900660599316,282.822643406153,0.450377971907941,0,282.822643406153
"MFM-223",0.0497872086821418,NA,4,87.1253543456701,0.138356233405453
"C32 [Human melanoma].1",0.0676992360329419,6135.15289724051,0.236626945538746,0,6135.15289724051
"U2OS.1",0.0736386431314899,NA,0,85.272271373702,373.47611925326
"SR",0.115472028453912,1.07220051848518,2.95378290252666,45.8955804727691,0.459946451994856
"SKM-1",0.0962752743523178,NA,4,62.1702952531817,0.344901203485231
"COLO 320HSR",0.137313994401074,NA,0,72.5372011197851,4.81427248831058e-05
"DiFi.1",0.69032921231609,0.00514603785659252,2.3259751926838,22.3185570877074,0.00399094479294785
"CCK-81",0.536147467462825,0.0174445889900844,0.821038183999846,34.2812334236753,0.00426155372119491
"COLO 205",0.0719692063208629,NA,0,85.6061587358274,0.00512930510736136
"RKO.1",0.0614300427354394,NA,0,87.7139914529121,0.192654550097405
"SK-CO-1",0.0169445425124829,NA,0,96.6110914975034,22.1507496184242
"LS411N",0.111707232992855,2.00033334428716,0.895578233957222,0,2.00033334428716
"LS123",0.111878214967596,NA,4,87.9106891612123,0.00323705732256746
"LS1034",0.0718190003858444,NA,0,85.6361999228311,0.000690527960131896
"HCC2998",0.00988633436505246,2.67155752096624,4,0,2.67155752096624
"NCI-H929",0.0530668222544557,3.24701910364915,1.20757836118366,0,3.24701910364915
"CP66-MEL",0.0138414164535836,8.9230288265739,1.33391205548579,0,8.9230288265739
"Ku812",0.0652792640853477,2.05664984310359,1.93386027899725,31.648396821117,1.22480967062224
"RF-48",NA,NA,NA,NA,NA
"DB",0.0125643976980647,2.49180384494431,4,0,2.49180384494431
"SR.1",0.0482001994579373,1.614794896392,3.34502387882845,0,1.614794896392
"Lu-139",0.0395005421126206,NA,4,77.1834585867076,0.606198620274632
"MDST8",0.0346809425102949,NA,4,92.8325082827842,0.0707208603153043
"HT-55",0.373198402476063,1.25255169300784,0.179047485379426,0,1.25255169300784
"Ca9-22",0.279684836881709,NA,2.48866157052107,64.0590012640073,0.00917865050565053
"DOK",0.412924764616272,0.340084220400636,0.218995739574205,0,0.340084220400636
"CaR-1",0.147531143700397,NA,0.565647681826871,65.9049409343687,0.117736840897838
"HT115",0.122944950939858,NA,2.8186901622232,86.974084767438,0.00255158491515108
"GP5d",0.0144764536375066,2.38829365228121,4,0,2.38829365228121
"SW620.1",0.100648593811879,51.3519113870918,0.461613435786321,33.0303281867169,4.94211157130788
"CW-2",0.276356459373741,NA,4,58.0343960461119,0.0211631040286919
"HuTu 80",0.202226951041052,1.90152329055293,0.478513396607462,0,1.90152329055293
"HCT 116",0.0165553612518793,2.29180878656101,4,0,2.29180878656101
"PC-14.2",0.63062308738173,0.00250332897984438,2.48388492413678,35.3862307944788,0.00152562739591581
"PC-14.3",0.679653856993119,0.00174119324026724,4,31.5595079129646,0.00135689923584875
"PC-14.4",0.635124794855223,0.00218023253594821,1.88811791407543,34.979471978168,0.00115315103109964
"A-375.2",0.10607411305129,9.30572040929699,0.5,0,9.30572040929699
"A-375.3",0.11611547746403,NA,0,76.776904507194,5.94190478690137e-06
"A-375.4",0.0998962022720696,NA,0.00943590814156754,79.6202446370433,4.07930723187011
"SW620.2",0.0119794496839803,5.26785293019417,1.85490750433042,0,5.26785293019417
"SW620.3",0.1223108854777,999749.586383003,0.120195218557934,0,999749.586383003
"SW620.4",0.0754819803784678,NA,0.0939836529854238,57.0127110982401,1e+06
"HT-29.1",0.125390862295789,555.374111910816,0.221865830276459,0,555.374111910816
